Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
20,FW,José Antonio Roca,24 May 1928 (aged 26),7,CD Zacatepec
21,MF,Mario Ochoa,7 November 1927 (aged 26),5,Club Deportivo Marte
22,FW,Ranulfo Cortés,9 July 1934 (aged 19),0,CD Oro
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gyula Grosics,4 February 1926 (aged 28),31,Budapesti Honvéd SE
2,DF,Jenő Buzánszky,4 May 1925 (aged 29),23,Dorogi Bányász
3,DF,Gyula Lóránt,6 February 1923 (aged 31),24,Budapesti Honvéd SE
4,DF,Mihály Lantos,29 September 1928 (aged 25),30,Budapesti Vörös Lobogó
5,MF,József Bozsik,25 November 1925 (aged 28),48,Budapesti Honvéd SE
6,MF,József Zakariás,25 March 1924 (aged 30),31,Budapesti Vörös Lobogó
7,FW,József Tóth,16 May 1929 (aged 25),2,Csepeli Vasas
8,FW,Sándor Kocsis,21 September 1929 (aged 24),36,Budapesti Honvéd SE
9,FW,Nándor Hidegkuti,3 March 1922 (aged 32),36,Budapesti Vörös Lobogó
10,FW,Ferenc Puskás (captain),2 April 1927 (aged 27),55,Budapesti Honvéd SE
11,FW,Zoltán Czibor,8 August 1929 (aged 24),26,Budapesti Honvéd SE
12,DF,Béla Kárpáti,30 September 1929 (aged 24),1,Győri Vasas SE
13,DF,Pál Várhidi,6 November 1931 (aged 22),0,Budapesti Dózsa
14,MF,Imre Kovács,26 November 1921 (aged 32),8,Budapesti Vörös Lobogó
15,MF,Ferenc Szojka,7 April 1931 (aged 23),0,Salgótarjáni BTC
16,MF,László Budai,19 July 1928 (aged 25),21,Budapesti Honvéd SE
17,FW,Ferenc Machos,30 June 1932 (aged 21),0,Budapesti Honvéd SE
18,FW,Lajos Csordás,6 October 1932 (aged 21),7,Budapesti Vasas SE
19,FW,Péter Palotás,27 June 1929 (aged 24),16,Budapesti Vörös Lobogó
20,FW,Mihály Tóth,24 September 1926 (aged 27),3,Budapesti Dózsa
21,GK,Sándor Gellér,12 July 1925 (aged 28),5,Budapesti Vörös Lobogó
22,GK,Géza Gulyás,5 June 1931 (aged 23),0,Budapesti Kinizsi
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Toni Turek,18 January 1919 (aged 35),13,Fortuna Düsseldorf
2,DF,Fritz Laband,1 November 1925 (aged 28),1,Hamburger SV
3,DF,Werner Kohlmeyer,19 April 1924 (aged 30),12,1. FC Kaiserslautern
4,DF,Hans Bauer,28 July 1927 (aged 26),2,Bayern Munich
5,DF,Herbert Erhardt,6 July 1930 (aged 23),1,SpVgg Fürth
6,MF,Horst Eckel,8 February 1932 (aged 22),8,1. FC Kaiserslautern
7,DF,Josef Posipal,20 June 1927 (aged 26),15,Hamburger SV
8,MF,Karl Mai,27 July 1928 (aged 25),3,SpVgg Fürth
9,MF,Paul Mebus,9 June 1920 (aged 34),5,1. FC Köln
10,DF,Werner Liebrich,18 January 1927 (aged 27),2,1. FC Kaiserslautern
11,MF,Karl-Heinz Metzner,9 January 1923 (aged 31),2,KSV Hessen Kassel
12,FW,Helmut Rahn,16 August 1929 (aged 24),9,Rot-Weiss Essen
13,FW,Max Morlock,11 May 1925 (aged 29),12,1. FC Nürnberg
14,FW,Bernhard Klodt,26 October 1926 (aged 27),6,FC Schalke 04
15,FW,Ottmar Walter,6 March 1924 (aged 30),11,1. FC Kaiserslautern
16,FW,Fritz Walter (captain),31 October 1920 (aged 33),38,1. FC Kaiserslautern
17,FW,Richard Herrmann,28 January 1923 (aged 31),7,FSV Frankfurt
18,FW,Ulrich Biesinger,6 August 1933 (aged 20),0,BC Augsburg
19,MF,Alfred Pfaff,16 July 1926 (aged 27),1,Eintracht Frankfurt
20,FW,Hans Schäfer,19 October 1927 (aged 26),5,1. FC Köln
21,GK,Heinz Kubsch,20 July 1930 (aged 23),1,FK Pirmasens
22,GK,Heinz Kwiatkowski,16 July 1926 (aged 27),0,Borussia Dortmund
Turkey
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Turgay Şeren (captain),15 May 1932 (aged 22),11,Galatasaray S.K.
2,DF,Rıdvan Bolatlı,2 December 1928 (aged 25),2,MKE Ankaragücü SK
3,DF,Basri Dirimlili,7 June 1929 (aged 25),3,Fenerbahçe SK
4,DF,Mustafa Ertan,21 April 1926 (aged 28),4,MKE Ankaragücü SK
5,MF,Çetin Zeybek,12 September 1932 (aged 21),2,Kasımpaşa SK
6,MF,Rober Eryol,21 December 1930 (aged 23),5,Galatasaray S.K.
7,FW,Erol Keskin,2 March 1927 (aged 27),1,Adalet SK Istanbul
8,FW,Suat Mamat,8 November 1930 (aged 23),2,Galatasaray S.K.
9,FW,Feridun Buğeker,5 April 1933 (aged 21),3,Fenerbahçe SK
10,FW,Burhan Sargun,11 February 1929 (aged 25),5,Fenerbahçe SK
11,FW,Lefter Küçükandonyadis,22 December 1925 (aged 28),3,Fenerbahçe SK
12,GK,Şükrü Ersoy,14 January 1934 (aged 20),3,MKE Ankaragücü SK
13,GK,Bülent Gurbuz,1 January 1934 (aged 20),0,Besiktas
14,DF,Ali Beratlıgil,21 October 1931 (aged 22),2,Galatasaray S.K.
15,MF,Mehmet Dinçer,1 January 1924 (aged 30),0,Adalet SK Istanbul
16,DF,Nedim Günar,2 January 1932 (aged 22),0,Fenerbahçe SK
17,DF,Naci Erdem,28 January 1931 (aged 23),0,Fenerbahçe SK
18,DF,Kaçmaz Akgün,19 February 1935 (aged 19),1,Fenerbahçe SK
19,DF,Esinduy Ozcan,1 January 1933 (aged 21),0,Besiktas
20,FW,Necmi Onarıcı,2 November 1925 (aged 28),0,Adalet SK Istanbul
21,FW,Kadri Aytaç,6 August 1931 (aged 22),0,Galatasaray S.K.
22,FW,Coşkun Taş,23 April 1935 (aged 19),2,Besiktas
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hong Deok-young,5 May 1921 (aged 33),,Chosun Textile Company FC
2,DF,Park Kyu-chung,12 June 1924 (aged 30),,Army Logistics Command FC
3,DF,Park Jae-seung,1 April 1923 (aged 31),,Counterintelligence Corps FC
4,MF,Kang Chang-gi,28 August 1927 (aged 26),,Chosun Textile Company FC
5,MF,Lee Sang-yi,1 January 1922 (aged 32),,Chosun Textile Company FC
6,DF,Min Byung-dae (c),20 February 1918 (aged 36),,Counterintelligence Corps FC
7,FW,Lee Soo-nam,2 February 1927 (aged 27),,Counterintelligence Corps FC
8,FW,Choi Chung-min,30 August 1930 (aged 23),,Counterintelligence Corps FC
9,FW,Woo Sang-kwon,2 February 1926 (aged 28),,Army Provost Marshal Headquarters FC
10,FW,Sung Nak-woon,2 February 1926 (aged 28),,Army Logistics Command FC
11,MF,Chung Nam-sik,16 February 1917 (aged 37),,Counterintelligence Corps FC
12,GK,Ham Heung-chul,17 November 1930 (aged 23),,Army Provost Marshal Headquarters FC
13,DF,Li Jong-kap,18 March 1920 (aged 34),,Counterintelligence Corps FC
14,DF,Han Chang-wha,3 November 1922 (aged 31),,Counterintelligence Corps FC
15,MF,Kim Ji-sung,7 November 1924 (aged 29),,Counterintelligence Corps FC
16,MF,Chu Yung-kwang,15 July 1931 (aged 22),,Navy FC
17,FW,Park Il-kap,21 March 1926 (aged 28),,Counterintelligence Corps FC
18,FW,Choi Yung-keun,8 February 1923 (aged 31),,Navy FC
19,FW,Li Ki-joo,12 November 1926 (aged 27),,Chosun Textile Company FC
20,FW,Chung Kook-chin,2 January 1917 (aged 37),,Navy FC
21,FW,Chung Kook-chin,2 January 1917 (aged 37),,Navy FC
22,FW,Chung Kook-chin,2 January 1917 (aged 37),,Navy FC
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Roque Máspoli,12 October 1917 (aged 36),35,Peñarol
2,DF,José Santamaría,31 July 1929 (aged 24),3,Nacional
3,DF,William Martínez,13 January 1928 (aged 26),11,Rampla Juniors
4,DF,Víctor Rodríguez Andrade,2 May 1927 (aged 27),20,Peñarol
5,MF,Obdulio Varela (captain),20 September 1917 (aged 36),43,Peñarol
6,MF,Roberto Leopardi,19 July 1933 (aged 20),3,Nacional
7,FW,Julio Abbadie,7 September 1930 (aged 23),9,Peñarol
8,FW,Juan Hohberg,8 October 1929 (aged 24),3,Peñarol
9,FW,Oscar Míguez,5 December 1927 (aged 26),14,Peñarol
10,FW,Juan Alberto Schiaffino,28 July 1925 (aged 28),14,Peñarol
11,FW,Carlos Borges,14 January 1932 (aged 22),2,Peñarol
12,GK,Julio Maceiras,22 April 1926 (aged 28),1,Danubio
13,DF,Mirto Davoine,13 February 1933 (aged 21),1,Peñarol
14,DF,Eusebio Tejera,6 January 1922 (aged 32),31,Defensor
15,MF,Urbano Rivera,1 April 1926 (aged 28),8,Danubio
16,MF,Néstor Carballo,3 February 1929 (aged 25),10,Nacional
17,MF,Luis Cruz,28 April 1925 (aged 29),7,Nacional
18,FW,Rafael Souto,24 October 1930 (aged 23),4,Nacional
19,FW,Javier Ambrois,9 May 1932 (aged 22),7,Nacional
20,FW,Omar Méndez,7 August 1934 (aged 19),3,Nacional
21,FW,Julio Pérez,19 June 1926 (aged 27),14,Nacional
22,FW,Luis Castro,31 July 1921 (aged 32),1,Defensor
Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Kurt Schmied (captain),14 June 1926 (aged 28),1,First Vienna FC
2,DF,Gerhard Hanappi,16 February 1929 (aged 25),37,Rapid Wien
3,MF,Ernst Happel,29 November 1925 (aged 28),39,Rapid Wien
4,DF,Leopold Barschandt,12 August 1925 (aged 28),2,Wiener Sportclub
5,DF,Ernst Ocwirk,7 March 1926 (aged 28),44,Austria Wien
6,MF,Karl Koller,8 February 1929 (aged 25),7,First Vienna FC
7,FW,Robert Körner,21 August 1924 (aged 29),,Rapid Wien
8,FW,Walter Schleger,19 September 1929 (aged 24),8,Austria Wien
9,FW,Theodor Wagner,6 August 1927 (aged 26),28,Wacker Wien
10,MF,Erich Probst,5 December 1927 (aged 26),8,Rapid Wien
11,FW,Alfred Körner,14 February 1926 (aged 28),,Rapid Wien
12,MF,Karl Stotz,27 March 1927 (aged 27),10,Austria Wien
13,MF,Walter Kollmann,17 June 1932 (aged 21),3,Wacker Wien
14,MF,Karl Giesser,29 October 1928 (aged 25),1,Rapid Wien
15,GK,Franz Pelikan,6 November 1925 (aged 28),3,Wacker Wien
16,GK,Walter Zeman,1 May 1927 (aged 27),38,Rapid Wien
17,MF,Alfred Teinitzer,29 July 1929 (aged 24),0,Linzer ASK
18,MF,Johann Riegler,17 July 1929 (aged 24),3,Rapid Wien
19,FW,Robert Dienst,1 March 1928 (aged 26),16,Rapid Wien
20,DF,Paul Halla,10 April 1931 (aged 23),3,Rapid Wien
21,FW,Ernst Stojaspal,14 January 1925 (aged 29),27,Austria Wien
22,FW,Walter Haummer,22 November 1928 (aged 25),4,Wacker Wien
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Theodor Reimann,10 February 1921 (aged 33),4,Slovan Bratislava
2,DF,František Šafránek,2 January 1931 (aged 23),10,ÚDA Prague
3,MF,Svatopluk Pluskal,28 October 1930 (aged 23),3,ÚDA Prague
4,DF,Ladislav Novák (captain),5 December 1931 (aged 22),11,ÚDA Prague
5,DF,Jiří Trnka,2 December 1926 (aged 27),20,ÚDA Prague
6,MF,Michal Benedikovič,31 May 1923 (aged 31),7,Slovan Bratislava
7,FW,Ladislav Hlaváček,26 June 1925 (aged 28),13,ÚDA Prague
8,FW,Otto Hemele,22 January 1926 (aged 28),8,ÚDA Prague
9,FW,Anton Malatinský,15 January 1920 (aged 34),10,Baník Handlová
10,FW,Emil Pažický,14 October 1927 (aged 26),14,Slovan Bratislava
11,FW,Jiří Pešek,4 June 1927 (aged 27),4,Spartak Praha Sokolovo
12,DF,Anton Krásnohorský,22 October 1925 (aged 28),9,Iskra Žilina
13,MF,Jiří Hledík,19 April 1929 (aged 25),3,Křídla vlasti Olomouc
14,MF,Jan Hertl,23 January 1929 (aged 25),6,ÚDA Prague
15,FW,Ladislav Kačáni,1 April 1931 (aged 23),7,CH Bratislava
16,MF,Zdeněk Procházka,12 January 1928 (aged 26),1,Spartak Praha Sokolovo
17,FW,Tadeáš Kraus,22 October 1932 (aged 21),5,Křídla vlasti Olomouc
18,FW,Josef Majer,8 June 1925 (aged 29),0,Baník Kladno
19,FW,Jaroslav Košnar,17 August 1930 (aged 23),1,CH Bratislava
20,FW,Kazimír Gajdoš,28 March 1934 (aged 20),0,Tatran Prešov
21,GK,Imrich Stacho,4 November 1931 (aged 22),6,Tankista Praha
22,GK,Viliam Schrojf,2 August 1931 (aged 22),1,Křídla vlasti Olomouc
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Fred Martin,13 May 1929 (aged 25),2,Aberdeen
2,DF,Willie Cunningham (captain),22 February 1925 (aged 29),3,Preston North End
3,DF,Jock Aird,18 February 1926 (aged 28),2,Burnley
4,DF,Bobby Evans,16 July 1927 (aged 26),17,Celtic
5,DF,Tommy Docherty,24 August 1928 (aged 25),5,Preston North End
6,MF,Jimmy Davidson,8 November 1925 (aged 28),2,Partick Thistle
7,MF,Doug Cowie,1 May 1926 (aged 28),6,Dundee
8,FW,John Mackenzie,4 September 1925 (aged 28),4,Partick Thistle
9,FW,George Hamilton,7 December 1917 (aged 36),5,Aberdeen
10,FW,Allan Brown,12 October 1926 (aged 27),11,Blackpool
11,FW,Neil Mochan,6 April 1927 (aged 27),1,Celtic
12,FW,Willie Fernie,22 November 1928 (aged 25),1,Celtic
13,FW,Willie Ormond,23 February 1927 (aged 27),3,Hibernian
14,GK,John Anderson*,8 December 1929 (aged 24),1,Leicester City
15,FW,Bobby Johnstone*,7 September 1929 (aged 24),11,Hibernian
16,FW,Jackie Henderson*,17 January 1932 (aged 22),4,Portsmouth
17,MF,David Mathers*,25 October 1931 (aged 22),1,Partick Thistle
18,DF,Alex Wilson*,29 October 1933 (aged 20),1,Portsmouth
19,FW,Jimmy Binning*,25 July 1927 (aged 26),0,Queen of the South
20,FW,Bobby Combe*,29 February 1924 (aged 30),3,Hibernian
21,FW,Ernie Copland*,15 April 1927 (aged 27),0,Raith Rovers
22,FW,Ian McMillan*,18 March 1931 (aged 23),3,Airdrieonians
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gil Merrick,26 January 1922 (aged 32),20,Birmingham City
2,DF,Ron Staniforth,13 April 1924 (aged 30),3,Huddersfield Town
3,DF,Roger Byrne,8 February 1929 (aged 25),3,Manchester United
4,DF,Billy Wright (captain),6 February 1924 (aged 30),58,Wolverhampton Wanderers
5,MF,Syd Owen,28 February 1922 (aged 32),2,Luton Town
6,MF,Jimmy Dickinson,24 April 1925 (aged 29),35,Portsmouth
7,FW,Stanley Matthews,1 February 1915 (aged 39),36,Blackpool
8,FW,Ivor Broadis,18 December 1922 (aged 31),11,Newcastle United
9,FW,Nat Lofthouse,27 August 1925 (aged 28),19,Bolton Wanderers
10,FW,Tommy Taylor,29 January 1932 (aged 22),3,Manchester United
11,FW,Tom Finney,5 April 1922 (aged 32),51,Preston North End
12,GK,Ted Burgin,29 April 1927 (aged 27),0,Sheffield United
13,DF,Ken Green,27 April 1924 (aged 30),0,Birmingham City
14,MF,Bill McGarry,10 June 1927 (aged 27),0,Huddersfield Town
15,FW,Dennis Wilshaw,11 March 1926 (aged 28),1,Wolverhampton Wanderers
16,MF,Albert Quixall,9 August 1933 (aged 20),3,Sheffield Wednesday
17,FW,Jimmy Mullen,6 January 1923 (aged 31),11,Wolverhampton Wanderers
18,DF,Allenby Chilton*,16 September 1918 (aged 35),2,Manchester United
19,MF,Ken Armstrong*,3 June 1924 (aged 30),0,Chelsea
20,FW,Bedford Jezzard*,19 October 1927 (aged 26),1,Fulham
21,FW,Johnny Haynes*,17 October 1934 (aged 19),0,Fulham
22,FW,Harry Hooper*,14 June 1933 (aged 21),0,West Ham United
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Walter Eich,27 May 1925 (aged 29),,Young Boys Bern
2,GK,Eugene Parlier,5 December 1930 (aged 23),,Servette FC
3,GK,Georges Stuber,11 May 1925 (aged 29),,Lausanne Sports
4,MF,Roger Bocquet (captain),9 April 1921 (aged 33),,Lausanne Sports
5,DF,Marcel Flückiger,20 June 1929 (aged 24),,Young Boys Bern
6,DF,Roger Mathis,4 April 1921 (aged 33),,Lausanne Sports
7,DF,André Neury,3 September 1921 (aged 32),,Servette FC
8,MF,Heinz Bigler,21 December 1925 (aged 28),,Young Boys Bern
9,MF,Charles Casali,27 April 1923 (aged 31),,Young Boys Bern
10,DF,Oliver Eggimann,6 August 1921 (aged 32),,FC La Chaux-de-Fonds
11,FW,Norbert Eschmann,19 March 1933 (aged 21),,Lausanne Sports
12,MF,Gilbert Fesselet,16 April 1928 (aged 26),,FC La Chaux-de-Fonds
13,MF,Ivo Frosio,27 April 1930 (aged 24),,Grasshopper Club Zürich
14,DF,Willy Kernen,6 August 1929 (aged 24),,FC La Chaux-de-Fonds
15,FW,Charles Antenen,3 November 1929 (aged 24),,FC La Chaux-de-Fonds
16,FW,Robert Ballaman,21 June 1926 (aged 27),,Grasshopper Club Zürich
17,FW,Jacques Fatton,19 December 1925 (aged 28),,Servette FC
18,FW,Josef Hügi,23 January 1930 (aged 24),,FC Basel
19,FW,Marcel Mauron,25 March 1929 (aged 25),,FC La Chaux-de-Fonds
20,FW,Eugen Meier,30 April 1930 (aged 24),,Young Boys Bern
21,FW,Ferdinando Riva,3 July 1930 (aged 23),,FC Chiasso
22,FW,Roger Vonlanthen,13 February 1929 (aged 25),,Grasshopper Club Zürich
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Giorgio Ghezzi,10 July 1930 (aged 23),1,Internazionale
2,DF,Guido Vincenzi,14 July 1932 (aged 21),1,Internazionale
3,DF,Giovanni Giacomazzi,18 January 1928 (aged 26),1,Internazionale
4,DF,Maino Neri,30 June 1924 (aged 29),6,Internazionale
5,MF,Omero Tognon,3 March 1924 (aged 30),11,Milan
6,MF,Fulvio Nesti,8 June 1925 (aged 29),2,Internazionale
7,FW,Ermes Muccinelli,28 July 1927 (aged 26),9,Juventus
8,FW,Egisto Pandolfini,19 February 1926 (aged 28),14,Roma
9,FW,Carlo Galli,6 March 1931 (aged 23),2,Roma
10,FW,Gino Cappello,2 June 1920 (aged 34),10,Bologna
11,FW,Benito Lorenzi,20 December 1925 (aged 28),11,Internazionale
12,GK,Giovanni Viola,26 June 1926 (aged 27),0,Juventus
13,DF,Ardico Magnini,21 October 1928 (aged 25),4,Fiorentina
14,DF,Sergio Cervato,22 March 1929 (aged 25),11,Fiorentina
15,DF,Giacomo Mari,17 October 1924 (aged 29),7,Juventus
16,MF,Rino Ferrario,7 December 1926 (aged 27),1,Juventus
17,FW,Armando Segato,3 May 1930 (aged 24),3,Fiorentina
18,MF,Gino Pivatelli,27 March 1933 (aged 21),0,Bologna
19,FW,Giampiero Boniperti (captain),4 July 1928 (aged 25),22,Juventus
20,MF,Guido Gratton,23 September 1932 (aged 21),1,Fiorentina
21,FW,Amleto Frignani,5 March 1932 (aged 22),6,Milan
22,GK,Leonardo Costagliola,27 October 1921 (aged 32),3,Fiorentina
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Léopold Gernaey,25 February 1927 (aged 27),7,A.S.V. Oostende K.M.
2,DF,Marcel Dries,19 September 1929 (aged 24),7,Berchem Sport
3,DF,Alfons Van Brandt,24 June 1927 (aged 26),18,Lierse
4,DF,Constant Huysmans,11 October 1928 (aged 25),5,Royal Beerschot AC
5,MF,Louis Carré,7 January 1925 (aged 29),39,Royal FC Liegeois
6,MF,Victor Mees,26 January 1927 (aged 27),31,Royal Antwerp FC
7,MF,Jozef Vliers,18 December 1932 (aged 21),0,Royal Beerschot AC
8,FW,Denis Houf,16 February 1932 (aged 22),0,Standard Liège
9,FW,Henri Coppens,29 April 1930 (aged 24),32,Royal Beerschot AC
10,FW,Léopold Anoul,19 August 1922 (aged 31),45,Royal FC Liegeois
11,FW,Joseph Mermans (captain),16 February 1922 (aged 32),45,RSC Anderlechtois
12,GK,Charles Geerts,29 October 1930 (aged 23),0,Royal Beerschot AC
13,DF,Henri Dirickx,7 July 1927 (aged 26),13,Union St. Gilloise
14,MF,Robert Van Kerkhoven,1 October 1924 (aged 29),5,Daring Club
15,FW,Hippolyte Van Den Bosch,30 April 1926 (aged 28),2,RSC Anderlechtois
16,FW,Pieter Van Den Bosch,31 October 1927 (aged 26),0,RSC Anderlechtois
17,GK,Raymond Ausloos,15 May 1928 (aged 26),0,White Star
18,DF,Jef Van Der Linden,2 November 1927 (aged 26),0,Royal Antwerp FC
19,MF,Jo Backaert,5 August 1921 (aged 32),0,Charleroi SC
20,MF,Robert Maertens,24 January 1930 (aged 24),11,Royal Antwerp FC
21,MF,Jean Van Steen,2 June 1929 (aged 25),5,RSC Anderlechtois
22,FW,Luc Van Hoyweghen,7 January 1929 (aged 25),0,Daring Club
