Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Castilho,27 November 1927 (aged 26),13,Fluminense
2,DF,Djalma Santos,27 February 1929 (aged 25),14,Portuguesa
3,DF,Nílton Santos,16 May 1925 (aged 29),18,Botafogo
4,DF,Brandãozinho,9 June 1925 (aged 29),12,Portuguesa
5,MF,Pinheiro,13 January 1932 (aged 22),13,Fluminense
6,MF,Bauer (captain),21 November 1925 (aged 28),21,São Paulo FC
7,FW,Julinho,29 July 1929 (aged 24),13,Portuguesa
8,MF,Didi,8 October 1929 (aged 24),13,Fluminense
9,FW,Baltazar,14 January 1926 (aged 28),19,Corinthians
10,FW,Pinga,11 February 1924 (aged 30),14,Vasco da Gama
11,FW,Rodrigues,27 June 1925 (aged 28),14,Palmeiras
12,DF,Paulinho,15 April 1932 (aged 22),,Vasco da Gama
13,DF,Alfredo,27 October 1924 (aged 29),,São Paulo FC
14,MF,Ely,14 May 1921 (aged 33),15,Vasco da Gama
15,DF,Mauro,30 August 1930 (aged 23),4,São Paulo FC
16,MF,Dequinha,19 March 1928 (aged 26),7,Flamengo
17,FW,Maurinho,6 June 1933 (aged 21),0,São Paulo FC
18,FW,Humberto,4 February 1934 (aged 20),3,Palmeiras
19,FW,Índio,1 March 1931 (aged 23),0,Flamengo
20,FW,Rubens,4 November 1928 (aged 25),1,Flamengo
21,GK,Veludo,7 August 1930 (aged 23),3,Fluminense
22,GK,Cabeção,23 August 1930 (aged 23),,Corinthians
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Vladimir Beara,2 November 1928 (aged 25),25,Hajduk Split
2,DF,Branko Stanković,31 October 1921 (aged 32),50,Red Star Belgrade
3,DF,Tomislav Crnković,17 June 1929 (aged 24),17,Dinamo Zagreb
4,MF,Zlatko Čajkovski,24 January 1923 (aged 31),51,Partizan Belgrade
5,DF,Ivan Horvat,16 July 1926 (aged 27),43,Dinamo Zagreb
6,DF,Vujadin Boškov,16 May 1931 (aged 23),22,Vojvodina Novi Sad
7,FW,Tihomir Ognjanov,2 March 1927 (aged 27),22,Red Star Belgrade
8,FW,Rajko Mitić,19 November 1922 (aged 31),47,Red Star Belgrade
9,FW,Bernard Vukas,1 May 1927 (aged 27),35,Hajduk Split
10,MF,Stjepan Bobek (captain),3 December 1923 (aged 30),53,Partizan Belgrade
11,FW,Branko Zebec,17 May 1929 (aged 25),22,Partizan Belgrade
12,GK,Branko Kralj,10 March 1924 (aged 30),0,Dinamo Zagreb
13,DF,Miljan Zeković,15 November 1925 (aged 28),3,Red Star Belgrade
14,MF,Lev Mantula,8 December 1928 (aged 25),0,Dinamo Zagreb
15,MF,Ljubiša Spajić,7 March 1926 (aged 28),6,Red Star Belgrade
16,DF,Sima Milovanov,10 April 1923 (aged 31),4,Vojvodina Novi Sad
17,DF,Bruno Belin,16 January 1929 (aged 25),3,Partizan Belgrade
18,FW,Miloš Milutinović,5 February 1933 (aged 21),8,Partizan Belgrade
19,MF,Zlatko Papec,17 January 1934 (aged 20),1,Hajduk Split
20,FW,Dionizije Dvornić,27 April 1926 (aged 28),3,Dinamo Zagreb
21,FW,Todor Veselinović,22 October 1930 (aged 23),2,Vojvodina Novi Sad
22,FW,Aleksandar Petaković,6 August 1932 (aged 21),0,Radnički Belgrade
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,François Remetter,8 August 1928 (aged 25),4,FC Metz
2,GK,César Ruminski,14 June 1924 (aged 30),7,Lille OSC
3,GK,Claude Abbes,24 May 1927 (aged 27),0,AS Saint-Étienne
4,DF,Lazare Gianessi,9 November 1925 (aged 28),12,AS Monaco
5,DF,Jacques Grimonpon,30 July 1925 (aged 28),0,FC Girondins de Bordeaux
6,DF,Raymond Kaelbel,31 January 1932 (aged 22),0,RC Strasbourg
7,DF,Roger Marche,5 March 1924 (aged 30),37,Stade de Reims
8,MF,Guillaume Bieganski,3 November 1932 (aged 21),1,Lille OSC
9,MF,Antoine Cuissard,19 July 1924 (aged 29),27,OGC Nice
10,MF,Robert Jonquet (captain),3 May 1925 (aged 29),26,Stade de Reims
11,MF,Xercès Louis,31 October 1926 (aged 27),0,RC Lens
12,MF,Jean-Jacques Marcel,13 June 1931 (aged 23),8,FC Sochaux
13,FW,Abderrahmane Mahjoub,25 April 1929 (aged 25),2,OGC Nice
14,DF,Armand Penverne,26 November 1926 (aged 27),11,Stade de Reims
15,MF,Abdelaziz Ben Tifour,25 July 1927 (aged 26),1,AS Troyes
16,FW,René Dereuddre,26 June 1930 (aged 23),1,Toulouse FC
17,FW,Léon Glovacki,19 February 1928 (aged 26),3,Stade de Reims
18,FW,Raymond Kopa,13 October 1931 (aged 22),13,Stade de Reims
19,MF,Michel Leblond,10 May 1932 (aged 22),1,Stade de Reims
20,FW,Ernest Schultz,29 January 1931 (aged 23),0,Olympique de Lyon
21,FW,André Strappe,23 February 1928 (aged 26),23,Lille OSC
22,FW,Jean Vincent,29 November 1930 (aged 23),2,Lille OSC
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Carbajal,7 June 1929 (aged 25),11,FC León
2,DF,Narciso López,18 August 1928 (aged 25),3,CD Oro
3,MF,Jorge Romo,20 April 1934 (aged 20),5,Club Deportivo Marte
4,DF,Saturnino Martínez,1 January 1928 (aged 26),6,Necaxa
5,DF,Raúl Cárdenas,30 October 1928 (aged 25),4,Puebla F.C.
6,MF,Rafael Avalos,6 January 1926 (aged 28),3,Atlante F.C.
7,FW,Alfredo Torres,31 May 1931 (aged 23),3,Atlas
8,FW,José Naranjo (captain),19 March 1926 (aged 28),12,CD Oro
9,FW,José Luis Lamadrid,3 July 1930 (aged 23),5,Necaxa
10,FW,Tomás Balcázar,21 December 1931 (aged 22),9,CD Guadalajara
11,FW,Raúl Arellano,28 February 1935 (aged 19),0,CD Guadalajara
12,GK,Salvador Mota,30 November 1922 (aged 31),0,Atlante F.C.
13,DF,Sergio Bravo,27 November 1927 (aged 26),6,FC León
14,MF,Juan Gómez,26 June 1924 (aged 29),0,Atlas
15,FW,Carlos Blanco,5 March 1928 (aged 26),4,Necaxa
16,MF,Pedro Nájera,3 February 1929 (aged 25),0,Club América
17,FW,Carlos Septién,18 January 1923 (aged 31),11,CD Tampico
18,FW,Carlos Carus,6 October 1930 (aged 23),0,Club Toluca
19,FW,Moises Jinich,,1,Atlante F.C.
