Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Michele Andreolo,6 September 1912 (aged 25),11,Bologna
-,FW,Sergio Bertoni,23 September 1915 (aged 22),3,Pisa
-,FW,Amedeo Biavati,4 April 1915 (aged 23),0,Bologna
-,GK,Carlo Ceresoli,14 May 1910 (aged 28),7,Bologna
-,MF,Bruno Chizzo,19 April 1916 (aged 22),0,Triestina
-,FW,Gino Colaussi,4 March 1914 (aged 24),12,Triestina
-,MF,Aldo Donati,29 September 1910 (aged 27),0,Roma
-,FW,Giovanni Ferrari,6 December 1907 (aged 30),38,Ambrosiana-Inter
-,FW,Pietro Ferraris,15 February 1912 (aged 26),3,Ambrosiana-Inter
-,DF,Alfredo Foni,20 November 1911 (aged 26),6,Juventus
-,MF,Mario Genta,1 March 1912 (aged 26),0,Genoa
-,MF,Ugo Locatelli,5 February 1916 (aged 22),7,Ambrosiana-Inter
-,GK,Guido Masetti,22 November 1907 (aged 30),1,Roma
-,MF,Giuseppe Meazza (c),23 August 1910 (aged 27),43,Ambrosiana-Inter
-,DF,Eraldo Monzeglio,5 June 1906 (aged 31),32,Roma
-,GK,Aldo Olivieri,2 October 1910 (aged 27),8,Lucchese
-,MF,Renato Olmi,12 July 1914 (aged 23),0,Ambrosiana-Inter
-,FW,Pietro Pasinati,21 July 1910 (aged 27),10,Triestina
-,MF,Mario Perazzolo,7 June 1911 (aged 26),2,Genoa
-,FW,Silvio Piola,29 September 1913 (aged 24),14,Lazio
-,DF,Pietro Rava,21 January 1916 (aged 22),11,Juventus
-,MF,Pietro Serantoni,11 December 1906 (aged 31),9,Roma
-,DF,Pietro Rava,21 January 1916 (aged 22),11,Juventus
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,István Balogh,21 September 1912 (aged 25),3,Újpest FC
-,FW,Mihály Bíró,20 July 1914 (aged 23),0,Ferencváros FC
-,DF,Sándor Bíró,19 August 1911 (aged 26),26,MTK Hungária FC
-,FW,László Cseh,4 April 1910 (aged 28),32,MTK Hungária FC
-,MF,János Dudás,13 February 1911 (aged 27),12,MTK Hungária FC
-,GK,József Háda,2 March 1911 (aged 27),15,Ferencváros FC
-,FW,Vilmos Kohut,17 July 1906 (aged 31),24,Olympique Marseille
-,DF,Lajos Korányi,15 May 1907 (aged 31),30,Ferencváros FC
-,MF,Gyula Lázár,24 January 1911 (aged 27),34,Ferencváros FC
-,GK,József Pálinkás,10 March 1912 (aged 26),5,Szeged FC
-,DF,Gyula Polgár,8 February 1912 (aged 26),14,Ferencváros FC
-,MF,Béla Sárosi,15 May 1919 (aged 19),0,Ferencváros FC
-,FW,György Sárosi,15 September 1912 (aged 25),42,Ferencváros FC
-,FW,Ferenc Sas,15 March 1915 (aged 23),13,MTK Hungária FC
-,GK,Antal Szabó,4 September 1910 (aged 27),32,MTK Hungária FC
-,MF,Antal Szalay,12 March 1912 (aged 26),19,Újpest FC
-,MF,György Szűcs,23 April 1912 (aged 26),23,Újpest FC
-,FW,Pál Titkos,8 January 1908 (aged 30),45,MTK Hungária FC
-,FW,Géza Toldi,11 February 1909 (aged 29),39,Ferencváros FC
-,MF,József Turay,1 March 1905 (aged 33),41,MTK Hungária FC
-,FW,Jenő Vincze,20 November 1908 (aged 29),22,Újpest FC
-,FW,Gyula Zsengellér,27 December 1915 (aged 22),9,Újpest FC
-,FW,Gyula Zsengellér,27 December 1915 (aged 22),9,Újpest FC
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Afonsinho,8 March 1914 (aged 24),,São Cristóvão
-,MF,Argemiro,3 June 1915 (aged 23),,Portuguesa Santista
-,GK,Batatais,20 May 1910 (aged 28),,Fluminense
-,MF,Brandão,1 January 1910 (aged 28),,Corinthians
-,MF,Britto,6 May 1914 (aged 24),,América Mineiro
-,DF,Domingos da Guia,19 November 1912 (aged 25),,Flamengo
-,FW,Hércules,2 July 1912 (aged 25),,Fluminense
-,DF,Jaú,17 December 1909 (aged 28),,Corinthians
-,FW,Leônidas,6 September 1913 (aged 24),,Flamengo
-,FW,Lopes,1 November 1910 (aged 27),,Corinthians
-,FW,Luizinho,29 March 1911 (aged 27),,SS Palestra Italia
-,DF,Machado,1 January 1909 (aged 29),,Fluminense
-,MF,Martim,21 April 1911 (aged 27),,Botafogo
-,DF,Nariz,8 December 1912 (aged 25),,Botafogo
-,FW,Niginho,12 February 1912 (aged 26),,Vasco da Gama
-,FW,Patesko,12 November 1910 (aged 27),,Botafogo
-,FW,Perácio,2 November 1917 (aged 20),,Botafogo
-,FW,Roberto,20 June 1912 (aged 25),,São Cristóvão
-,FW,Romeu,26 March 1911 (aged 27),,Fluminense
-,FW,Tim,20 February 1915 (aged 23),,Fluminense
-,GK,Walter,17 July 1912 (aged 25),,Flamengo
-,MF,Zezé Procópio,12 August 1913 (aged 24),,Botafogo
-,MF,Zezé Procópio,12 August 1913 (aged 24),,Botafogo
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
-,GK,Henock Abrahamsson,29 October 1909 (aged 28),0,Gårda BK Göteborg
-,MF,Erik Almgren,28 January 1908 (aged 30),5,AIK
-,FW,Ake Andersson,22 April 1917 (aged 21),2,GAIS Göteborg
-,FW,Harry Andersson,7 March 1913 (aged 25),0,IK Sleipner Norrköping
-,FW,Curt Bergsten,21 August 1915 (aged 22),6,Landskrona BoIS
-,FW,Lennart Bunke,,,Helsingborgs IF
-,DF,Ivar Eriksson,25 December 1909 (aged 28),1,Sandvikens IF
-,MF,Karl-Erik Grahn,5 November 1914 (aged 23),15,IF Elfsborg Borås
