Brazil
-,MF,Osvaldo Saez,13 August 1923 (aged 26),11,Colo-Colo
-,DF,Francisco Urroz,14 December 1920 (aged 29),10,Colo-Colo
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Robert Annis,5 September 1928 (aged 21),1,St. Louis Simpkins-Ford
-,MF,Walter Bahr,1 April 1927 (aged 23),7,Philadelphia Nationals
-,GK,Frank Borghi,9 April 1925 (aged 25),4,St. Louis Simpkins-Ford
-,MF,Charlie Colombo,20 July 1920 (aged 29),7,St. Louis Simpkins-Ford
-,DF,Geoff Coombes,23 April 1919 (aged 31),0,Chicago Vikings
-,FW,Robert Craddock,5 September 1923 (aged 26),0,Pittsburgh Harmarville S.C.
-,FW,Nicholas DiOrio,4 February 1921 (aged 29),0,Pittsburgh Harmarville S.C.
-,FW,Joe Gaetjens,19 March 1924 (aged 26),0,Brookhattan
-,GK,Gino Gardassanich,26 November 1922 (aged 27),0,Chicago Slovak
-,DF,Harry Keough (Captain),15 November 1927 (aged 22),3,St. Louis McMahon
-,DF,Joe Maca,28 September 1920 (aged 29),0,Brooklyn Hispano
-,MF,Ed McIlvenny,21 October 1924 (aged 25),0,Philadelphia Nationals
-,FW,Walter Stein,10 April 1928 (aged 22),0,Philadelphia Nationals
-,FW,Frank Moniz,26 September 1911 (aged 38),0,Ponta Delgada S.C.
-,FW,Gino Pariani,21 February 1928 (aged 22),2,St. Louis Simpkins-Ford
-,FW,Ed Souza,22 September 1921 (aged 28),2,Ponta Delgada S.C.
-,FW,John Souza,12 July 1920 (aged 29),9,Ponta Delgada S.C.
-,FW,Frank Wallace,15 July 1922 (aged 27),4,St. Louis Simpkins-Ford
-,FW,Adam Wolanin,13 November 1919 (aged 30),0,Chicago Eagles
-,FW,Adam Wolanin,13 November 1919 (aged 30),0,Chicago Eagles
-,FW,Adam Wolanin,13 November 1919 (aged 30),0,Chicago Eagles
-,FW,Adam Wolanin,13 November 1919 (aged 30),0,Chicago Eagles
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Sune Andersson,22 February 1921 (aged 29),23,AIK Stockholm
-,DF,Ivan Bodin,20 July 1923 (aged 26),0,AIK Stockholm
-,MF,Ingvar Gärd,6 October 1921 (aged 28),1,Malmö FF
-,FW,Hasse Jeppson,10 May 1925 (aged 25),1,Djurgårdens IF Stockholm
-,DF,Gunnar Johansson,29 February 1924 (aged 26),0,GAIS
-,FW,Egon Jönsson,6 December 1926 (aged 23),7,Malmö FF
-,GK,Torsten Lindberg,14 April 1917 (aged 33),18,IFK Norrköping
*,DF,Arne Månsson,11 November 1925 (aged 24),1,Malmö FF
-,FW,Bror Mellberg,9 December 1923 (aged 26),1,AIK Stockholm
-,DF,Erik Nilsson (Captain),6 August 1916 (aged 33),28,Malmö FF
-,FW,Stellan Nilsson,28 May 1922 (aged 28),15,Malmö FF
-,MF,Knut Nordahl,13 January 1920 (aged 30),22,IFK Norrköping
-,FW,Karl-Erik Palmér,17 April 1929 (aged 21),5,Malmö FF
-,FW,Ingvar Rydell,7 May 1922 (aged 28),2,Malmö FF
-,DF,Lennart Samuelsson,7 July 1924 (aged 25),1,IF Elfsborg Borås
-,FW,Lennart Skoglund,24 December 1929 (aged 20),1,AIK Stockholm
-,FW,Stig Sundqvist,19 July 1922 (aged 27),6,IFK Norrköping
-,GK,Kalle Svensson,11 November 1925 (aged 24),4,Helsingborgs IF
-,FW,Kurt Svensson,15 April 1927 (aged 23),0,IS Halmia
-,GK,Tore Svensson,6 December 1927 (aged 22),0,Malmö FF
-,FW,Börje Tapper,20 May 1922 (aged 28),4,Malmö FF
-,MF,Olle Ahlund,22 August 1920 (aged 29),15,Degerfors IF
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Amedeo Amadei,26 July 1921 (aged 28),6,Internazionale
-,DF,Carlo Annovazzi,24 May 1925 (aged 25),10,Milan
-,DF,Ivano Blason,24 May 1923 (aged 27),0,Triestina
-,FW,Giampiero Boniperti,4 July 1928 (aged 21),6,Juventus
-,FW,Aldo Campatelli,7 April 1919 (aged 31),6,Internazionale
-,FW,Gino Cappello,2 June 1920 (aged 30),3,Bologna
-,FW,Emilio Caprile,30 September 1928 (aged 21),2,Atalanta
-,FW,Riccardo Carapellese,1 July 1922 (aged 27),11,Torino
-,GK,Giuseppe Casari,10 April 1922 (aged 28),2,Atalanta
-,DF,Osvaldo Fattori,22 June 1922 (aged 28),3,Internazionale
-,DF,Zeffiro Furiassi,19 January 1923 (aged 27),0,Lazio
-,DF,Attilio Giovannini,30 July 1924 (aged 25),4,Internazionale
-,FW,Benito Lorenzi,20 December 1925 (aged 24),5,Internazionale
-,MF,Augusto Magli,9 March 1923 (aged 27),0,Fiorentina
-,MF,Giacomo Mari,17 October 1924 (aged 25),3,Juventus
-,GK,Giuseppe Moro,16 January 1921 (aged 29),2,Torino
-,FW,Ermes Muccinelli,28 July 1927 (aged 22),2,Juventus
-,FW,Egisto Pandolfini,19 February 1926 (aged 24),0,Fiorentina
-,MF,Carlo Parola,20 September 1921 (aged 28),9,Juventus
-,MF,Leandro Remondini,17 November 1917 (aged 32),0,Lazio
-,GK,Lucidio Sentimenti,1 July 1920 (aged 29),7,Lazio
-,MF,Omero Tognon,3 March 1924 (aged 26),4,Milan
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Enrique Avalos,1922,,Cerro Porteño
-,FW,Marcial Avalos,,,Cerro Porteño
-,MF,Melanio Baez,,,Nacional
-,FW,Ángel Berni,9 January 1931 (aged 19),,Sportivo Luqueño
-,DF,Antonio Cabrera,,,Libertad
-,FW,Lorenzo Calonga,,,Guaraní
-,FW,Juan Cañete,27 July 1929 (aged 20),,Presidente Hayes
-,MF,Castor Cantero,12 January 1918 (aged 32),,Olimpia
-,GK,Pablo Centurión,,,Cerro Porteño
-,DF,Casiano Céspedes,1924,,Olimpia
-,DF,Manuel Gavilán,1921,,Libertad
-,DF,Alberto González,1922,,Olimpia
-,MF,Armando González,,,Guaraní
-,MF,Victoriano Leguizamón,1923,,Olimpia
-,FW,Atilio López,5 February 1923 (aged 27),,Olimpia
-,FW,César López Fretes,21 March 1923 (aged 27),,Olimpia
-,FW,Hilarión Osorio,,,Sportivo Luqueño
-,DF,Elioro Paredes,19 June 1921 (aged 29),,Sportivo Luqueño
-,FW,Darío Jara Saguier,11 September 1926 (aged 23),,Cerro Porteño
-,FW,Francisco Sosa,1918,,Cerro Porteño
-,FW,Leongino Unzaim,1925,,Olimpia
-,GK,Marcelino Vargas,1921,,Club Libertad
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Julio César Britos,18 May 1926 (aged 24),10,Peñarol
-,FW,Juan Burgueño,4 February 1923 (aged 27),4,Danubio
-,DF,Schubert Gambetta,14 April 1920 (aged 30),39,Nacional
-,FW,Alcides Ghiggia,22 December 1926 (aged 23),3,Peñarol
-,DF,Juan Carlos González,22 August 1924 (aged 25),3,Peñarol
-,DF,Matías González,6 August 1925 (aged 24),7,Cerro
-,DF,William Martínez,13 January 1928 (aged 22),3,Rampla Juniors
-,GK,Roque Máspoli,12 October 1917 (aged 32),27,Peñarol
-,FW,Oscar Míguez,5 December 1927 (aged 22),5,Peñarol
-,FW,Rubén Morán,6 August 1930 (aged 19),2,Cerro
-,MF,Washington Ortuño,13 May 1928 (aged 22),0,Peñarol
-,GK,Aníbal Paz,18 February 1918 (aged 32),23,Nacional
-,FW,Julio Pérez,19 June 1926 (aged 24),7,River Plate
-,MF,Rodolfo Pini,12 November 1926 (aged 23),6,Nacional
-,FW,Luis Rijo,28 September 1927 (aged 22),0,Central
-,MF,Víctor Rodríguez Andrade,2 May 1927 (aged 23),11,Central
-,FW,Carlos Romero,7 September 1927 (aged 22),3,Danubio
-,FW,Juan Alberto Schiaffino,28 July 1925 (aged 24),9,Peñarol
-,DF,Eusebio Tejera,6 January 1922 (aged 28),28,Nacional
-,MF,Obdulio Varela (Captain),20 September 1917 (aged 32),39,Peñarol
-,FW,Ernesto Vidal,15 November 1921 (aged 28),0,Peñarol
-,DF,Héctor Vilches,14 February 1926 (aged 24),5,Cerro
Bolivia
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Alberto Figueroa de Acha,3 April 1920 (aged 30),23,The Strongest
-,FW,Víctor Celestino Algarañaz,6 April 1926 (aged 24),8,Club Litoral
-,MF,Alberto Aparicio,11 November 1923 (aged 26),0,Ferroviario La Paz
-,MF,Duberty Aráoz,21 December 1920 (aged 29),10,Club Litoral
-,GK,Vicente Arraya,25 January 1922 (aged 28),26,Ferroviario La Paz
-,MF,Juan Arricio,11 December 1923 (aged 26),0,Ayacucho La Paz
-,FW,Víctor Brown,7 March 1927 (aged 23),2,Club Litoral
-,DF,José Bustamante,5 March 1922 (aged 28),31,Club Litoral
-,MF,René Cabrera,21 October 1925 (aged 24),8,Club Jorge Wilstermann
-,FW,Roberto Capparelli,18 November 1921 (aged 28),0,The Strongest
-,MF,Leonardo Ferrel,7 July 1923 (aged 26),18,The Strongest
-,FW,Benedicto Godoy Véizaga,28 July 1924 (aged 25),9,Ferroviario La Paz
-,DF,Antonio Greco,17 September 1923 (aged 26),0,Club Litoral
-,FW,Juan Guerra,13 April 1927 (aged 23),9,Ferroviario La Paz
-,FW,Benigno Gutiérrez,1 September 1925 (aged 24),15,Club Litoral
-,GK,Eduardo Gutiérrez,2 September 1922 (aged 27),12,CD Ingavi
-,FW,Benjamin Maldonado,4 January 1928 (aged 22),4,San Jose de Oruro
-,FW,Mario Mena,28 July 1928 (aged 21),9,Club Bolívar
-,MF,Humberto Saavedra,3 August 1923 (aged 26),0,The Strongest
-,MF,Eulogio Sandoval,22 July 1922 (aged 27),0,Club Litoral
-,FW,Víctor Agustín Ugarte,5 May 1926 (aged 24),16,Club Bolívar
-,MF,Antonio Valencia,10 May 1925 (aged 25),9,Club Bolívar
