Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
,GK,Barbosa,27 March 1921 (aged 29),13,Vasco da Gama
,DF,Augusto (Captain),22 October 1920 (aged 29),12,Vasco da Gama
,DF,Nílton Santos,16 May 1925 (aged 25),5,Botafogo
,MF,Bauer,21 November 1925 (aged 24),6,São Paulo
,MF,Danilo,3 December 1920 (aged 29),15,Vasco da Gama
,MF,Bigode,4 April 1922 (aged 28),5,Flamengo
,FW,Friaça,20 October 1924 (aged 25),6,São Paulo
,FW,Zizinho,14 September 1922 (aged 27),30,Bangu
,FW,Ademir,8 November 1922 (aged 27),25,Vasco da Gama
,FW,Jair,21 March 1921 (aged 29),32,Palmeiras
,FW,Chico,7 January 1922 (aged 28),15,Vasco da Gama
-,FW,Adãozinho,2 April 1923 (aged 27),2,Internacional
-,FW,Alfredo,1 January 1920 (aged 30),0,Vasco da Gama
-,FW,Baltazar,14 January 1926 (aged 24),4,Corinthians
-,GK,Castilho,27 November 1927 (aged 22),2,Fluminense
-,MF,Ely,14 May 1921 (aged 29),8,Vasco da Gama
-,DF,Juvenal,27 November 1923 (aged 26),4,Flamengo
-,FW,Maneca,28 January 1926 (aged 24),3,Vasco da Gama
-,DF,Nena,27 March 1921 (aged 29),5,Internacional
-,MF,Noronha,25 September 1918 (aged 31),15,São Paulo
-,FW,Rodrigues,27 June 1925 (aged 24),2,Fluminense
-,MF,Rui,2 August 1922 (aged 27),27,São Paulo
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Charles Antenen,3 November 1929 (aged 20),,FC La Chaux-de-Fonds
-,FW,René Bader,7 August 1922 (aged 27),,FC Basel
-,FW,Walter Beerli,23 July 1928 (aged 21),,Young Boys Bern
-,FW,Alfred Bickel,2 May 1918 (aged 32),,Grasshoppers Club Zurich
-,DF,Roger Bocquet (c),9 April 1921 (aged 29),,Lausanne-Sport
-,GK,Eugen Corrodi,2 July 1922 (aged 27),,FC Lugano
-,MF,Oliver Eggimann,6 August 1921 (aged 28),,Servette FC
-,FW,Jacques Fatton,19 December 1925 (aged 24),,Servette FC
-,FW,Hans-Peter Friedländer,6 November 1920 (aged 29),,Lausanne-Sport
-,DF,Rudolf Gyger,16 April 1920 (aged 30),,Cantonal Neuchâtel
-,MF,Felice Soldini,1 January 1915 (aged 35),,FC Lugano
-,GK,Adolphe Hug,23 September 1923 (aged 26),,Urania Genf
-,DF,Willy Kernen,6 August 1929 (aged 20),,FC La Chaux-de-Fonds
-,FW,Gerhard Lusenti,24 April 1921 (aged 29),,AC Bellinzona
-,DF,André Neury,3 September 1921 (aged 28),,FC Locarno
-,MF,Roger Quinche,22 July 1922 (aged 27),,Young Boys Bern
-,DF,Kurt Rey,10 December 1923 (aged 26),,SC Young Fellows
-,FW,Walter Schneiter,2 July 1923 (age 26),,FC Zurich
-,FW,Hans Siegenthaler,5 February 1923 (age 27),,SC Young Fellows
-,DF,Willi Steffen,24 May 1923 (aged 27),,Cantonal Neuchâtel
-,GK,Georges Stuber,11 May 1925 (aged 25),,Lausanne-Sport
-,FW,Jean Tamini,9 December 1919 (aged 30),,Servette FC
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Aleksandar Atanacković,29 April 1920 (aged 30),15,Partizan Belgrade
-,GK,Vladimir Beara,2 November 1928 (aged 21),0,Hajduk Split
-,FW,Stjepan Bobek,3 December 1923 (aged 26),26,Partizan Belgrade
-,DF,Božo Broketa,24 December 1921 (aged 28),3,Hajduk Split
-,FW,Željko Čajkovski,5 May 1925 (aged 25),16,Dinamo Zagreb
-,MF,Zlatko Čajkovski,24 January 1923 (aged 27),25,Partizan Belgrade
-,DF,Ratko Čolić,17 March 1918 (aged 32),6,Partizan Belgrade
-,MF,Predrag Đajić,1 May 1922 (aged 28),5,Red Star Belgrade
-,DF,Vladimir Firm,5 June 1923 (aged 27),3,Partizan Belgrade
-,DF,Ivica Horvat (c),16 July 1926 (aged 23),13,Dinamo Zagreb
-,DF,Miodrag Jovanović,17 January 1922 (aged 28),18,Partizan Belgrade
-,MF,Ervin Katnić,2 September 1921 (aged 28),,Hajduk Split
-,FW,Prvoslav Mihajlović,13 April 1921 (aged 29),12,Partizan Belgrade
-,FW,Rajko Mitić,6 September 1922 (aged 27),19,Red Star Belgrade
-,GK,Srđan Mrkušić,26 June 1915 (aged 34),4,Red Star Belgrade
-,FW,Tihomir Ognjanov,2 March 1927 (aged 23),2,Red Star Belgrade
-,MF,Bela Palfi,16 February 1923 (aged 27),1,Red Star Belgrade
-,MF,Ivo Radovniković,9 February 1918 (aged 32),,Hajduk Split
-,DF,Branko Stanković,31 October 1921 (aged 28),19,Red Star Belgrade
-,FW,Kosta Tomašević,26 May 1924 (aged 26),6,Red Star Belgrade
-,FW,Bernard Vukas,1 May 1927 (aged 23),6,Hajduk Split
-,DF,Siniša Zlatković,16 April 1924 (aged 26),,Naša Krila Zemun
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,José Luis Borbolla,31 January 1920 (aged 30),,Club América
-,GK,Antonio Carbajal,7 June 1929 (aged 21),,España FC
-,FW,Horacio Casarín (Captain),25 May 1918 (aged 32),,España FC
-,GK,Raúl Córdoba,,,San Sebastian Leon
-,MF,Samuel Cuburu,20 February 1928 (aged 22),,FC Puebla
-,MF,Antonio Flores,13 July 1923 (aged 26),,Atlas
-,DF,Gregorio Gómez,26 June 1924 (aged 25),,Deportivo Guadalajara
-,MF,Carlos Guevara,,,Asturias F.C.
-,DF,Manuel Gutiérrez,8 April 1920 (aged 30),,Club América
-,MF,Francisco Hernández,,,Asturias F.C.
-,DF,Alfonso Montemayor,28 April 1922 (aged 28),,FC Leon
-,FW,José Naranjo,19 March 1926 (aged 24),,Oro Guadalajara
-,FW,Leonardo Navarro,,,FC Atlante
-,MF,Mario Ochoa,7 November 1927 (aged 22),,Club América
-,MF,Héctor Ortiz,20 December 1928 (aged 21),,CD Marte
-,MF,Mario Pérez,19 February 1927 (aged 23),,CD Marte
-,FW,Max Prieto,28 March 1919 (aged 31),,Deportivo Guadalajara
-,DF,José Antonio Roca,24 May 1928 (aged 22),,Necaxa
-,DF,Rodrigo Ruiz,14 April 1923 (aged 27),,Deportivo Guadalajara
-,FW,Carlos Septién,18 January 1923 (aged 27),,España FC
-,FW,José Velázquez,12 August 1923 (aged 26),,Veracruz
-,DF,Felipe Zetter,3 July 1923 (aged 26),,Atlas
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
-,GK,Juan Acuña,11 January 1923 (aged 27),1,Deportivo de La Coruña
-,DF,Gabriel Alonso,9 November 1923 (aged 26),4,Celta de Vigo
-,DF,Francisco Antúnez,1 November 1922 (aged 27),2,CF Sevilla
-,DF,Vicente Asensi,28 January 1919 (aged 31),5,Valencia CF
-,FW,Estanislau Basora,18 November 1926 (aged 23),4,CF Barcelona
-,FW,César,29 June 1920 (aged 29),8,CF Barcelona
-,FW,Agustín Gaínza,28 May 1922 (aged 28),14,Atlético Bilbao
-,DF,Josep Gonzalvo,16 January 1920 (aged 30),3,CF Barcelona
-,MF,Marià Gonzalvo,22 March 1922 (aged 28),8,CF Barcelona
-,FW,Rosendo Hernández,1 March 1921 (aged 29),2,RCD Espanyol
-,FW,Silvestre Igoa,5 September 1920 (aged 29),5,Valencia CF
-,GK,Ignacio Eizaguirre (Captain),7 November 1920 (aged 29),14,Valencia CF
-,FW,José Juncosa,2 February 1922 (aged 28),1,Atlético Madrid
-,DF,Rafael Lesmes,9 November 1926 (aged 23),0,Valladolid
-,MF,Luis Molowny,12 May 1925 (aged 25),2,Real Madrid
-,MF,Nando,1 February 1921 (aged 29),5,Atlético Bilbao
-,MF,José Luis Panizo,12 January 1922 (aged 28),6,Atlético Bilbao
-,DF,José Parra,28 August 1925 (aged 24),1,RCD Espanyol
-,MF,Antonio Puchades,4 June 1925 (aged 25),6,Valencia CF
-,GK,Antoni Ramallets,4 June 1924 (aged 26),0,CF Barcelona
-,MF,Alfonso Silva,19 March 1926 (aged 24),3,Atlético Madrid
-,FW,Telmo Zarra,20 January 1921 (aged 29),11,Atlético Bilbao
England
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,John Aston,2 September 1921 (aged 28),14,Manchester United
-,MF,Eddie Baily,6 August 1925 (aged 24),0,Tottenham Hotspur
-,FW,Roy Bentley,17 May 1924 (aged 26),4,Chelsea
-,MF,Henry Cockburn,14 September 1921 (aged 28),10,Manchester United
-,MF,Jimmy Dickinson,24 April 1925 (aged 25),7,Portsmouth
-,GK,Ted Ditchburn,24 October 1921 (aged 28),2,Tottenham Hotspur
-,DF,Bill Eckersley,16 July 1925 (aged 24),0,Blackburn Rovers
-,FW,Tom Finney,5 April 1922 (aged 28),25,Preston North End
-,MF,Laurie Hughes,2 March 1924 (aged 26),0,Liverpool
-,FW,Wilf Mannion,16 May 1918 (aged 32),19,Middlesbrough
-,FW,Stanley Matthews,1 February 1915 (aged 35),30,Blackpool
-,FW,Jackie Milburn,11 May 1924 (aged 26),7,Newcastle United
-,FW,Stan Mortensen,26 May 1921 (aged 29),18,Blackpool
-,FW,Jimmy Mullen,6 January 1923 (aged 27),4,Wolverhampton Wanderers
-,MF,Bill Nicholson,26 January 1919 (aged 31),0,Tottenham Hotspur
-,DF,Alf Ramsey,22 January 1920 (aged 30),5,Tottenham Hotspur
-,DF,Laurie Scott,23 April 1917 (aged 33),17,Arsenal
-,DF,Jim Taylor,5 November 1917 (aged 32),0,Fulham
-,MF,Willie Watson,7 March 1920 (aged 30),2,Sunderland
-,GK,Bert Williams,31 January 1920 (aged 30),7,Wolverhampton Wanderers
-,DF,Billy Wright (c),6 February 1924 (aged 26),29,Wolverhampton Wanderers
-,DF,Billy Wright (c),6 February 1924 (aged 26),29,Wolverhampton Wanderers
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Manuel Álvarez Jiménez,23 May 1928 (aged 22),3,Universidad Católica
-,MF,Miguel Busquets,15 October 1920 (aged 29),15,Universidad de Chile
-,MF,Fernando Campos,9 August 1921 (aged 28),5,Colo-Colo
-,MF,Hernán Carvallo,19 August 1922 (aged 27),5,Universidad Católica
-,FW,Atilio Cremaschi,8 March 1923 (aged 27),10,Unión Española
-,FW,Guillermo Díaz,29 December 1930 (aged 19),4,Santiago Wanderers
-,DF,Arturo Farías,1 November 1927 (aged 22),4,Colo-Colo
-,DF,Miguel Flores,,0,Universidad de Chile
-,FW,Carlos Ibáñez,30 November 1931 (aged 18),0,Magallanes
-,FW,Raimundo Infante,2 February 1928 (aged 22),13,Universidad Católica
-,GK,Sergio Livingstone,26 March 1920 (aged 30),31,Universidad Católica
-,DF,Manuel Machuca,6 June 1924 (aged 26),18,Colo-Colo
-,FW,Luis Mayanés,15 January 1925 (aged 25),0,Universidad de Chile
-,FW,Manuel Muñoz,28 April 1928 (aged 22),0,Colo-Colo
-,FW,Andrés Prieto,19 December 1928 (aged 21),9,Universidad Católica
-,GK,René Quitral,22 July 1920 (aged 29),0,Santiago Wanderers
-,FW,Fernando Riera,27 June 1920 (aged 29),16,Universidad Católica
-,FW,George Robledo,14 April 1926 (aged 24),0,Newcastle United
-,MF,Carlos Rojas,2 October 1928 (aged 21),5,Unión Española
-,DF,Fernando Roldán,15 October 1921 (aged 28),0,Universidad Católica
