Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
Cameroon
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Alioum Boukar,3 January 1972 (aged 30),46,Samsunspor
2,MF,Bill Tchato,14 May 1975 (aged 27),12,Montpellier
3,DF,Pierre Womé,26 March 1979 (aged 23),46,Bologna
4,DF,Rigobert Song (c),1 July 1976 (aged 25),59,1. FC Köln
5,DF,Raymond Kalla,22 April 1975 (aged 27),47,Extremadura
6,DF,Pierre Njanka,15 March 1975 (aged 27),31,Strasbourg
7,MF,Joseph N'Do,28 April 1976 (aged 26),16,Al-Khaleej
8,DF,Geremi,20 December 1978 (aged 23),38,Real Madrid
9,FW,Samuel Eto'o,10 March 1981 (aged 21),27,Mallorca
10,FW,Patrick M'Boma,15 November 1970 (aged 31),42,Sunderland
11,FW,Pius N'Diefi,5 July 1975 (aged 26),13,Sedan
12,MF,Lauren,19 January 1977 (aged 25),15,Arsenal
13,DF,Lucien Mettomo,19 April 1977 (aged 25),17,Manchester City
14,MF,Joël Epalle,20 February 1978 (aged 24),22,Panathinaikos
15,MF,Nicolas Alnoudji,9 December 1979 (aged 22),15,Rizespor
16,GK,Jacques Songo'o,17 March 1964 (aged 38),66,Metz
17,MF,Marc-Vivien Foé,1 May 1975 (aged 27),47,Lyon
18,FW,Patrick Suffo,17 January 1978 (aged 24),18,Sheffield United
19,MF,Eric Djemba-Djemba,4 May 1981 (aged 21),0,Nantes
20,MF,Salomon Olembé,8 December 1980 (aged 21),39,Marseille
21,FW,Joseph-Désiré Job,1 December 1977 (aged 24),34,Metz
22,GK,Carlos Kameni,18 February 1984 (aged 18),1,Le Havre
23,MF,Dani Kome,19 May 1980 (aged 22),4,Numancia
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Oliver Kahn (c),15 June 1969 (aged 32),45,Bayern Munich
2,DF,Thomas Linke,26 December 1969 (aged 32),34,Bayern Munich
3,DF,Marko Rehmer,29 April 1972 (aged 30),27,Hertha BSC
4,DF,Frank Baumann,29 October 1975 (aged 26),11,Werder Bremen
5,MF,Carsten Ramelow,20 March 1974 (aged 28),25,Bayer Leverkusen
6,DF,Christian Ziege,1 February 1972 (aged 30),66,Tottenham Hotspur
7,FW,Oliver Neuville,1 May 1973 (aged 29),30,Bayer Leverkusen
8,MF,Dietmar Hamann,27 August 1973 (aged 28),40,Liverpool
9,FW,Carsten Jancker,28 August 1974 (aged 27),26,Bayern Munich
10,MF,Lars Ricken,10 July 1976 (aged 25),16,Borussia Dortmund
11,FW,Miroslav Klose,9 June 1978 (aged 23),12,1. FC Kaiserslautern
12,GK,Jens Lehmann,10 November 1969 (aged 32),14,Borussia Dortmund
13,MF,Michael Ballack,26 September 1976 (aged 25),22,Bayer Leverkusen
14,FW,Gerald Asamoah,3 October 1978 (aged 23),11,Schalke 04
15,DF,Sebastian Kehl,13 February 1980 (aged 22),8,Borussia Dortmund
16,MF,Jens Jeremies,5 March 1974 (aged 28),33,Bayern Munich
17,MF,Marco Bode,23 July 1969 (aged 32),34,Werder Bremen
18,MF,Jörg Böhme,22 January 1974 (aged 28),6,Schalke 04
19,MF,Bernd Schneider,17 November 1973 (aged 28),9,Bayer Leverkusen
20,FW,Oliver Bierhoff,1 May 1968 (aged 34),65,Monaco
21,DF,Christoph Metzelder,5 November 1980 (aged 21),6,Borussia Dortmund
22,MF,Torsten Frings,22 November 1976 (aged 25),8,Werder Bremen
23,GK,Hans-Jörg Butt,28 May 1974 (aged 28),2,Bayer Leverkusen
Ireland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Shay Given,20 April 1976 (aged 26),39,Newcastle United
2,DF,Steve Finnan,24 April 1976 (aged 26),13,Fulham
3,DF,Ian Harte,31 August 1977 (aged 24),40,Leeds United
4,DF,Kenny Cunningham,28 June 1971 (aged 30),38,Wimbledon
5,DF,Steve Staunton (c),19 January 1969 (aged 33),98,Aston Villa
6,MF,Roy Keane,10 August 1971 (aged 30),58,Manchester United
7,MF,Jason McAteer,18 June 1971 (aged 30),47,Sunderland
8,MF,Matt Holland,11 April 1974 (aged 28),19,Ipswich Town
9,MF,Damien Duff,2 March 1979 (aged 23),26,Blackburn Rovers
10,FW,Robbie Keane,8 July 1980 (aged 21),33,Leeds United
11,MF,Kevin Kilbane,1 February 1977 (aged 25),31,Sunderland
12,MF,Mark Kinsella,12 August 1972 (aged 29),28,Charlton Athletic
13,FW,David Connolly,6 June 1977 (aged 24),33,Wimbledon
14,DF,Gary Breen,12 December 1973 (aged 28),43,Coventry City
15,DF,Richard Dunne,21 September 1979 (aged 22),14,Manchester City
16,GK,Dean Kiely,10 October 1970 (aged 31),6,Charlton Athletic
17,FW,Niall Quinn,6 October 1966 (aged 35),88,Sunderland
18,DF,Gary Kelly,9 July 1974 (aged 27),46,Leeds United
19,FW,Clinton Morrison,14 May 1979 (aged 23),7,Crystal Palace
20,DF,Andrew O'Brien,29 June 1979 (aged 22),5,Newcastle United
21,MF,Steven Reid,10 March 1981 (aged 21),5,Millwall
22,MF,Lee Carsley,28 February 1974 (aged 28),19,Everton
23,GK,Alan Kelly,11 August 1968 (aged 33),34,Blackburn Rovers
Saudi Arabia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mohamed Al-Deayea,2 August 1972 (aged 29),168,Al-Hilal
2,DF,Mohammed Al-Jahani,28 September 1974 (aged 27),73,Al-Ahli
3,DF,Redha Tukar,29 November 1975 (aged 26),5,Al-Shabab
4,DF,Abdullah Zubromawi,15 November 1973 (aged 28),115,Al-Ahli
5,DF,Mohsin Al-Harthi,17 July 1976 (aged 25),20,Al-Nassr
6,DF,Fouzi Al-Shehri,15 May 1980 (aged 22),2,Al-Ahli
7,MF,Ibrahim Al-Shahrani,21 July 1974 (aged 27),59,Al-Ahli
8,MF,Mohammed Noor,26 February 1978 (aged 24),29,Al-Ittihad
9,FW,Sami Al-Jaber (c),11 December 1972 (aged 29),148,Al-Hilal
10,MF,Mohammad Al-Shalhoub,8 December 1980 (aged 21),17,Al-Hilal
11,FW,Obeid Al-Dosari,2 October 1975 (aged 26),97,Al-Ahli
12,DF,Ahmed Dokhi,25 October 1976 (aged 25),47,Al-Hilal
13,DF,Hussein Sulaimani,21 January 1977 (aged 25),80,Al-Ahli
14,MF,Abdulaziz Khathran,31 July 1973 (aged 28),0,Al-Shabab
15,FW,Abdullah Jumaan Al-Dosari,10 November 1977 (aged 24),20,Al-Hilal
16,MF,Khamis Al-Owairan,8 September 1973 (aged 28),76,Al-Ittihad
17,MF,Abdullah Al-Waked,29 September 1975 (aged 26),45,Al-Shabab
18,MF,Nawaf Al-Temyat,28 June 1976 (aged 25),48,Al-Hilal
19,MF,Omar Al-Ghamdi,11 April 1979 (aged 23),28,Al-Hilal
20,FW,Al Hasan Al-Yami,21 August 1972 (aged 29),18,Al-Ittihad
21,GK,Mabrouk Zaid,11 February 1979 (aged 23),1,Al-Ittihad
22,GK,Mohammed Al-Khojali,15 January 1973 (aged 29),12,Al-Nassr
23,DF,Mansour Al-Thagafi,14 January 1979 (aged 23),0,Al-Nassr
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Germán Burgos,16 April 1969 (aged 33),35,Atlético Madrid
2,DF,Roberto Ayala (c),14 April 1973 (aged 29),74,Valencia
3,DF,Juan Pablo Sorín,5 May 1976 (aged 26),35,Cruzeiro
4,DF,Mauricio Pochettino,2 March 1972 (aged 30),16,Paris Saint-Germain
5,MF,Matías Almeyda,21 December 1973 (aged 28),33,Parma
6,DF,Walter Samuel,23 March 1978 (aged 24),30,Roma
7,FW,Claudio López,17 July 1974 (aged 27),49,Lazio
8,DF,Javier Zanetti,10 August 1973 (aged 28),66,Inter Milan
9,FW,Gabriel Batistuta,1 February 1969 (aged 33),75,Roma
10,MF,Ariel Ortega,4 March 1974 (aged 28),81,River Plate
11,MF,Juan Sebastián Verón,9 March 1975 (aged 27),47,Manchester United
12,GK,Pablo Cavallero,13 April 1974 (aged 28),8,Celta Vigo
13,DF,Diego Placente,24 April 1977 (aged 25),6,Bayer Leverkusen
14,MF,Diego Simeone,28 April 1970 (aged 32),104,Lazio
15,MF,Claudio Husaín,20 November 1974 (aged 27),14,River Plate
16,MF,Pablo Aimar,3 November 1979 (aged 22),18,Valencia
17,MF,Gustavo López,13 April 1973 (aged 29),31,Celta Vigo
18,MF,Kily González,4 August 1974 (aged 27),30,Valencia
19,FW,Hernán Crespo,5 July 1975 (aged 26),33,Lazio
20,MF,Marcelo Gallardo,18 January 1976 (aged 26),42,Monaco
21,FW,Claudio Caniggia,9 January 1967 (aged 35),50,Rangers
22,DF,José Chamot,17 May 1969 (aged 33),42,Milan
23,GK,Roberto Bonano,24 January 1970 (aged 32),13,Barcelona
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,David Seaman,19 September 1963 (aged 38),68,Arsenal
2,DF,Danny Mills,18 May 1977 (aged 25),7,Leeds United
3,DF,Ashley Cole,20 December 1980 (aged 21),8,Arsenal
4,MF,Trevor Sinclair,2 March 1973 (aged 29),5,West Ham United
5,DF,Rio Ferdinand,7 November 1978 (aged 23),21,Leeds United
6,DF,Sol Campbell,18 September 1974 (aged 27),45,Arsenal
7,MF,David Beckham (c),2 May 1975 (aged 27),49,Manchester United
8,MF,Paul Scholes,16 November 1974 (aged 27),43,Manchester United
9,FW,Robbie Fowler,9 April 1975 (aged 27),24,Leeds United
10,FW,Michael Owen,14 December 1979 (aged 22),35,Liverpool
11,FW,Emile Heskey,11 January 1978 (aged 24),23,Liverpool
12,DF,Wes Brown,13 October 1979 (aged 22),6,Manchester United
13,GK,Nigel Martyn,11 August 1966 (aged 35),22,Leeds United
14,DF,Wayne Bridge,5 August 1980 (aged 21),5,Southampton
15,DF,Martin Keown,24 July 1966 (aged 35),42,Arsenal
16,DF,Gareth Southgate,3 September 1970 (aged 31),48,Middlesbrough
17,FW,Teddy Sheringham,2 April 1966 (aged 36),46,Tottenham Hotspur
18,MF,Owen Hargreaves,20 January 1981 (aged 21),6,Bayern Munich
19,MF,Joe Cole,8 November 1981 (aged 20),6,West Ham United
20,FW,Darius Vassell,13 June 1980 (aged 21),5,Aston Villa
21,MF,Nicky Butt,21 January 1975 (aged 27),18,Manchester United
22,GK,David James,1 August 1970 (aged 31),9,West Ham United
23,MF,Kieron Dyer,29 December 1978 (aged 23),9,Newcastle United
Nigeria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ike Shorunmu,16 October 1967 (aged 34),34,Lucerne
2,DF,Joseph Yobo,6 September 1980 (aged 21),14,Marseille
3,DF,Celestine Babayaro,29 August 1978 (aged 23),24,Chelsea
4,FW,Nwankwo Kanu,1 August 1976 (aged 25),33,Arsenal
5,DF,Isaac Okoronkwo,1 May 1978 (aged 24),12,Shakhtar Donetsk
6,DF,Taribo West,26 March 1974 (aged 28),38,1. FC Kaiserslautern
7,MF,Pius Ikedia,11 July 1980 (aged 21),9,Ajax
8,MF,Mutiu Adepoju,22 December 1970 (aged 31),49,Salamanca
9,FW,Bartholomew Ogbeche,1 October 1984 (aged 17),4,Paris Saint-Germain
10,MF,Jay-Jay Okocha (c),14 August 1973 (aged 28),56,Paris Saint-Germain
11,MF,Garba Lawal,22 May 1974 (aged 28),34,Roda JC
12,GK,Austin Ejide,8 April 1984 (aged 18),3,Gabros International
13,DF,Rabiu Afolabi,18 April 1980 (aged 22),5,Standard Liège
14,DF,Ifeanyi Udeze,21 July 1980 (aged 21),15,PAOK
15,MF,Justice Christopher,24 December 1981 (aged 20),7,Royal Antwerp
16,DF,Efe Sodje,5 October 1972 (aged 29),7,Crewe Alexandra
17,FW,Julius Aghahowa,12 February 1982 (aged 20),17,Shakhtar Donetsk
18,FW,Benedict Akwuegbu,3 November 1974 (aged 27),16,Shenyang Haishi
19,DF,Eric Ejiofor,21 July 1979 (aged 22),12,Maccabi Haifa
20,MF,James Obiorah,24 August 1978 (aged 23),2,Lokomotiv Moscow
21,MF,John Utaka,8 January 1982 (aged 20),4,Al-Sadd
22,GK,Vincent Enyeama,29 August 1982 (aged 19),2,Enyimba
23,MF,Femi Opabunmi,3 March 1985 (aged 17),2,Ibadan
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Magnus Hedman,19 March 1973 (aged 29),44,Coventry City
2,DF,Olof Mellberg,3 September 1977 (aged 24),21,Aston Villa
3,DF,Patrik Andersson,18 August 1971 (aged 30),95,Barcelona
4,DF,Johan Mjällby (c),9 February 1971 (aged 31),35,Celtic
5,DF,Michael Svensson,25 November 1975 (aged 26),11,Troyes
6,MF,Tobias Linderoth,21 April 1979 (aged 23),19,Everton
7,MF,Niclas Alexandersson,29 December 1971 (aged 30),58,Everton
8,MF,Anders Svensson,17 July 1976 (aged 25),24,Southampton
9,MF,Fredrik Ljungberg,16 April 1977 (aged 25),31,Arsenal
10,FW,Marcus Allbäck,5 July 1973 (aged 28),18,Heerenveen
11,FW,Henrik Larsson,20 September 1971 (aged 30),67,Celtic
12,GK,Magnus Kihlstedt,29 February 1972 (aged 30),12,Copenhagen
13,DF,Tomas Antonelius,7 May 1973 (aged 29),6,Copenhagen
14,DF,Erik Edman,11 November 1978 (aged 23),5,Heerenveen
15,DF,Andreas Jakobsson,6 October 1972 (aged 29),12,Hansa Rostock
16,DF,Teddy Lučić,15 April 1973 (aged 29),41,AIK
17,MF,Magnus Svensson,10 March 1969 (aged 33),24,Brøndby
18,MF,Mattias Jonson,16 January 1974 (aged 28),23,Brøndby
19,MF,Pontus Farnerud,4 June 1980 (aged 21),2,Monaco
20,MF,Daniel Andersson,28 August 1977 (aged 24),38,Venezia
21,FW,Zlatan Ibrahimović,3 October 1981 (aged 20),9,Ajax
22,FW,Andreas Andersson,10 April 1974 (aged 28),32,AIK
23,GK,Andreas Isaksson,3 October 1981 (aged 20),1,Djurgården
Croatia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Stipe Pletikosa,8 January 1979 (aged 23),17,Hajduk Split
2,DF,Anthony Šerić,15 January 1979 (aged 23),8,Hellas Verona
3,DF,Josip Šimunić,18 February 1978 (aged 24),6,Hertha BSC
4,DF,Stjepan Tomas,6 March 1976 (aged 26),17,Vicenza
5,MF,Milan Rapaić,16 August 1973 (aged 28),23,Fenerbahçe
6,DF,Boris Živković,15 November 1975 (aged 26),15,Bayer Leverkusen
7,FW,Davor Vugrinec,24 March 1975 (aged 27),21,Lecce
8,MF,Robert Prosinečki,12 January 1969 (aged 33),48,Portsmouth
9,FW,Davor Šuker (c),1 January 1968 (aged 34),68,1860 München
10,MF,Niko Kovač,15 October 1971 (aged 30),20,Bayern Munich
11,FW,Alen Bokšić,21 January 1970 (aged 32),36,Middlesbrough
12,GK,Tomislav Butina,30 March 1974 (aged 28),7,Dinamo Zagreb
13,MF,Mario Stanić,10 April 1972 (aged 30),43,Chelsea
14,MF,Zvonimir Soldo,2 November 1967 (aged 34),59,VfB Stuttgart
15,DF,Daniel Šarić,4 August 1972 (aged 29),25,Panathinaikos
16,MF,Jurica Vranješ,31 January 1980 (aged 22),7,Bayer Leverkusen
17,DF,Robert Jarni,26 October 1968 (aged 33),78,Panathinaikos
18,FW,Ivica Olić,14 September 1979 (aged 22),4,Zagreb
19,FW,Goran Vlaović,7 August 1972 (aged 29),50,Panathinaikos
20,DF,Dario Šimić,12 November 1975 (aged 26),48,Inter Milan
21,DF,Robert Kovač,6 April 1974 (aged 28),19,Bayern Munich
22,FW,Boško Balaban,15 October 1978 (aged 23),13,Aston Villa
23,GK,Vladimir Vasilj,6 July 1975 (aged 26),2,Zagreb
Ecuador
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Francisco Cevallos,17 April 1971 (aged 31),62,Barcelona
2,DF,Augusto Porozo,13 April 1974 (aged 28),26,Emelec
3,DF,Iván Hurtado,16 August 1974 (aged 27),90,Barcelona
4,DF,Ulises de la Cruz,8 February 1974 (aged 28),52,Hibernian
5,MF,Alfonso Obregón,12 May 1972 (aged 30),40,LDU Quito
6,DF,Raúl Guerrón,12 October 1976 (aged 25),23,Deportivo Quito
7,FW,Nicolás Asencio,26 April 1975 (aged 27),4,Barcelona
8,MF,Luis Gómez,20 April 1972 (aged 30),8,Barcelona
9,FW,Iván Kaviedes,24 October 1977 (aged 24),26,Barcelona
10,MF,Álex Aguinaga (c),9 July 1968 (aged 33),92,Necaxa
11,FW,Agustín Delgado,23 December 1974 (aged 27),46,Southampton
12,GK,Oswaldo Ibarra,8 September 1969 (aged 32),21,El Nacional
13,FW,Ángel Fernández,2 August 1971 (aged 30),68,El Nacional
14,MF,Juan Carlos Burbano,15 February 1969 (aged 33),18,El Nacional
15,DF,Marlon Ayoví,27 September 1971 (aged 30),26,Deportivo Quito
16,MF,Cléber Chalá,29 June 1971 (aged 30),64,El Nacional
17,DF,Giovanny Espinoza,12 April 1977 (aged 25),19,Aucas
18,FW,Carlos Tenorio,14 May 1979 (aged 23),9,LDU Quito
19,FW,Edison Méndez,16 March 1979 (aged 23),24,Deportivo Quito
20,MF,Edwin Tenorio,16 June 1976 (aged 25),33,Barcelona
21,MF,Wellington Sánchez,19 June 1974 (aged 27),35,Emelec
22,GK,Daniel Viteri,12 December 1981 (aged 20),0,Emelec
23,DF,Walter Ayoví,11 August 1979 (aged 22),2,Emelec
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gianluigi Buffon,28 January 1978 (aged 24),26,Juventus
2,DF,Christian Panucci,12 April 1973 (aged 29),24,Roma
3,DF,Paolo Maldini (c),26 June 1968 (aged 33),122,Milan
4,DF,Francesco Coco,8 January 1977 (aged 25),13,Barcelona
5,DF,Fabio Cannavaro,13 September 1973 (aged 28),58,Parma
6,MF,Cristiano Zanetti,14 April 1977 (aged 25),4,Inter Milan
7,FW,Alessandro Del Piero,9 November 1974 (aged 27),49,Juventus
8,MF,Gennaro Gattuso,9 January 1978 (aged 24),13,Milan
9,FW,Filippo Inzaghi,9 August 1973 (aged 28),38,Milan
10,FW,Francesco Totti,27 September 1976 (aged 25),29,Roma
11,MF,Cristiano Doni,1 April 1973 (aged 29),3,Atalanta
12,GK,Christian Abbiati,8 July 1977 (aged 24),0,Milan
13,DF,Alessandro Nesta,19 March 1976 (aged 26),43,Lazio
14,MF,Luigi Di Biagio,3 June 1971 (aged 30),28,Inter Milan
15,DF,Mark Iuliano,12 August 1973 (aged 28),16,Juventus
16,MF,Angelo Di Livio,26 July 1966 (aged 35),38,Fiorentina
17,MF,Damiano Tommasi,17 May 1974 (aged 28),14,Roma
18,FW,Marco Delvecchio,7 April 1973 (aged 29),16,Roma
19,DF,Gianluca Zambrotta,19 February 1977 (aged 25),23,Juventus
20,FW,Vincenzo Montella,18 June 1974 (aged 27),14,Roma
21,FW,Christian Vieri,12 July 1973 (aged 28),24,Inter Milan
22,GK,Francesco Toldo,2 December 1971 (aged 30),22,Inter Milan
23,DF,Marco Materazzi,19 August 1973 (aged 28),7,Inter Milan
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Óscar Pérez,1 February 1973 (aged 29),37,Cruz Azul
2,DF,Francisco Gabriel de Anda,5 June 1971 (aged 30),15,Pachuca
3,MF,Rafael García,14 August 1974 (aged 27),21,Toluca
4,MF,Rafael Márquez (c),13 February 1979 (aged 23),36,Monaco
5,DF,Manuel Vidrio,23 August 1972 (aged 29),27,Pachuca
6,MF,Gerardo Torrado,30 April 1979 (aged 23),28,Sevilla
7,MF,Ramón Morales,10 October 1975 (aged 26),17,Guadalajara
8,MF,Alberto García Aspe,11 May 1967 (aged 35),108,Puebla
9,FW,Jared Borgetti,14 August 1973 (aged 28),29,Santos
10,FW,Cuauhtémoc Blanco,17 January 1973 (aged 29),75,Real Valladolid
11,MF,Braulio Luna,8 September 1974 (aged 27),15,Necaxa
12,GK,Oswaldo Sánchez,21 September 1973 (aged 28),22,Guadalajara
13,MF,Sigifredo Mercado,21 December 1968 (aged 33),18,Atlas
14,MF,Germán Villa,2 April 1973 (aged 29),46,América
15,FW,Luis Hernández,22 December 1968 (aged 33),85,América
16,DF,Salvador Carmona,22 August 1975 (aged 26),56,Toluca
17,FW,Francisco Palencia,28 April 1973 (aged 29),67,Espanyol
18,MF,Johan Rodríguez,15 August 1975 (aged 26),14,Santos
19,MF,Gabriel Caballero,5 February 1971 (aged 31),5,Pachuca
20,DF,Melvin Brown,28 January 1979 (aged 23),8,Cruz Azul
21,FW,Jesús Arellano,8 May 1973 (aged 29),49,Monterrey
22,DF,Alberto Rodríguez,1 April 1974 (aged 28),13,Pachuca
23,GK,Jorge Campos,15 October 1966 (aged 35),123,UNAM Pumas
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Geert De Vlieger,16 October 1971 (aged 30),25,Willem II
2,DF,Eric Deflandre,2 August 1973 (aged 28),41,Lyon
3,DF,Glen De Boeck,22 August 1971 (aged 30),33,Anderlecht
4,DF,Eric Van Meir,28 February 1968 (aged 34),32,Standard Liège
5,DF,Nico Van Kerckhoven,14 December 1970 (aged 31),40,Schalke 04
6,MF,Timmy Simons,11 December 1976 (aged 25),12,Club Brugge
7,FW,Marc Wilmots (c),22 February 1969 (aged 33),66,Schalke 04
8,MF,Bart Goor,9 April 1973 (aged 29),38,Hertha BSC
9,FW,Wesley Sonck,9 August 1978 (aged 23),12,Genk
10,MF,Johan Walem,1 February 1972 (aged 30),33,Standard Liège
11,MF,Gert Verheyen,20 September 1970 (aged 31),46,Club Brugge
12,DF,Peter Van Der Heyden,16 July 1976 (aged 25),4,Club Brugge
13,GK,Franky Vandendriessche,7 April 1971 (aged 31),0,Mouscron
14,MF,Sven Vermant,4 April 1973 (aged 29),12,Schalke 04
15,DF,Jacky Peeters,13 December 1969 (aged 32),13,Gent
16,DF,Daniel Van Buyten,7 February 1978 (aged 24),7,Marseille
17,MF,Gaëtan Englebert,11 June 1976 (aged 25),4,Club Brugge
18,MF,Yves Vanderhaeghe,30 January 1970 (aged 32),30,Anderlecht
19,MF,Bernd Thijs,28 June 1978 (aged 23),2,Genk
20,FW,Branko Strupar,9 February 1970 (aged 32),14,Derby County
21,MF,Danny Boffin,10 July 1965 (aged 36),52,St. Truiden
22,FW,Mbo Mpenza,4 December 1976 (aged 25),26,Mouscron
23,GK,Frédéric Herpoel,16 August 1974 (aged 27),7,Gent
Japan
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Yoshikatsu Kawaguchi,15 August 1975 (aged 26),43,Portsmouth
2,DF,Yutaka Akita,6 August 1970 (aged 31),38,Kashima Antlers
3,DF,Naoki Matsuda,14 March 1977 (aged 25),24,Yokohama F. Marinos
4,DF,Ryuzo Morioka,7 October 1975 (aged 26),32,Shimizu S-Pulse
5,MF,Junichi Inamoto,18 September 1979 (aged 22),22,Arsenal
6,DF,Toshihiro Hattori,23 September 1973 (aged 28),35,Jubilo Iwata
7,MF,Hidetoshi Nakata,22 January 1977 (aged 25),39,Parma
8,MF,Hiroaki Morishima,30 April 1972 (aged 30),57,Cerezo Osaka
9,FW,Akinori Nishizawa,18 June 1976 (aged 25),24,Cerezo Osaka
10,FW,Masashi Nakayama (c),23 September 1967 (aged 34),47,Jubilo Iwata
11,FW,Takayuki Suzuki,5 June 1976 (aged 25),10,Kashima Antlers
12,GK,Seigo Narazaki,15 April 1976 (aged 26),15,Nagoya Grampus Eight
13,FW,Atsushi Yanagisawa,27 May 1977 (aged 25),22,Kashima Antlers
14,MF,Alex,20 July 1977 (aged 24),0,Shimizu S-Pulse
15,MF,Takashi Fukunishi,1 September 1976 (aged 25),5,Jubilo Iwata
16,DF,Kōji Nakata,9 July 1979 (aged 22),20,Kashima Antlers
17,DF,Tsuneyasu Miyamoto,7 February 1977 (aged 25),5,Gamba Osaka
18,MF,Shinji Ono,27 September 1979 (aged 22),21,Feyenoord
19,MF,Mitsuo Ogasawara,5 April 1979 (aged 23),0,Kashima Antlers
20,MF,Tomokazu Myojin,24 January 1978 (aged 24),16,Kashiwa Reysol
21,MF,Kazuyuki Toda,30 December 1977 (aged 24),10,Shimizu S-Pulse
22,MF,Daisuke Ichikawa,14 May 1980 (aged 22),1,Shimizu S-Pulse
23,GK,Hitoshi Sogahata,2 August 1979 (aged 22),1,Kashima Antlers
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ruslan Nigmatullin,7 October 1974 (aged 27),20,Hellas Verona
2,DF,Yuri Kovtun,5 January 1970 (aged 32),44,Spartak Moscow
3,DF,Yuri Nikiforov,16 September 1970 (aged 31),56,PSV
4,MF,Alexey Smertin,1 May 1975 (aged 27),25,Bordeaux
5,DF,Andrei Solomatin,9 September 1975 (aged 26),5,CSKA Moscow
6,MF,Igor Semshov,6 April 1978 (aged 24),2,Torpedo Moscow
7,DF,Viktor Onopko (c),14 October 1969 (aged 32),97,Real Oviedo
8,MF,Valery Karpin,2 February 1969 (aged 33),69,Celta Vigo
9,MF,Yegor Titov,29 May 1976 (aged 26),30,Spartak Moscow
10,MF,Aleksandr Mostovoi,22 August 1968 (aged 33),59,Celta Vigo
11,FW,Vladimir Beschastnykh,1 April 1974 (aged 28),64,Spartak Moscow
12,GK,Stanislav Cherchesov,2 September 1963 (aged 38),49,Tirol Innsbruck
13,DF,Vyacheslav Dayev,6 September 1972 (aged 29),7,CSKA Moscow
14,DF,Igor Chugainov,6 April 1970 (aged 32),30,Uralan Elista
15,MF,Dmitri Alenichev,20 October 1972 (aged 29),43,Porto
16,FW,Aleksandr Kerzhakov,27 November 1982 (aged 19),3,Zenit Saint Petersburg
17,MF,Sergei Semak,27 February 1976 (aged 26),31,CSKA Moscow
18,DF,Dmitri Sennikov,24 June 1976 (aged 25),4,Lokomotiv Moscow
19,FW,Ruslan Pimenov,25 November 1981 (aged 20),1,Lokomotiv Moscow
20,MF,Marat Izmailov,21 September 1982 (aged 19),8,Lokomotiv Moscow
21,MF,Dmitri Khokhlov,22 December 1975 (aged 26),39,Real Sociedad
22,FW,Dmitri Sychev,26 October 1983 (aged 18),3,Spartak Moscow
23,GK,Aleksandr Filimonov,15 October 1973 (aged 28),16,Uralan Elista
Tunisia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ali Boumnijel,13 April 1966 (aged 36),14,Bastia
2,DF,Khaled Badra (c),8 April 1973 (aged 29),72,Espérance
3,MF,Zoubeir Baya,15 May 1971 (aged 31),77,Beşiktaş
4,DF,Mohamed Mkacher,25 May 1975 (aged 27),15,ES Sahel
5,FW,Ziad Jaziri,12 July 1978 (aged 23),26,ES Sahel
6,DF,Hatem Trabelsi,25 January 1977 (aged 25),27,Ajax
7,MF,Imed Mhedhebi,22 March 1976 (aged 26),30,Genoa
8,MF,Hassen Gabsi,23 February 1974 (aged 28),48,Genoa
9,FW,Riadh Jelassi,7 July 1971 (aged 30),20,Club Africain
10,MF,Kaies Ghodhbane,7 January 1976 (aged 26),62,ES Sahel
11,FW,Adel Sellimi,16 November 1972 (aged 29),64,SC Freiburg
12,DF,Raouf Bouzaiene,16 August 1970 (aged 31),39,Genoa
13,MF,Riadh Bouazizi,8 April 1973 (aged 29),47,Bursaspor
14,DF,Hamdi Marzouki,23 January 1977 (aged 25),7,Club Africain
15,DF,Radhi Jaïdi,30 August 1975 (aged 26),40,Espérance
16,GK,Hassen Bejaoui,14 February 1976 (aged 26),2,Bizertin
17,DF,Tarek Thabet,16 August 1971 (aged 30),70,Espérance
18,MF,Selim Benachour,8 September 1981 (aged 20),3,Martigues
19,DF,Emir Mkademi,20 August 1978 (aged 23),9,ES Sahel
20,FW,Ali Zitouni,11 January 1981 (aged 21),23,Espérance
21,MF,Mourad Melki,9 May 1975 (aged 27),11,Espérance
