Colombia
No.,Pos.,Player,Date of birth (age),Caps,Club
4,DF,Alessandro Costacurta,24 April 1966 (aged 28),20,Milan
5,DF,Paolo Maldini,26 June 1968 (aged 25),51,Milan
6,DF,Franco Baresi (c),8 May 1960 (aged 34),77,Milan
7,DF,Lorenzo Minotti,8 February 1967 (aged 27),2,Parma
8,DF,Roberto Mussi,25 August 1963 (aged 30),2,Torino
9,DF,Mauro Tassotti,19 January 1960 (aged 34),5,Milan
10,FW,Roberto Baggio,18 February 1967 (aged 27),36,Juventus
11,MF,Demetrio Albertini,23 August 1971 (aged 22),15,Milan
12,GK,Luca Marchegiani,22 February 1966 (aged 28),5,Lazio
13,MF,Dino Baggio,24 July 1971 (aged 22),13,Juventus
14,MF,Nicola Berti,14 April 1967 (aged 27),26,Inter Milan
15,MF,Antonio Conte,31 July 1969 (aged 24),1,Juventus
16,MF,Roberto Donadoni,9 September 1963 (aged 30),51,Milan
17,MF,Alberigo Evani,1 January 1963 (aged 31),11,Sampdoria
18,FW,Pierluigi Casiraghi,4 March 1969 (aged 25),16,Lazio
19,FW,Daniele Massaro,23 May 1961 (aged 33),9,Milan
20,FW,Giuseppe Signori,17 February 1968 (aged 26),16,Lazio
21,FW,Gianfranco Zola,5 July 1966 (aged 27),6,Parma
22,GK,Luca Bucci,13 March 1969 (aged 25),0,Parma
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jorge Campos,15 October 1966 (aged 27),54,UNAM
2,DF,Claudio Suárez,17 December 1968 (aged 25),41,UNAM
3,DF,Juan de Dios Ramírez Perales,8 March 1969 (aged 25),42,UNAM
4,DF,Ignacio Ambríz (c),7 February 1965 (aged 29),N/A,Necaxa
5,MF,Ramón Ramírez,5 December 1969 (aged 24),31,Santos Laguna
6,MF,Marcelino Bernal,27 May 1962 (aged 32),N/A,Toluca
7,FW,Carlos Hermosillo,24 August 1964 (aged 29),57,Cruz Azul
8,MF,Alberto García Aspe,11 May 1967 (aged 27),29,Necaxa
9,FW,Hugo Sánchez,11 July 1958 (aged 35),N/A,Rayo Vallecano
10,FW,Luis García,1 June 1969 (aged 25),N/A,Atlético Madrid
11,FW,Luis Roberto Alves,23 May 1967 (aged 27),48,América
12,GK,Félix Fernández,11 January 1967 (aged 27),N/A,Atlante
13,MF,Juan Carlos Chávez,18 January 1967 (aged 27),N/A,Atlas
14,MF,Joaquín del Olmo,20 April 1969 (aged 25),N/A,Veracruz
15,MF,Missael Espinoza,12 April 1965 (aged 29),N/A,Guadalajara
16,FW,Luis Antonio Valdéz,1 July 1965 (aged 28),N/A,León
17,MF,Benjamín Galindo,11 December 1960 (aged 33),N/A,Guadalajara
18,DF,José Luis Salgado,3 April 1966 (aged 28),N/A,Tecos
19,FW,Luis Miguel Salvador,26 February 1968 (aged 26),N/A,Atlante
20,MF,Jorge Rodríguez,18 April 1968 (aged 26),N/A,Toluca
21,DF,Raúl Gutiérrez,16 October 1966 (aged 27),N/A,Atlante
22,GK,Adrián Chávez,27 June 1962 (aged 31),N/A,América
Norway
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Erik Thorstvedt,28 October 1962 (aged 31),84,Tottenham Hotspur
2,DF,Gunnar Halle,11 August 1965 (aged 28),44,Oldham Athletic
3,DF,Erland Johnsen,5 April 1967 (aged 27),20,Chelsea
4,DF,Rune Bratseth (c),19 March 1961 (aged 33),57,Werder Bremen
5,DF,Stig Inge Bjørnebye,11 December 1969 (aged 24),34,Liverpool
6,FW,Jostein Flo,3 October 1964 (aged 29),23,Sheffield United
7,MF,Erik Mykland,21 July 1971 (aged 22),25,Start
8,MF,Øyvind Leonhardsen,17 August 1970 (aged 23),29,Rosenborg
9,FW,Jan Age Fjørtoft,10 January 1967 (aged 27),50,Swindon Town
10,MF,Kjetil Rekdal,6 November 1968 (aged 25),32,Lierse
11,FW,Mini Jakobsen,8 November 1965 (aged 28),44,Young Boys
12,GK,Frode Grodås,24 October 1964 (aged 29),12,Lillestrøm
13,GK,Ola By Rise,14 November 1960 (aged 33),25,Rosenborg
14,DF,Roger Nilsen,8 August 1969 (aged 24),20,Sheffield United
15,DF,Karl Petter Løken,14 August 1966 (aged 27),32,Rosenborg
16,FW,Gøran Sørloth,16 July 1962 (aged 31),54,Bursaspor
17,DF,Dan Eggen,13 January 1970 (aged 24),2,Brøndby
18,DF,Alf-Inge Håland,23 November 1972 (aged 21),3,Nottingham Forest
19,MF,Roar Strand,2 February 1970 (aged 24),1,Rosenborg
20,DF,Henning Berg,1 September 1969 (aged 24),16,Blackburn Rovers
21,FW,Sigurd Rushfeldt,11 December 1972 (aged 21),1,Tromsø
22,MF,Lars Bohinen,8 September 1969 (aged 24),29,Nottingham Forest
Ireland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Karl Bateman,24 May 1960 (aged 34),73,Celtic
2,DF,Denis Irwin,31 October 1965 (aged 28),26,Manchester United
3,DF,Terry Phelan,16 March 1967 (aged 27),22,Manchester City
4,DF,Kevin Moran,29 April 1956 (aged 38),71,Blackburn Rovers
5,DF,Paul McGrath,4 December 1959 (aged 34),65,Aston Villa
6,MF,Roy Keane,10 August 1971 (aged 22),22,Manchester United
7,MF,Andy Townsend (c),23 July 1963 (aged 30),45,Aston Villa
8,MF,Ray Houghton,9 January 1962 (aged 32),58,Aston Villa
9,FW,John Aldridge,18 September 1958 (aged 35),57,Tranmere Rovers
10,MF,John Sheridan,1 October 1964 (aged 29),20,Sheffield Wednesday
11,DF,Steve Staunton,19 January 1969 (aged 25),47,Aston Villa
12,DF,Gary Kelly,9 July 1974 (aged 19),5,Leeds United
13,DF,Alan Kernaghan,25 April 1967 (aged 27),11,Manchester City
14,DF,Phil Babb,30 October 1970 (aged 23),5,Coventry City
15,FW,Tommy Coyne,14 November 1962 (aged 31),14,Motherwell
16,FW,Tony Cascarino,1 September 1962 (aged 31),50,Chelsea
17,FW,Eddie McGoldrick,30 April 1965 (aged 29),12,Arsenal
18,MF,Ronnie Whelan,25 September 1961 (aged 32),50,Liverpool
19,MF,Alan McLoughlin,20 April 1967 (aged 27),17,Portsmouth
20,FW,David Kelly,25 November 1965 (aged 28),16,Wolverhampton Wanderers
21,MF,Jason McAteer,18 June 1971 (aged 22),5,Bolton Wanderers
22,GK,Alan Kelly,11 August 1968 (aged 25),3,Sheffield United
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Michel Preud'homme,24 January 1959 (aged 35),51,Mechelen
2,DF,Dirk Medved,15 June 1968 (aged 26),13,Club Brugge
3,DF,Vital Borkelmans,1 June 1963 (aged 31),19,Club Brugge
4,DF,Philippe Albert,10 August 1967 (aged 26),30,Anderlecht
5,DF,Rudi Smidts,12 August 1963 (aged 30),12,Royal Antwerp
6,MF,Lorenzo Staelens,20 April 1964 (aged 30),19,Club Brugge
7,MF,Franky Van Der Elst,30 April 1961 (aged 33),61,Club Brugge
8,FW,Luc Nilis,25 May 1967 (aged 27),25,Anderlecht
9,FW,Marc Degryse,4 September 1965 (aged 28),48,Anderlecht
10,MF,Enzo Scifo,19 February 1966 (aged 28),64,Monaco
11,FW,Alexandre Czerniatynski,28 July 1960 (aged 33),30,Mechelen
12,GK,Filip De Wilde,5 July 1964 (aged 29),4,Anderlecht
13,DF,Georges Grün (c),25 January 1962 (aged 32),69,Parma
14,DF,Michel De Wolf,19 January 1958 (aged 36),37,Anderlecht
15,MF,Marc Emmers,25 February 1966 (aged 28),33,Anderlecht
16,MF,Danny Boffin,10 July 1965 (aged 28),19,Anderlecht
17,FW,Josip Weber,16 November 1964 (aged 29),2,Cercle Brugge
18,MF,Marc Wilmots,22 February 1969 (aged 25),23,Standard Liège
19,DF,Eric Van Meir,28 February 1968 (aged 26),2,Charleroi
20,GK,Dany Verlinden,15 August 1963 (aged 30),0,Club Brugge
21,MF,Stéphane Van Der Heyden,3 July 1969 (aged 24),3,Club Brugge
22,DF,Pascal Renier,3 August 1971 (aged 22),1,Club Brugge
Morocco
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Khalil Azmi,23 August 1964 (aged 29),N/A,Raja Casablanca
2,DF,Nacer Abdellah,3 March 1966 (aged 28),N/A,Waregem
3,DF,Abdelkrim El Hadrioui,6 March 1972 (aged 22),N/A,FAR Rabat
4,MF,Tahar El Khalej,16 June 1968 (aged 26),N/A,KAC Marrakesh
5,DF,Smahi Triki,1 August 1967 (aged 26),N/A,Châteauroux
6,DF,Noureddine Naybet,10 February 1970 (aged 24),N/A,Nantes
7,MF,Mustapha Hadji,16 November 1971 (aged 22),N/A,Nancy
8,MF,Rachid Azzouzi,10 January 1971 (aged 23),N/A,MSV Duisburg
9,FW,Mohammed Chaouch,12 December 1966 (aged 27),N/A,Nice
10,MF,Mustafa El Haddaoui (c),28 July 1961 (aged 32),N/A,Angers
11,MF,Rachid Daoudi,21 February 1966 (aged 28),N/A,WAC Casablanca
12,GK,Said Dghay,14 January 1964 (aged 30),N/A,Olympique Casablanca
13,FW,Ahmed Bahja,21 December 1970 (aged 23),N/A,KAC Marrakesh
14,DF,Ahmed Masbahi,17 January 1966 (aged 28),N/A,KAC Marrakesh
15,MF,El Arbi Hababi,12 August 1967 (aged 26),N/A,Olympique Khouribga
16,FW,Hassan Nader,8 July 1965 (aged 28),N/A,Farense
17,FW,Abdeslam Laghrissi,5 January 1962 (aged 32),N/A,Raja Casablanca
18,DF,Rachid Neqrouz,10 April 1972 (aged 22),N/A,Mouloudia Oujda
19,FW,Abdelmajid Bouyboud,24 October 1966 (aged 27),N/A,WAC Casablanca
20,MF,Hassan Kachloul,19 February 1973 (aged 21),N/A,Nîmes
21,MF,Mohammed Samadi,21 March 1970 (aged 24),N/A,FAR Rabat
22,GK,Zakaria Alaoui,17 June 1966 (aged 28),N/A,KAC Marrakesh
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ed de Goeij,20 December 1966 (aged 27),14,Feyenoord
2,DF,Frank de Boer,15 May 1970 (aged 24),25,Ajax
3,MF,Frank Rijkaard,30 September 1962 (aged 31),69,Ajax
4,DF,Ronald Koeman (c),21 March 1963 (aged 31),73,Barcelona
5,MF,Rob Witschge,22 August 1966 (aged 27),22,Feyenoord
6,MF,Jan Wouters,17 July 1960 (aged 33),66,PSV
7,FW,Marc Overmars,29 March 1973 (aged 21),13,Ajax
8,MF,Wim Jonk,12 October 1966 (aged 27),15,Inter Milan
9,MF,Ronald de Boer,15 May 1970 (aged 24),9,Ajax
10,FW,Dennis Bergkamp,10 May 1969 (aged 25),31,Inter Milan
11,FW,Bryan Roy,12 February 1970 (aged 24),21,Foggia
12,FW,John Bosman,1 February 1965 (aged 29),27,Anderlecht
13,GK,Edwin van der Sar,29 October 1970 (aged 23),0,Ajax
14,DF,Ulrich van Gobbel,16 January 1971 (aged 23),6,Feyenoord
15,DF,Danny Blind,1 August 1961 (aged 32),24,Ajax
16,DF,Arthur Numan,14 December 1969 (aged 24),4,PSV
17,FW,Gaston Taument,1 October 1970 (aged 23),6,Feyenoord
18,DF,Stan Valckx,20 October 1963 (aged 30),7,Sporting CP
19,FW,Peter van Vossen,21 April 1968 (aged 26),10,Ajax
20,MF,Aron Winter,1 March 1967 (aged 27),38,Lazio
21,DF,John de Wolf,10 December 1962 (aged 31),6,Feyenoord
22,GK,Theo Snelders,7 December 1963 (aged 30),1,Aberdeen
Saudi Arabia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mohamed Al-Deayea,2 August 1972 (aged 21),32,Al-Ta'ee
2,DF,Abdullah Al-Dosari,1 November 1969 (aged 24),N/A,Ettifaq FC
3,DF,Mohammed Al-Khilaiwi,21 August 1971 (aged 22),37,Al-Ittihad
4,DF,Abdullah Zubromawi,15 November 1973 (aged 20),12,Al-Ahli
5,DF,Ahmad Jamil Madani,6 January 1970 (aged 24),69,Al-Ittihad
6,MF,Fuad Anwar,13 October 1972 (aged 21),47,Al-Shabab
7,FW,Fahad Al-Ghesheyan,1 August 1973 (aged 20),N/A,Al Hilal
8,MF,Fahad Al-Bishi,10 September 1965 (aged 28),N/A,Al-Nasser
9,FW,Majed Abdullah (c),1 November 1959 (aged 34),114,Al-Nasser
10,MF,Saeed Al-Owairan,19 August 1967 (aged 26),N/A,Al-Shabab
11,FW,Fahad Al-Mehallel,11 November 1970 (aged 23),30,Al-Shabab
12,FW,Sami Al-Jaber,11 December 1972 (aged 21),32,Al Hilal
13,DF,Mohamed Al-Jawad,28 November 1962 (aged 31),117,Al-Ahli
14,MF,Khalid Al-Muwallid,23 November 1971 (aged 22),51,Al-Ahli
15,DF,Saleh Al-Dawod,24 September 1968 (aged 25),N/A,Al-Shabab
16,MF,Talal Jebreen,25 September 1973 (aged 20),N/A,Al-Riyadh
17,DF,Yassir Al-Taifi,10 May 1971 (aged 23),N/A,Al-Riyadh
18,DF,Awad Al-Anazi,24 September 1968 (aged 25),N/A,Al-Shabab
19,MF,Hamzah Saleh,19 April 1967 (aged 27),N/A,Al-Ahli
20,FW,Hamzah Idris,8 October 1972 (aged 21),N/A,Ohud
21,GK,Hussein Al-Sadiq,15 October 1973 (aged 20),N/A,Al-Qadisiya
22,GK,Ibrahim Al-Helwah,18 August 1972 (aged 21),N/A,Al-Riyadh
