Argentina
-,FW,Roberto Gayón,1 January 1905 (age 25),,América
-,FW,Hilario López,18 November 1907 (aged 22),,Marte
-,FW,Dionisio Mejía,6 January 1907 (aged 23),,Atlante
-,FW,Felipe Olivares,18 November 1907 (age 22),,Atlante
-,FW,Luis Pérez,1 January 1907 (age 23),,Necaxa
-,MF,Raymundo Rodríguez,15 April 1905 (age 25),,Marte
-,MF,Felipe Rosas,5 February 1910 (aged 20),,Atlante
-,DF,Manuel Rosas,17 April 1912 (aged 18),,Atlante
-,FW,José Ruíz,1 January 1904 (age 26),,Necaxa
-,MF,Alfredo Viejo Sánchez,24 May 1908 (aged 22),,América
-,GK,Isidoro Sota,4 February 1902 (aged 28),,América
-,MF,Felipe Rosas,5 February 1910 (aged 20),,Atlante
-,DF,Manuel Rosas,17 April 1912 (aged 18),,Atlante
-,FW,José Ruíz,1 January 1904 (age 26),,Necaxa
-,MF,Alfredo Viejo Sánchez,24 May 1908 (aged 22),,América
-,GK,Isidoro Sota,4 February 1902 (aged 28),,América
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Milorad Arsenijević,6 June 1906 (aged 24),16,BSK Beograd
-,FW,Ivan Bek,29 October 1909 (aged 20),2,FC Sète
-,FW,Momčilo Đokić,27 February 1911 (aged 19),2,Jugoslavija Beograd
-,MF,Branislav Hrnjiček,5 June 1908 (aged 22),4,Jugoslavija Beograd
-,DF,Milutin Ivković (c),3 March 1906 (aged 24),22,SK Soko
-,GK,Milovan Jakšić,21 September 1909 (aged 20),2,SK Soko
-,FW,Blagoje Marjanović,9 September 1907 (aged 22),15,BSK Beograd
-,FW,Bodizar Marković,,0,Vojvodina Novi Sad
-,DF,Dragoslav Mihajlović,13 December 1906 (aged 23),1,BSK Beograd
-,FW,Dragutin Najdanović,15 April 1908 (aged 22),3,BSK Beograd
-,FW,Branislav Sekulić,29 October 1906 (aged 23),3,Club Francais
-,MF,Teofilo Spasojević,21 January 1909 (aged 21),1,Jugoslavija Beograd
-,DF,Ljubiša Stefanović,4 January 1910 (aged 20),0,FC Sète
-,GK,Milan Stojanović,28 December 1911 (aged 18),0,BSK Beograd
-,FW,Aleksandar Tirnanić,15 July 1911 (aged 18),5,BSK Beograd
-,DF,Dragomir Tošić,8 November 1909 (aged 20),0,BSK Beograd
-,FW,Đorđe Vujadinović,6 December 1909 (aged 20),4,BSK Beograd
-,DF,Ljubiša Stefanović,4 January 1910 (aged 20),0,FC Sète
-,GK,Milan Stojanović,28 December 1911 (aged 18),0,BSK Beograd
-,FW,Aleksandar Tirnanić,15 July 1911 (aged 18),5,BSK Beograd
-,DF,Dragomir Tošić,8 November 1909 (aged 20),0,BSK Beograd
-,FW,Đorđe Vujadinović,6 December 1909 (aged 20),4,BSK Beograd
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Araken,17 July 1905 (aged 24),,Flamengo
-,FW,Benedicto,10 May 1910 (aged 20),,Botafogo
-,DF,Brilhante,5 November 1904 (aged 25),,Vasco da Gama
-,FW,Carvalho Leite,25 June 1912 (aged 18),,Botafogo
-,MF,Fausto,28 January 1905 (aged 25),,Vasco da Gama
-,MF,Fernando,1 March 1906 (aged 24),,Fluminense
-,MF,Fortes,9 September 1901 (aged 28),,Fluminense
-,MF,Hermógenes,4 November 1908 (aged 21),,America-RJ
-,DF,Itália,22 May 1907 (aged 23),,Vasco da Gama
-,MF,Ivan Mariz,16 May 1910 (aged 20),,Fluminense
-,GK,Joel,1 May 1904 (aged 26),,America-RJ
-,FW,Manoelzinho,22 August 1907 (aged 22),,Ypiranga
-,FW,Moderato,14 July 1902 (aged 27),,Flamengo
-,FW,Nilo,3 April 1903 (aged 27),,Botafogo
-,MF,Oscarino,17 January 1907 (aged 23),,Ypiranga
-,MF,Pamplona,24 March 1904 (aged 26),,Botafogo
-,FW,Poly,26 January 1909 (aged 21),,Americano
-,FW,Preguinho,8 February 1905 (aged 25),,Fluminense
-,FW,Russinho,18 December 1902 (aged 27),,Vasco da Gama
-,FW,Teóphilo,11 April 1900 (aged 30),,São Cristóvão
-,GK,Velloso,25 September 1908 (aged 21),,Fluminense
-,DF,Zé Luiz,16 November 1904 (aged 25),,São Cristóvão
Bolivia
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Mario Alborta,19 September 1910 (age 19),7,Club Bolívar
-,MF,Juan Argote,1 January 1906 (age 24),0,Club Bolívar
-,GK,Jesús Bermúdez,1 January 1902 (age 28),6,Oruro Royal
-,MF,Miguel Brito,1 January 1900 (age 30),0,Oruro Royal
-,FW,José Bustamante,1 January 1907 (age 23),7,Litoral
-,DF,Casiano Chavarría,3 August 1901 (aged 28),6,Calavera La Paz
-,DF,Segundo Durandal,17 March 1912 (aged 18),0,Club San José
-,FW,René Fernández,1 January 1906 (age 24),0,Alianza Oruro
-,FW,Gumersindo Gómez,1 January 1907 (age 23),0,Oruro Royal
-,MF,Diógenes Lara,6 April 1903 (age 27),7,Club Bolívar
-,FW,Rafael Méndez (c),1 January 1904 (age 26),7,Universitario La Paz
-,GK,Miguel Murillo,1 January 1900 (age 30),0,Club Bolívar
-,MF,Constantino Noya,1 January 1900 (age 30),0,Oruro Royal
-,FW,Eduardo Reyes Ortiz,1 January 1907 (age 23),0,The Strongest
*,DF,Luis Reyes Peñaranda,5 June 1900 (age 30),0,Universitario La Paz
-,MF,Renato Sáinz,14 December 1899 (aged 30),,The Strongest
-,MF,Jorge Valderrama,12 December 1906 (aged 23),5,Oruro Royal
-,MF,Constantino Noya,1 January 1900 (age 30),0,Oruro Royal
-,FW,Eduardo Reyes Ortiz,1 January 1907 (age 23),0,The Strongest
*,DF,Luis Reyes Peñaranda,5 June 1900 (age 30),0,Universitario La Paz
-,MF,Renato Sáinz,14 December 1899 (aged 30),,The Strongest
-,MF,Jorge Valderrama,12 December 1906 (aged 23),5,Oruro Royal
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
,MF,José Leandro Andrade,22 November 1901 (aged 28),30,Nacional
,FW,Peregrino Anselmo,30 April 1902 (aged 28),8,Peñarol
,GK,Enrique Ballestrero,18 January 1905 (aged 25),1,Rampla Juniors
-,FW,Juan Carlos Calvo,26 June 1906 (aged 24),-,Miramar Misiones
-,GK,Miguel Capuccini,5 January 1904 (aged 26),6,Peñarol
,FW,Héctor Castro,29 November 1904 (aged 25),17,Nacional
',FW,Pedro Cea,1 September 1900 (aged 29),21,Nacional
,FW,Pablo Dorado,22 June 1908 (aged 22),2,Bella Vista
,MF,Lorenzo Fernández,20 May 1900 (aged 30),20,Peñarol
,MF,Álvaro Gestido,17 May 1907 (aged 23),10,Peñarol
',FW,Santos Iriarte,2 November 1902 (aged 27),-,Racing Club
,DF,Ernesto Mascheroni,21 November 1907 (aged 22),-,Olimpia
-,MF,Ángel Melogno,22 March 1905 (aged 25),5,Bella Vista
,DF,José Nasazzi (c),24 May 1901 (aged 29),28,Bella Vista
,FW,Pedro Petrone,11 May 1905 (aged 25),28,Nacional
-,MF,Conduelo Píriz,17 June 1905 (aged 25),7,Nacional
-,DF,Emilio Recoba,3 November 1904 (aged 25),5,Nacional
-,MF,Carlos Riolfo,5 November 1905 (aged 24),2,Peñarol
-,FW,Zoilo Saldombide,18 March 1905 (aged 25),14,Nacional
,FW,Héctor Scarone,26 November 1898 (aged 31),49,Nacional
,DF,Domingo Tejera,27 July 1899 (aged 30),15,Montevideo Wanderers
,FW,Santos Urdinarán,30 March 1900 (aged 30),19,Nacional
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Ştefan Barbu,2 March 1908 (aged 22),4,Gloria Arad
-,DF,Rudolf Bürger,31 October 1908 (aged 21),4,Chinezul Timişoara
-,DF,Iosif Czako,11 June 1906 (aged 24),1,UDR Reşiţa
-,FW,Adalbert Deşu,24 March 1909 (aged 21),4,UDR Reşiţa
-,MF,Alfred Eisenbeisser,7 April 1908 (aged 22),0,Dragoş Vodă Cernăuţi
-,FW,Miklós Kovács,23 December 1911 (aged 18),3,Banatul Timișoara
-,GK,Ion Lǎpuşneanu,8 December 1908 (aged 21),3,Sportul Studenţesc
-,MF,Ladislau Raffinsky,23 April 1905 (aged 25),4,Juventus Bucuresti
-,MF,Corneliu Robe,23 May 1908 (aged 22),0,Olympia Bucureşti
-,FW,Constantin Stanciu,5 March 1911 (aged 19),4,Venus Bucureşti
-,DF,Adalbert Steiner,24 January 1907 (aged 23),9,Chinezul Timişoara
-,FW,Ilie Subăşeanu,1 January 1906 (aged 24),2,Olympia Bucureşti
-,DF,Emerich Vogl,12 August 1905 (aged 24),10,Juventus Bucureşti
-,FW,Rudolf Wetzer,17 March 1901 (aged 29),12,Juventus Bucureşti
-,GK,Samuel Zauber,10 November 1900 (aged 29),0,Maccabi Bucureşti
-,MF,Corneliu Robe,23 May 1908 (aged 22),0,Olympia Bucureşti
-,FW,Constantin Stanciu,5 March 1911 (aged 19),4,Venus Bucureşti
-,DF,Adalbert Steiner,24 January 1907 (aged 23),9,Chinezul Timişoara
-,FW,Ilie Subăşeanu,1 January 1906 (aged 24),2,Olympia Bucureşti
-,DF,Emerich Vogl,12 August 1905 (aged 24),10,Juventus Bucureşti
-,FW,Rudolf Wetzer,17 March 1901 (aged 29),12,Juventus Bucureşti
-,GK,Samuel Zauber,10 November 1900 (aged 29),0,Maccabi Bucureşti
Peru
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Eduardo Astengo,15 August 1905 (aged 24),,Universitario de Deportes
-,MF,Carlos Cillóniz,1 July 1910 (aged 20),,Universitario de Deportes
-,DF,Mario de las Casas,31 January 1901 (aged 29),,Lawn Tennis de la Exposición
-,MF,Alberto Denegri,,,Universitario de Deportes
-,DF,Arturo Fernández,10 April 1910 (aged 20),,Universitario de Deportes
-,MF,Plácido Galindo,9 March 1906 (aged 24),,Universitario de Deportes
-,MF,Domingo García,1904,,Alianza Lima
-,FW,José María Lavalle,5 June 1911 (aged 19),,Alianza Lima
-,FW,Julio Lores,15 September 1908 (aged 21),,Necaxa
-,DF,Antonio Maquilón,29 November 1902 (aged 27),,Tarapacá Ferroviario
-,FW,Demetrio Neyra,15 December 1908 (aged 21),,Alianza Lima
-,FW,Pablo Pacheco,,,Universitario de Deportes
-,GK,Jorge Pardon,19 December 1909 (aged 20),,Sporting Tabaco
-,MF,Julio Quintana,13 July 1904 (aged 26),,Alianza Lima
-,FW,Lizardo Rodríguez Nue,30 August 1910 (aged 19),,Sport Progreso
-,FW,Jorge Sarmiento,2 November 1900 (aged 29),,Alianza Lima
-,DF,Alberto Soria,10 March 1906 (aged 24),,Alianza Lima
-,FW,Luis Souza Ferreira,30 June 1904 (aged 26),,Universitario de Deportes
-,GK,Juan Valdivieso,6 May 1910 (aged 20),,Alianza Lima
-,FW,Alejandro Villanueva,4 June 1908 (aged 22),,Alianza Lima
-,GK,Juan Valdivieso,6 May 1910 (aged 20),,Alianza Lima
-,FW,Alejandro Villanueva,4 June 1908 (aged 22),,Alianza Lima
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Andy Auld,26 January 1900 (aged 30),1,Providence Gold Bugs
-,FW,Mike Bookie,12 September 1904 (aged 25),0,Cleveland Slavia
-,FW,Jim Brown,31 December 1908 (aged 21),3,New York Giants
-,GK,Jimmy Douglas,12 January 1898 (aged 32),5,New York Nationals
-,FW,Tom Florie (c),6 September 1897 (aged 32),2,New Bedford Whalers
-,MF,Jimmy Gallagher,7 June 1901 (aged 29),2,New York Nationals
-,FW,James Gentle,21 July 1904 (aged 25),0,Philadelphia Field Club
-,FW,Billy Gonsalves,10 August 1908 (aged 21),0,Fall River Marksmen
-,FW,Bart McGhee,30 April 1899 (aged 31),0,New York Nationals
-,DF,George Moorhouse,4 May 1901 (aged 29),1,New York Giants
-,FW,Arnie Oliver,22 May 1907 (aged 23),0,Providence Gold Bugs
-,FW,Bert Patenaude,4 November 1909 (aged 20),0,Fall River Marksmen
-,MF,Philip Slone,20 January 1907 (aged 23),0,New York Giants
-,FW,Raphael Tracey,6 February 1904 (aged 26),0,Ben Millers
-,DF,Frank Vaughn,18 February 1902 (aged 28),0,Ben Millers
-,DF,Alexander Wood,12 June 1907 (aged 23),0,Detroit Holley Carburetor
-,FW,Arnie Oliver,22 May 1907 (aged 23),0,Providence Gold Bugs
-,FW,Bert Patenaude,4 November 1909 (aged 20),0,Fall River Marksmen
-,MF,Philip Slone,20 January 1907 (aged 23),0,New York Giants
-,FW,Raphael Tracey,6 February 1904 (aged 26),0,Ben Millers
-,DF,Frank Vaughn,18 February 1902 (aged 28),0,Ben Millers
-,DF,Alexander Wood,12 June 1907 (aged 23),0,Detroit Holley Carburetor
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Francisco Aguirre,1908,,Olimpia
-,GK,Pedro Benítez,12 January 1901 (aged 29),,Libertad
-,MF,Santiago Benítez,1906,,Olimpia
-,FW,Delfín Benítez Cáceres,24 September 1910 (aged 19),,Libertad
-,FW,Saguier Carreras,,,Sportivo Luqueño
-,DF,Eustacio Chamorro,,,Presidente Hayes
-,GK,Modesto Denis,1901,,Nacional
-,MF,Eusebio Díaz,1901,,Guaraní
-,FW,Diógenes Domínguez,1902,,Sportivo Luqueño
-,MF,Romildo Etcheverry,1907,,Olimpia
-,MF,Diego Florentín,,,River Plate
-,DF,Salvador Flores,1906,,Cerro Porteño
-,MF,Tranquilino Garcete,1907,,Libertad
-,FW,Aurelio González,25 September 1905 (aged 24),,Olimpia
-,DF,José Miracca,23 September 1903 (aged 26),,Nacional
-,FW,Lino Nessi,1904,,Libertad
-,DF,Quiterio Olmedo,21 December 1907 (aged 22),,Nacional
-,FW,Amadeo Ortega,,,River Plate
-,FW,Bernabé Rivera,,,Sportivo Luqueño
-,FW,Gerardo Romero,1906,,Libertad
-,FW,Luis Vargas Peña (c),1905,,Olimpia
-,FW,Jacinto Villalba,,,Cerro Porteño
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Ferdinand Adams,3 May 1903 (aged 27),21,SC Anderlechtois
-,GK,Arnold Badjou,26 June 1909 (aged 21),3,Daring Club de Bruxelles Societe Royale
-,MF,Pierre Braine (c),26 October 1900 (aged 29),42,Royal Beerschot AC
-,MF,Alexis Chantraine,16 March 1901 (aged 29),0,Royal FC Liegeois
-,GK,Jean De Bie,9 May 1892 (aged 38),37,Royal Racing Club de Bruxelles
-,MF,Jean De Clercq,17 May 1905 (aged 25),5,Royal Antwerp FC
-,DF,Henri De Deken,3 August 1907 (aged 22),0,Royal Antwerp FC
-,MF,Gérard Delbeke,1 September 1903 (aged 26),0,Royal FC Brugeois
-,FW,Jan Diddens,14 September 1908 (aged 21),21,RC de Malines Societe Royale
-,MF,August Hellemans,14 September 1907 (aged 22),4,Royal FC Malinois
-,DF,Nic Hoydonckx,29 December 1900 (aged 29),19,FC Excelsior Hasselt
-,FW,Jacques Moeschal,6 September 1900 (aged 29),15,Royal Racing Club de Bruxelles
-,DF,Theodore Nouwens,17 February 1908 (aged 22),10,RC de Malines Societe Royale
-,FW,André Saeys,20 February 1911 (aged 19),0,Royal CS Brugeois
-,FW,Louis Versyp,5 December 1908 (aged 21),7,Royal FC Brugeois
-,FW,Bernard Voorhoof,10 May 1910 (aged 20),6,Liersche Sportkring
-,DF,Nic Hoydonckx,29 December 1900 (aged 29),19,FC Excelsior Hasselt
-,FW,Jacques Moeschal,6 September 1900 (aged 29),15,Royal Racing Club de Bruxelles
-,DF,Theodore Nouwens,17 February 1908 (aged 22),10,RC de Malines Societe Royale
-,FW,André Saeys,20 February 1911 (aged 19),0,Royal CS Brugeois
-,FW,Louis Versyp,5 December 1908 (aged 21),7,Royal FC Brugeois
-,FW,Bernard Voorhoof,10 May 1910 (aged 20),6,Liersche Sportkring
