Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
,GK,Ángel Bossio,5 May 1905 (aged 25),,Talleres
,GK,Juan Botasso,23 October 1908 (aged 21),,Argentino de Quilmes
,FW,Roberto Cherro,23 February 1907 (aged 23),,Boca Juniors
,DF,Alberto Chividini,23 February 1907 (aged 23),,Estudiantil Porteño
,FW,Attilio Demaría,19 March 1909 (aged 21),,Gimnasia y Esgrima La Plata
,DF,José Della Torre,23 March 1906 (aged 24),,Racing
,MF,Juan Evaristo,20 June 1902 (aged 28),,Sportivo Barracas
,FW,Mario Evaristo,10 December 1908 (aged 21),,Boca Juniors
,FW,Manuel Ferreira (c),22 October 1905 (aged 24),,Estudiantes de La Plata
,MF,Luis Monti,15 May 1901 (aged 29),,San Lorenzo
,DF,Ramón Muttis,12 March 1899 (aged 31),,Boca Juniors
,MF,Rodolfo Orlandini,1 January 1905 (aged 25),,Estudiantil Porteño
,DF,Fernando Paternoster,24 May 1903 (aged 27),,Racing
,FW,Natalio Perinetti,28 December 1900 (aged 29),,Racing
,FW,Carlos Peucelle,13 September 1908 (aged 21),,Sportivo Buenos Aires
,DF,Edmundo Piaggio,3 October 1905 (aged 24),,Lanús
,FW,Alejandro Scopelli,12 May 1908 (aged 22),,Estudiantes de La Plata
,FW,Carlos Spadaro,5 February 1902 (aged 28),,Lanús
,FW,Guillermo Stábile,17 January 1905 (aged 25),,Huracán
,MF,Pedro Suárez,5 June 1908 (aged 22),,Boca Juniors
,FW,Francisco Varallo,5 February 1910 (aged 20),,Gimnasia y Esgrima La Plata
,MF,Adolfo Zumelzú,5 January 1902 (aged 28),,Estudiantil Porteño
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Juan Aguilera,23 October 1903 (aged 26),,Audax Italiano
-,FW,Guillermo Arellano,21 August 1908 (aged 21),,Colo-Colo
-,DF,Ernesto Chaparro,4 January 1901 (aged 29),,Colo-Colo
-,MF,Arturo Coddou,14 January 1905 (aged 25),,Lord Corchane
-,GK,Roberto Cortés,2 February 1905 (aged 25),,Colo-Colo
-,MF,Humberto Elgueta,10 September 1904 (aged 25),,Deportivo Naval
-,GK,César Espinoza,28 September 1900 (aged 29),,Santiago National
-,DF,Víctor Morales,10 May 1905 (aged 25),,Colo-Colo
-,FW,Horacio Muñoz,1 January 1900 (aged 30),,Arturo Fernández Vial
-,FW,Tomás Ojeda,20 April 1910 (aged 20),,Boca Juniors Antofagasta
-,DF,Ulises Poirier,2 February 1897 (aged 33),,La Cruz FC
-,DF,Guillermo Riveros,10 February 1902 (aged 28),,La Cruz FC
-,MF,Guillermo Saavedra,5 November 1903 (aged 26),,Colo-Colo
-,FW,Carlos Schneeberger (c),21 June 1902 (aged 28),,Colo-Colo
-,FW,Guillermo Subiabre,25 February 1902 (aged 28),,Colo-Colo
-,MF,Arturo Torres,20 October 1906 (aged 23),,Colo-Colo
-,MF,Casimiro Torres,1 January 1906 (age 24),,Everton
-,FW,Carlos Vidal,24 February 1902 (aged 28),,Federico Schwager
-,FW,Eberardo Villalobos,1 April 1908 (aged 22),,Rangers
-,MF,Casimiro Torres,1 January 1906 (age 24),,Everton
-,FW,Carlos Vidal,24 February 1902 (aged 28),,Federico Schwager
-,FW,Eberardo Villalobos,1 April 1908 (aged 22),,Rangers
France
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Numa Andoire,19 March 1908 (aged 22),0,Olympique Antibes
-,DF,Marcel Capelle,11 December 1904 (aged 25),4,Racing Club de France
-,MF,Augustin Chantrel,11 November 1906 (aged 23),8,Stade Français
-,MF,Edmond Delfour,1 November 1907 (aged 22),6,Racing Club de France
-,MF,Célestin Delmer,15 February 1907 (aged 23),2,Amiens AC
-,FW,Marcel Langiller,2 June 1908 (aged 22),8,Excelsior AC Roubaix
-,DF,Jean Laurent,30 December 1906 (aged 23),3,FC Sochaux
-,FW,Lucien Laurent,10 December 1907 (aged 22),2,FC Sochaux
-,FW,Ernest Libérati,22 March 1906 (aged 24),3,Amiens AC
-,FW,André Maschinot,28 June 1903 (aged 27),3,FC Sochaux
-,DF,Étienne Mattler,25 December 1905 (aged 24),1,FC Sochaux
-,FW,Marcel Pinel,8 July 1908 (aged 22),3,Red Star Paris
-,GK,André Tassin,23 February 1902 (aged 28),0,Racing Club de France
-,GK,Alex Thépot,30 July 1906 (aged 23),12,Red Star Paris
-,FW,Émile Veinante,12 June 1907 (aged 23),3,Racing Club de France
-,MF,Alexandre Villaplane (c),12 September 1905 (aged 24),22,Racing Club de France
-,DF,Étienne Mattler,25 December 1905 (aged 24),1,FC Sochaux
-,FW,Marcel Pinel,8 July 1908 (aged 22),3,Red Star Paris
-,GK,André Tassin,23 February 1902 (aged 28),0,Racing Club de France
-,GK,Alex Thépot,30 July 1906 (aged 23),12,Red Star Paris
-,FW,Émile Veinante,12 June 1907 (aged 23),3,Racing Club de France
-,MF,Alexandre Villaplane (c),12 September 1905 (aged 24),22,Racing Club de France
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Efraín Amézcua,3 August 1907 (aged 22),,Atlante
-,GK,Oscar Bonfiglio,5 October 1905 (aged 24),,Marte
-,FW,Juan Carreño,14 August 1907 (aged 22),,Atlante
-,FW,Jesús Castro,1 January 1900 (age 30),,América
-,DF,Rafael Garza Gutiérrez (c),13 December 1896 (aged 33),,América
-,DF,Francisco Garza Gutiérrez,14 March 1904 (aged 26),,América
