Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Pilar Reyes,12 October 1955 (aged 22),,Tigres UANL
2,DF,Manuel Nájera,20 December 1952 (aged 25),,Leones Negros
3,DF,Alfredo Tena,21 November 1956 (aged 21),,América
4,DF,Eduardo Ramos,8 November 1949 (aged 28),,Guadalajara
5,DF,Arturo Vázquez Ayala (c),26 June 1949 (aged 28),,UNAM Pumas
6,MF,Guillermo Mendizábal,8 October 1954 (aged 23),,Cruz Azul
7,MF,Antonio de la Torre,21 September 1951 (aged 26),,América
8,FW,Enrique López Zarza,25 October 1957 (aged 20),,Club UNAM
9,FW,Víctor Rangel,11 March 1957 (aged 21),,Guadalajara
10,MF,Cristóbal Ortega,25 July 1956 (aged 21),,América
11,FW,Hugo Sánchez,11 July 1958 (aged 19),,Club UNAM
12,DF,Jesús Martínez,7 June 1952 (aged 25),,América
13,DF,Rigoberto Cisneros,15 August 1953 (aged 24),,Toluca
14,DF,Carlos Gómez,16 August 1952 (aged 25),,León
15,DF,Ignacio Flores Ocaranza,31 July 1953 (aged 24),,Cruz Azul
16,MF,Javier Cárdenas,8 December 1952 (aged 25),,Toluca
17,MF,Leonardo Cuéllar,14 January 1952 (aged 26),,UNAM Pumas
18,MF,Gerardo Lugo,13 March 1955 (aged 23),,Atlante
19,FW,Hugo René Rodríguez,14 March 1959 (aged 19),,Laguna
20,FW,Mario Medina,2 September 1952 (aged 25),,Toluca
21,FW,Raúl Isiordia,22 December 1952 (aged 25),,Atlético Español
22,GK,Pedro Soto,22 October 1952 (aged 25),,América
Poland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jan Tomaszewski,9 January 1948 (aged 30),,ŁKS Łódź
2,FW,Włodzimierz Mazur,18 April 1954 (aged 24),,Zagłębie Sosnowiec
3,DF,Henryk Maculewicz,24 April 1950 (aged 28),,Wisła Kraków
4,DF,Antoni Szymanowski,13 January 1951 (aged 27),,Wisła Kraków
5,MF,Adam Nawałka,23 October 1957 (aged 20),,Wisła Kraków
6,DF,Jerzy Gorgoń,18 July 1949 (aged 28),,Górnik Zabrze
7,FW,Andrzej Iwan,10 November 1959 (aged 18),,Wisła Kraków
8,MF,Henryk Kasperczak,10 July 1946 (aged 31),,Stal Mielec
9,DF,Władysław Żmuda,6 June 1954 (aged 23),,Śląsk Wrocław
10,DF,Wojciech Rudy,24 October 1952 (aged 25),,Zagłębie Sosnowiec
11,MF,Bohdan Masztaler,19 September 1949 (aged 28),,ŁKS Łódź
12,MF,Kazimierz Deyna (c),23 October 1947 (aged 30),,Legia Warsaw
13,DF,Janusz Kupcewicz,9 December 1955 (aged 22),,Arka Gdynia
14,DF,Mirosław Justek,23 September 1948 (aged 29),,Lech Poznań
15,MF,Marek Kusto,29 April 1954 (aged 24),,Legia Warsaw
16,FW,Grzegorz Lato,8 April 1950 (aged 28),,Stal Mielec
17,FW,Andrzej Szarmach,3 October 1950 (aged 27),,Stal Mielec
18,MF,Zbigniew Boniek,3 March 1956 (aged 22),,Widzew Łódź
19,FW,Włodzimierz Lubański,28 February 1947 (aged 31),,Lokeren
20,DF,Roman Wójcicki,8 January 1958 (aged 20),,Odra Opole
21,GK,Zygmunt Kukla,21 January 1948 (aged 30),,Stal Mielec
22,GK,Zdzisław Kostrzewa,26 October 1955 (aged 22),,Zagłębie Sosnowiec
Tunisia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,"Sadok ""Attouga"" Sassi",15 November 1945 (aged 32),,Club Africain
2,DF,Mokhtar Dhouib,23 March 1952 (aged 26),,CS Sfaxien
3,DF,Ali Kaabi,15 November 1953 (aged 24),,COT Tunis
4,MF,Khaled Gasmi,8 April 1953 (aged 25),,Club Bizerta
5,DF,"Mohsen ""Jendoubi"" Labidi",15 January 1954 (aged 24),,Stade Tunis
6,MF,Néjib Ghommidh,12 March 1953 (aged 25),,Club Africain
7,FW,Témime Lahzami (c),1 January 1949 (aged 29),,Al-Ittihad
8,MF,Hamadi Agrebi,20 March 1951 (aged 27),,CS Sfaxien
9,FW,Mohamed Akid,5 July 1949 (aged 28),,CS Sfaxien
10,MF,Tarak Dhiab,15 July 1954 (aged 23),,Espérance
11,FW,Abderraouf Ben Aziza,23 September 1953 (aged 24),,Étoile Sportive du Sahel
12,MF,Khemais Labidi,30 August 1950 (aged 27),,JS Kairouan
13,FW,Néjib Liman,12 June 1953 (aged 24),,Stade Tunis
14,FW,Slah Karoui,11 September 1951 (aged 26),,Étoile Sportive du Sahel
15,FW,Mohamed Ben Mouza,5 April 1954 (aged 24),,Club Africain
16,FW,Ohman Chehaibi,23 December 1954 (aged 23),,JS Kairouan
17,DF,Ridha El Louze,27 April 1953 (aged 25),,Sfax Railways Sports
18,DF,Kamel Chebli,9 March 1954 (aged 24),,Club Africain
19,FW,Mokhtar Hasni,19 March 1952 (aged 26),,La Louviére
20,DF,Amor Jebali,24 December 1956 (aged 21),,AS Marsa
21,GK,Lamine Ben Aziza,10 November 1952 (aged 25),,Étoile Sportive du Sahel
22,GK,Mokhtar Naili,3 September 1953 (aged 24),,Club Africain
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sepp Maier,28 February 1944 (aged 34),,Bayern Munich
2,DF,Berti Vogts (c),30 December 1946 (aged 31),,Borussia Mönchengladbach
3,DF,Bernard Dietz,22 March 1948 (aged 30),,MSV Duisburg
4,MF,Rolf Rüssmann,13 October 1950 (aged 27),,Schalke 04
5,DF,Manfred Kaltz,6 January 1953 (aged 25),,Hamburger SV
6,MF,Rainer Bonhof,29 March 1952 (aged 26),,Borussia Mönchengladbach
7,FW,Rüdiger Abramczik,18 February 1956 (aged 22),,Schalke 04
8,FW,Herbert Zimmermann,1 July 1954 (aged 23),,1. FC Köln
9,FW,Klaus Fischer,27 December 1949 (aged 28),,Schalke 04
10,MF,Heinz Flohe,28 January 1948 (aged 30),,1. FC Köln
11,FW,Karl-Heinz Rummenigge,25 September 1955 (aged 22),,Bayern Munich
12,DF,Hans-Georg Schwarzenbeck,3 April 1948 (aged 30),,Bayern Munich
13,DF,Harald Konopka,18 November 1952 (aged 25),,1. FC Köln
14,FW,Dieter Müller,1 April 1954 (aged 24),,1. FC Köln
15,MF,Erich Beer,9 December 1946 (aged 31),,Hertha BSC
16,MF,Bernhard Cullmann,1 November 1949 (aged 28),,1. FC Köln
17,FW,Bernd Hölzenbein,9 March 1946 (aged 32),,Eintracht Frankfurt
18,MF,Gerd Zewe,13 June 1950 (aged 27),,Fortuna Düsseldorf
19,FW,Ronald Worm,7 October 1953 (aged 24),,MSV Duisburg
20,MF,Hansi Müller,27 July 1957 (aged 20),,VfB Stuttgart
21,GK,Rudolf Kargus,15 August 1952 (aged 25),,Hamburger SV
22,GK,Dieter Burdenski,26 November 1950 (aged 27),,Werder Bremen
Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Friedrich Koncilia,25 February 1948 (aged 30),37,SSW Innsbruck
2,DF,Robert Sara (c),9 June 1946 (aged 31),37,Austria Wien
3,DF,Erich Obermayer,23 January 1953 (aged 25),10,Austria Wien
4,DF,Gerhard Breitenberger,14 October 1954 (aged 23),11,VÖEST Linz
5,DF,Bruno Pezzey,3 February 1955 (aged 23),25,SSW Innsbruck
6,MF,Roland Hattenberger,7 December 1948 (aged 29),23,VfB Stuttgart
7,MF,Josef Hickersberger,27 April 1948 (aged 30),33,Fortuna Düsseldorf
8,MF,Herbert Prohaska,8 August 1955 (aged 22),27,Austria Wien
9,FW,Hans Krankl,14 February 1953 (aged 25),34,Rapid Wien
10,FW,Wilhelm Kreuz,29 May 1949 (aged 29),35,Feyenoord
11,MF,Kurt Jara,14 October 1950 (aged 27),29,MSV Duisburg
12,MF,Eduard Krieger,16 December 1946 (aged 31),20,Club Brugge
13,MF,Günther Happich,28 January 1952 (aged 26),4,Wiener Sport-Club
14,DF,Heinrich Strasser,26 October 1948 (aged 29),20,Admira/Wacker
15,DF,Heribert Weber,28 June 1955 (aged 22),7,Sturm Graz
16,DF,Peter Persidis,8 March 1947 (aged 31),7,Rapid Wien
17,FW,Franz Oberacher,24 March 1954 (aged 24),3,SSW Innsbruck
18,FW,Walter Schachner,1 February 1957 (aged 21),6,DSV Alpine Donawitz
19,FW,Hans Pirkner,25 March 1946 (aged 32),18,Austria Wien
20,MF,Ernst Baumeister,22 January 1957 (aged 21),1,Austria Wien
21,GK,Erwin Fuchsbichler,27 March 1952 (aged 26),2,VÖEST Linz
22,GK,Hubert Baumgartner,25 February 1955 (aged 23),1,Austria Wien
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Leão,11 July 1949 (aged 28),50,Palmeiras
2,DF,Toninho,7 June 1948 (aged 29),4,Flamengo
3,DF,Oscar,20 June 1954 (aged 23),4,Ponte Preta
4,DF,Amaral,25 December 1954 (aged 23),22,Guarani
5,MF,Toninho Cerezo,21 April 1955 (aged 23),16,Atlético Mineiro
6,DF,Edinho,5 June 1955 (aged 22),12,Fluminense
7,FW,Zé Sérgio,8 March 1957 (aged 21),2,São Paulo
8,MF,Zico,3 March 1953 (aged 25),21,Flamengo
9,FW,Reinaldo,11 January 1957 (aged 21),12,Atlético Mineiro
10,FW,Rivelino (c),1 January 1946 (aged 32),88,Fluminense
11,MF,Dirceu,15 June 1952 (aged 25),14,Vasco da Gama
12,GK,Carlos,4 March 1956 (aged 22),0,Ponte Preta
13,DF,Nelinho,26 July 1950 (aged 27),13,Cruzeiro
14,DF,Abel,1 September 1952 (aged 25),1,Vasco da Gama
15,DF,Polozzi,1 October 1955 (aged 22),0,Ponte Preta
16,DF,Rodrigues Neto,6 December 1949 (aged 28),7,Botafogo
17,MF,Batista,8 March 1955 (aged 23),4,Internacional
18,FW,Gil,24 December 1950 (aged 27),22,Botafogo
19,FW,Jorge Mendonça,6 June 1954 (aged 23),0,Palmeiras
20,FW,Roberto Dinamite,13 April 1954 (aged 24),20,Vasco da Gama
21,MF,Chicão,30 January 1949 (aged 29),5,São Paulo
22,GK,Valdir Peres,2 February 1951 (aged 27),5,São Paulo
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Luis Arconada,26 June 1954 (aged 23),,Real Sociedad
2,DF,Antonio de la Cruz,7 May 1947 (aged 31),,Barcelona
3,MF,Francisco Javier Uría,1 February 1950 (aged 28),,Sporting Gijón
4,MF,Juan Manuel Asensi,23 September 1949 (aged 28),,Barcelona
5,DF,Migueli,19 December 1951 (aged 26),,Barcelona
6,DF,Antonio Biosca,8 December 1949 (aged 28),,Real Betis
7,FW,Dani,28 June 1951 (aged 26),,Athletic Bilbao
8,FW,Juanito,10 November 1954 (aged 23),,Real Madrid
9,FW,Quini,23 September 1949 (aged 28),,Sporting Gijón
10,FW,Santillana,23 August 1952 (aged 25),,Real Madrid
