England
No.,Pos.,Player,Date of birth (age),Caps,Club
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Roma,13 July 1932 (aged 33),,Boca Juniors
2,GK,Rolando Irusta,27 March 1938 (aged 28),,Lanús
3,GK,Hugo Gatti,19 August 1944 (aged 21),,River Plate
4,DF,Roberto Perfumo,3 October 1942 (aged 23),,Racing Club
5,MF,José Varacka,27 May 1932 (aged 34),,San Lorenzo
6,MF,Oscar Calics,18 November 1939 (aged 26),,San Lorenzo
7,DF,Silvio Marzolini,4 October 1940 (aged 25),,Boca Juniors
8,DF,Roberto Ferreiro,25 April 1935 (aged 31),,Independiente
9,MF,Carmelo Simeone,22 September 1934 (aged 31),,Boca Juniors
10,MF,Antonio Rattín (captain),16 May 1937 (aged 29),,Boca Juniors
11,MF,José Omar Pastoriza,23 May 1942 (aged 24),,Independiente
12,MF,Rafael Albrecht,23 August 1941 (aged 24),,San Lorenzo
13,DF,Nelson López,24 June 1941 (aged 25),,Banfield
14,FW,Mario Chaldú,6 June 1942 (aged 24),,San Lorenzo
15,MF,Jorge Solari,11 November 1941 (aged 24),,River Plate
16,FW,Alberto González,21 August 1941 (aged 24),,Boca Juniors
17,MF,Juan Carlos Sarnari,22 January 1942 (aged 24),,River Plate
18,FW,Alfredo Rojas,20 February 1937 (aged 29),,Boca Juniors
19,FW,Luis Artime,2 December 1938 (aged 27),,Independiente
20,FW,Ermindo Onega,30 April 1940 (aged 26),,River Plate
21,FW,Oscar Más,29 October 1946 (aged 19),,River Plate
22,FW,Aníbal Tarabini,4 August 1941 (aged 24),,Independiente
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Ángel Iribar,1 March 1943 (aged 23),9,Athletic Bilbao
2,DF,Manuel Sanchís,26 March 1938 (aged 28),2,Real Madrid
3,DF,Eladio,18 November 1940 (aged 25),1,Barcelona
4,MF,Luis del Sol,6 April 1935 (aged 31),14,Juventus
