Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
15,MF,Marcos Coll,23 August 1935 (aged 26),4,América de Cali
16,FW,Ignacio Pérez,19 December 1934 (aged 27),4,Once Caldas
17,FW,Marino Klinger,7 February 1936 (aged 26),3,Millonarios
18,FW,Eusebio Escobar,2 July 1936 (aged 25),2,Deportivo Pereira
19,FW,Delio Gamboa,28 January 1936 (aged 26),9,Millonarios
20,FW,Antonio Rada,13 June 1937 (aged 24),2,Deportivo Pereira
21,FW,Héctor González,7 July 1937 (aged 24),3,Independiente Santa Fe
22,FW,Jairo Arias,2 November 1938 (aged 23),4,Atlético Nacional
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hans Tilkowski,12 July 1935 (aged 26),18,Westfalia Herne
2,DF,Herbert Erhardt,6 July 1930 (aged 31),45,Greuther Fürth
3,DF,Karl-Heinz Schnellinger,31 March 1939 (aged 23),19,1. FC Köln
4,DF,Willi Schulz,4 October 1938 (aged 23),8,FC Schalke 04
5,DF,Leo Wilden,3 July 1936 (aged 25),6,1. FC Köln
6,MF,Horst Szymaniak,29 August 1934 (aged 27),33,Calcio Catania
7,MF,Willi Koslowski,17 February 1937 (aged 25),1,FC Schalke 04
8,FW,Helmut Haller,21 July 1939 (aged 22),16,BC Augsburg
9,FW,Uwe Seeler,5 November 1936 (aged 25),30,Hamburger SV
10,MF,Albert Brülls,26 March 1937 (aged 25),18,Borussia Mönchengladbach
11,FW,Hans Schäfer (captain),19 October 1927 (aged 34),35,1. FC Köln
12,DF,Hans Nowak,9 August 1937 (aged 24),3,FC Schalke 04
13,DF,Jürgen Kurbjuhn,26 July 1940 (aged 21),1,Hamburger SV
14,DF,Jürgen Werner,15 August 1935 (aged 26),2,Hamburger SV
15,MF,Willi Giesemann,2 September 1937 (aged 24),9,Bayern Munich
16,MF,Hans Sturm,3 September 1934 (aged 27),2,1. FC Köln
17,FW,Engelbert Kraus,30 July 1934 (aged 27),5,Kickers Offenbach
18,MF,Günther Herrmann,1 September 1939 (aged 22),7,Karlsruher SC
19,FW,Heinz Strehl,20 July 1938 (aged 23),0,1. FC Nürnberg
20,FW,Heinz Vollmar,26 April 1936 (aged 26),12,1. FC Saarbrücken
21,GK,Günter Sawitzki,22 November 1932 (aged 29),9,VfB Stuttgart
22,GK,Wolfgang Fahrian,31 May 1941 (aged 20),1,TSG Ulm 1846
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Misael Escuti,20 December 1926 (aged 35),31,Colo-Colo
2,DF,Luis Eyzaguirre,22 June 1939 (aged 22),19,Universidad de Chile
3,DF,Raúl Sánchez,26 October 1933 (aged 28),21,Santiago Wanderers
4,DF,Sergio Navarro (captain),20 November 1936 (aged 25),26,Universidad de Chile
5,DF,Carlos Contreras,7 October 1938 (aged 23),6,Universidad de Chile
6,MF,Eladio Rojas,8 November 1934 (aged 27),11,Everton
7,FW,Jaime Ramírez,14 August 1931 (aged 30),39,Universidad de Chile
8,MF,Jorge Toro,10 January 1939 (aged 23),15,Colo-Colo
9,FW,Honorino Landa,1 June 1942 (aged 19),4,Unión Española
10,FW,Alberto Fouilloux,22 November 1940 (aged 21),15,Universidad Católica
11,FW,Leonel Sánchez,25 April 1936 (aged 26),45,Universidad de Chile
12,GK,Adán Godoy,26 November 1936 (aged 25),0,Santiago Morning
13,DF,Sergio Valdés,22 June 1935 (aged 26),16,Universidad Católica
14,DF,Hugo Lepe,14 April 1940 (aged 22),1,Santiago Morning
15,DF,Manuel Rodríguez,18 January 1938 (aged 24),2,Unión Española
16,DF,Humberto Cruz,6 December 1934 (aged 27),2,Santiago Morning
17,MF,Mario Ortiz,28 January 1936 (aged 26),12,Colo-Colo
18,FW,Mario Moreno,31 December 1935 (aged 26),24,Colo-Colo
19,FW,Braulio Musso,24 May 1937 (aged 25),14,Universidad de Chile
20,FW,Carlos Campos,14 February 1937 (aged 25),2,Universidad de Chile
21,FW,Armando Tobar,7 June 1938 (aged 23),17,Universidad Católica
22,GK,Manuel Astorga,16 March 1943 (aged 19),5,Universidad de Chile
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lorenzo Buffon (captain),19 December 1929 (aged 32),13,Internazionale
2,DF,Giacomo Losi,9 November 1935 (aged 26),9,Roma
3,MF,Luigi Radice,15 January 1935 (aged 27),2,Milan
4,DF,Sandro Salvadore,29 November 1939 (aged 22),5,Milan
