Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
17,DF,Marcelo Balboa,8 August 1967 (aged 22),18,San Diego Sockers
18,GK,Kasey Keller,29 November 1969 (aged 20),6,Portland Timbers
19,MF,Chris Henderson,11 December 1970 (aged 19),5,UCLA Bruins
20,MF,Paul Caligiuri,9 March 1964 (aged 26),33,SV Meppen
21,MF,Neil Covone,31 August 1969 (aged 20),5,Wake Forest Demon Deacons
22,GK,David Vanole,6 February 1963 (aged 27),13,Los Angeles Heat
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nery Pumpido*,30 July 1957 (aged 32),N/A,Real Betis
2,MF,Sergio Batista,9 November 1962 (aged 27),N/A,River Plate
3,FW,Abel Balbo,1 June 1966 (aged 24),N/A,Udinese
4,MF,José Basualdo,20 June 1963 (aged 26),N/A,VfB Stuttgart
5,DF,Edgardo Bauza,26 January 1958 (aged 32),N/A,Veracruz
6,MF,Gabriel Calderón,7 February 1960 (aged 30),N/A,Paris Saint-Germain
7,MF,Jorge Burruchaga,9 October 1962 (aged 27),52,Nantes
8,FW,Claudio Caniggia,9 January 1967 (aged 23),N/A,Atalanta
9,FW,Gustavo Dezotti,14 February 1964 (aged 26),N/A,Cremonese
10,MF,Diego Maradona (c),30 October 1960 (aged 29),73,Napoli
11,DF,Néstor Fabbri,29 April 1968 (aged 22),N/A,Racing Club
12,GK,Sergio Goycochea,17 October 1963 (aged 26),N/A,Millonarios
13,DF,Néstor Lorenzo,28 February 1966 (aged 24),N/A,Bari
14,MF,Ricardo Giusti,11 December 1956 (aged 33),N/A,Independiente
15,DF,Pedro Monzón,23 February 1962 (aged 28),N/A,Independiente
16,DF,Julio Olarticoechea,18 October 1958 (aged 31),N/A,Racing Club
17,DF,Roberto Néstor Sensini,12 October 1966 (aged 23),16,Udinese
18,DF,José Serrizuela,16 June 1962 (aged 27),N/A,River Plate
19,DF,Oscar Ruggeri,26 January 1962 (aged 28),50,Real Madrid
20,DF,Juan Simón,2 March 1960 (aged 30),N/A,Boca Juniors
21,MF,Pedro Troglio,28 July 1965 (aged 24),N/A,Lazio
22,GK,Fabián Cancelarich,20 December 1965 (aged 24),N/A,Ferro Carril Oeste
Cameroon
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Joseph-Antoine Bell,8 October 1954 (aged 35),N/A,Bordeaux
2,DF,André Kana-Biyik,1 September 1965 (aged 24),41,Metz
3,MF,Jules Onana,12 June 1964 (aged 25),6,Canon Yaoundé
4,DF,Benjamin Massing,20 June 1962 (aged 27),N/A,Créteil
5,DF,Bertin Ebwellé,11 September 1962 (aged 27),16,Tonnerre Yaoundé
6,DF,Emmanuel Kundé,15 July 1956 (aged 33),82,Prévoyance Yaoundé
7,FW,François Omam-Biyik,21 May 1966 (aged 24),34,Stade Lavallois
8,MF,Emile M'Bouh,30 May 1966 (aged 24),38,Le Havre
9,FW,Roger Milla,20 May 1952 (aged 38),56,JS Saint-Pierroise
10,MF,Louis-Paul M'Fédé,26 February 1962 (aged 28),40,Canon Yaoundé
11,FW,Eugène Ekéké,30 May 1960 (aged 30),N/A,Valenciennes
12,DF,Alphonse Yombi,30 June 1969 (aged 20),N/A,Canon Yaoundé
13,DF,Jean-Claude Pagal,15 September 1964 (aged 25),N/A,La Roche Vendée
14,DF,Stephen Tataw (c),31 March 1963 (aged 27),29,Tonnerre Yaoundé
15,MF,Thomas Libiih,17 November 1967 (aged 22),N/A,Tonnerre Yaoundé
16,GK,Thomas N'Kono,20 July 1956 (aged 33),57,Espanyol
17,DF,Victor N'Dip,20 August 1967 (aged 22),16,Canon Yaoundé
18,FW,Bonaventure Djonkep,20 August 1961 (aged 28),49,Union Douala
19,MF,Roger Feutmba,31 October 1968 (aged 21),N/A,Union Douala
20,MF,Cyrille Makanaky,28 June 1965 (aged 24),N/A,Toulon
21,MF,Emmanuel Maboang,27 November 1968 (aged 21),N/A,Canon Yaoundé
22,GK,Jacques Songo'o,17 March 1964 (aged 26),38,Toulon
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Silviu Lung (c),9 September 1956 (aged 33),65,Steaua București
2,DF,Mircea Rednic,9 April 1962 (aged 28),74,Dinamo București
3,DF,Michael Klein,10 October 1959 (aged 30),78,Dinamo București
4,DF,Ioan Andone,15 March 1960 (aged 30),49,Dinamo București
5,MF,Iosif Rotariu,27 September 1962 (aged 27),11,Steaua București
6,DF,Gheorghe Popescu,9 October 1967 (aged 22),18,Universitatea Craiova
7,FW,Marius Lăcătuș,5 April 1964 (aged 26),38,Steaua București
8,MF,Ioan Sabău,12 February 1968 (aged 22),21,Dinamo București
9,FW,Rodion Cămătaru,22 June 1958 (aged 31),74,Charleroi
10,MF,Gheorghe Hagi,5 February 1965 (aged 25),59,Steaua București
11,MF,Dănuț Lupu,27 February 1967 (aged 23),7,Dinamo București
12,GK,Bogdan Stelea,5 December 1967 (aged 22),3,Dinamo București
13,DF,Adrian Popescu,26 June 1960 (aged 29),1,Universitatea Craiova
14,FW,Florin Răducioiu,17 March 1970 (aged 20),3,Dinamo București
15,MF,Dorin Mateuț,5 August 1965 (aged 24),45,Dinamo București
16,MF,Daniel Timofte,1 October 1967 (aged 22),4,Dinamo București
17,FW,Ilie Dumitrescu,6 January 1969 (aged 21),9,Steaua București
18,FW,Gavril Balint,3 January 1963 (aged 27),24,Steaua București
19,DF,Emil Săndoi,1 March 1965 (aged 25),8,Universitatea Craiova
20,MF,Zsolt Muzsnay,20 August 1965 (aged 24),6,Steaua București
21,MF,Ioan Lupescu,9 December 1968 (aged 21),4,Dinamo București
22,GK,Gheorghe Liliac,22 April 1959 (aged 31),2,Petrolul Ploiești
Soviet Union
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rinat Dasayev (c),13 June 1957 (aged 32),90,Sevilla
2,DF,Volodymyr Bezsonov,5 March 1958 (aged 32),77,Dynamo Kyiv
3,DF,Vagiz Khidiyatullin,3 March 1959 (aged 31),55,Toulouse
4,DF,Oleh Kuznetsov,22 March 1963 (aged 27),49,Dynamo Kyiv
5,DF,Anatoliy Demyanenko,19 February 1959 (aged 31),79,Dynamo Kyiv
6,MF,Vasyl Rats,25 April 1961 (aged 29),46,Dynamo Kyiv
7,MF,Sergei Aleinikov,7 November 1961 (aged 28),61,Juventus
8,MF,Gennadiy Lytovchenko,11 September 1963 (aged 26),54,Dynamo Kyiv
9,MF,Oleksandr Zavarov,20 April 1961 (aged 29),38,Juventus
10,FW,Oleh Protasov,4 February 1964 (aged 26),60,Dynamo Kyiv
11,FW,Igor Dobrovolski,27 August 1967 (aged 22),13,Dynamo Moscow
12,MF,Aleksandr Borodyuk,30 November 1962 (aged 27),5,Schalke 04
13,DF,Akhrik Tsveiba,10 September 1966 (aged 23),3,Dynamo Kyiv
14,FW,Volodymyr Lyutyi,24 April 1962 (aged 28),2,Schalke 04
15,MF,Ivan Yaremchuk,19 March 1962 (aged 28),16,Dynamo Kyiv
16,GK,Viktor Chanov,21 July 1959 (aged 30),21,Dynamo Kyiv
17,MF,Andrei Zygmantovich,2 December 1962 (aged 27),34,Dynamo Minsk
18,MF,Igor Shalimov,2 February 1969 (aged 21),0,Spartak Moscow
19,DF,Sergei Fokin,26 July 1961 (aged 28),3,CSKA Moscow
20,DF,Sergei Gorlukovich,18 November 1961 (aged 28),15,Borussia Dortmund
21,MF,Valeri Broshin,19 October 1962 (aged 27),2,CSKA Moscow
22,GK,Aleksandr Uvarov,13 January 1960 (aged 30),1,Dynamo Moscow
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Taffarel,8 May 1966 (aged 24),26,Internacional
2,DF,Jorginho,17 August 1964 (aged 25),22,Bayer Leverkusen
3,DF,Ricardo Gomes (c),13 December 1964 (aged 25),30,Benfica
4,MF,Dunga,31 October 1963 (aged 26),21,Fiorentina
5,MF,Alemão,22 November 1961 (aged 28),32,Napoli
6,DF,Branco,4 April 1964 (aged 26),34,Porto
7,MF,Bismarck,11 September 1969 (aged 20),10,Vasco da Gama
8,MF,Valdo,12 January 1964 (aged 26),38,Benfica
9,FW,Careca,5 October 1960 (aged 29),46,Napoli
10,MF,Silas,27 August 1965 (aged 24),29,Sporting CP
11,FW,Romário,29 January 1966 (aged 24),24,PSV
12,GK,Acácio,20 January 1959 (aged 31),6,Vasco da Gama
13,DF,Carlos Mozer,19 September 1960 (aged 29),27,Marseille
14,DF,Aldair,30 November 1965 (aged 24),18,Benfica
15,FW,Müller,31 January 1966 (aged 24),31,Torino
16,FW,Bebeto,16 February 1964 (aged 26),26,Vasco da Gama
17,FW,Renato Gaúcho,9 September 1962 (aged 27),23,Flamengo
18,DF,Mazinho,8 April 1966 (aged 24),17,Vasco da Gama
19,DF,Ricardo Rocha,11 September 1962 (aged 27),14,São Paulo
20,MF,Tita,1 April 1958 (aged 32),31,Vasco da Gama
