Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
5,MF,Bruno Versavel,27 August 1967 (aged 22),14,Mechelen
6,MF,Marc Emmers,25 February 1966 (aged 24),16,Mechelen
7,DF,Stéphane Demol,11 March 1966 (aged 24),29,Porto
8,MF,Franky Van Der Elst,30 April 1961 (aged 29),37,Club Brugge
9,FW,Marc Degryse,4 September 1965 (aged 24),24,Anderlecht
10,MF,Enzo Scifo,19 February 1966 (aged 24),39,Auxerre
11,MF,Jan Ceulemans (c),28 February 1957 (aged 33),88,Club Brugge
12,GK,Gilbert Bodart,2 September 1962 (aged 27),5,Standard Liège
13,DF,Georges Grün,25 January 1962 (aged 28),47,Anderlecht
14,FW,Nico Claesen,7 October 1962 (aged 27),35,Royal Antwerp
15,DF,Jean-François De Sart,18 December 1961 (aged 28),3,FC Liège
16,DF,Michel De Wolf,19 January 1958 (aged 32),27,Kortrijk
17,DF,Pascal Plovie,7 May 1965 (aged 25),2,Club Brugge
18,MF,Lorenzo Staelens,30 April 1964 (aged 26),1,Club Brugge
19,FW,Marc Van Der Linden,4 February 1964 (aged 26),17,Anderlecht
20,GK,Filip De Wilde,5 July 1964 (aged 25),2,Anderlecht
21,MF,Marc Wilmots,22 February 1969 (aged 21),2,Mechelen
22,MF,Patrick Vervoort,17 January 1965 (aged 25),27,Anderlecht
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Kim Poong-joo,1 October 1961 (aged 28),N/A,Daewoo Royals
2,DF,Park Kyung-hoon,19 January 1961 (aged 29),N/A,POSCO Atoms
3,DF,Choi Kang-hee,12 April 1959 (aged 31),N/A,Hyundai Horangi
4,DF,Yoon Deok-yeo,25 March 1961 (aged 29),N/A,Hyundai Horangi
5,DF,Chung Yong-hwan (c),10 February 1960 (aged 30),N/A,Daewoo Royals
6,FW,Lee Tae-ho,29 January 1961 (aged 29),N/A,Daewoo Royals
7,MF,Noh Soo-jin,10 February 1962 (aged 28),N/A,Yukong Elephants
8,FW,Chung Hae-won,1 July 1959 (aged 30),N/A,Daewoo Royals
9,MF,Hwangbo Kwan,1 March 1965 (aged 25),N/A,Yukong Elephants
10,FW,Lee Sang-yoon,10 April 1969 (aged 21),N/A,Ilhwa Chunma
11,FW,Byun Byung-joo,26 April 1961 (aged 29),N/A,Hyundai Horangi
12,MF,Lee Heung-sil,10 July 1961 (aged 28),N/A,POSCO Atoms
13,DF,Chung Jong-soo,27 March 1961 (aged 29),N/A,Hyundai Horangi
14,FW,Choi Soon-ho,10 January 1962 (aged 28),76,Lucky-Goldstar Hwangso
15,DF,Cho Min-kook,5 July 1963 (aged 26),N/A,Lucky-Goldstar Hwangso
16,MF,Kim Joo-sung,17 January 1966 (aged 24),N/A,Daewoo Royals
17,DF,Gu Sang-bum,15 June 1964 (aged 25),N/A,Lucky-Goldstar Hwangso
18,FW,Hwang Sun-hong,14 July 1968 (aged 21),N/A,Konkuk University
19,GK,Jeong Gi-dong,13 May 1961 (aged 29),N/A,POSCO Atoms
20,DF,Hong Myung-bo,12 February 1969 (aged 21),4,Korea University
21,GK,Choi In-young,5 March 1962 (aged 28),N/A,Hyundai Horangi
22,MF,Lee Young-jin,27 October 1963 (aged 26),N/A,Lucky-Goldstar Hwangso
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andoni Zubizarreta,23 October 1961 (aged 28),49,Barcelona
2,DF,Chendo,12 October 1961 (aged 28),22,Real Madrid
3,DF,Manuel Jiménez,21 January 1964 (aged 26),13,Sevilla
4,DF,Genar Andrinúa,9 May 1964 (aged 26),24,Athletic Bilbao
5,DF,Manuel Sanchís,23 May 1965 (aged 25),30,Real Madrid
6,MF,Rafael Martín Vázquez,25 September 1965 (aged 24),22,Real Madrid
7,FW,Miguel Pardeza,8 February 1965 (aged 25),4,Real Zaragoza
8,DF,Quique,2 February 1965 (aged 25),11,Valencia
9,FW,Emilio Butragueño (c),22 July 1963 (aged 26),49,Real Madrid
10,MF,Fernando,11 September 1965 (aged 24),2,Valencia
11,MF,Francisco Villarroya,6 August 1966 (aged 23),7,Real Zaragoza
12,DF,Rafael Alkorta,16 September 1968 (aged 21),1,Athletic Bilbao
13,GK,Juan Carlos Ablanedo,2 September 1963 (aged 26),2,Sporting Gijón
14,DF,Alberto Górriz,16 February 1958 (aged 32),8,Real Sociedad
15,MF,Roberto,5 July 1962 (aged 27),22,Barcelona
16,MF,José Mari Bakero,11 February 1963 (aged 27),11,Barcelona
17,MF,Fernando Hierro,23 March 1968 (aged 22),2,Real Madrid
18,MF,Rafael Paz,2 August 1965 (aged 24),3,Sevilla
19,FW,Julio Salinas,11 September 1962 (aged 27),26,Barcelona
20,FW,Manolo,17 January 1965 (aged 25),13,Atlético Madrid
21,MF,Míchel,23 March 1963 (aged 27),44,Real Madrid
22,GK,José Manuel Ochotorena,16 January 1961 (aged 29),1,Valencia
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Fernando Álvez,4 September 1959 (aged 30),N/A,Peñarol
2,DF,Nelson Gutiérrez,13 April 1962 (aged 28),53,Hellas Verona
3,DF,Hugo de León,27 February 1958 (aged 32),44,River Plate
4,DF,José Oscar Herrera,17 June 1965 (aged 24),27,Figueres
5,MF,José Perdomo,5 January 1965 (aged 25),23,Genoa
6,DF,Alfonso Domínguez,24 September 1965 (aged 24),27,Peñarol
7,FW,Antonio Alzamendi,7 June 1956 (aged 34),28,Logroñés
8,MF,Santiago Ostolaza,10 July 1962 (aged 27),N/A,Cruz Azul
9,MF,Enzo Francescoli (c),12 November 1961 (aged 28),42,Marseille
10,MF,Rubén Paz,8 August 1959 (aged 30),42,Genoa
11,FW,Rubén Sosa,25 April 1966 (aged 24),N/A,Lazio
12,GK,Eduardo Pereira,21 March 1954 (aged 36),10,Independiente
13,DF,Daniel Revelez,30 September 1959 (aged 30),N/A,Nacional
14,DF,José Pintos Saldanha,25 March 1964 (aged 26),N/A,Nacional
15,MF,Gabriel Correa,13 January 1968 (aged 22),18,Peñarol
16,MF,Pablo Bengoechea,27 June 1965 (aged 24),N/A,Sevilla
17,FW,Sergio Martínez,15 February 1969 (aged 21),N/A,Defensor Sporting
18,FW,Carlos Aguilera,21 September 1964 (aged 25),50,Genoa
19,FW,Daniel Fonseca,13 September 1969 (aged 20),N/A,Nacional
20,MF,Rubén Pereira,28 January 1968 (aged 22),N/A,Danubio
21,MF,William Castro,22 May 1962 (aged 28),N/A,Nacional
22,GK,Javier Zeoli,2 May 1962 (aged 28),14,Danubio
Egypt
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ahmed Shobair,28 September 1960 (aged 29),52,Al-Ahly
2,DF,Ibrahim Hassan,10 August 1966 (aged 23),45,Al-Ahly
3,DF,Rabie Yassin,7 September 1960 (aged 29),81,Al-Ahly
4,DF,Hany Ramzy,10 March 1969 (aged 21),28,Al-Ahly
5,DF,Hesham Yakan,10 August 1962 (aged 27),35,Zamalek
6,DF,Ashraf Kasem,25 July 1966 (aged 23),38,Zamalek
7,MF,Ismail Youssef,28 June 1964 (aged 25),29,Zamalek
8,MF,Magdi Abdelghani,27 July 1959 (aged 30),57,Beira-Mar
9,FW,Hossam Hassan,10 August 1966 (aged 23),49,Al-Ahly
10,MF,Gamal Abdelhamid (c),24 November 1957 (aged 32),N/A,Zamalek
11,MF,Tarek Soliman,24 January 1962 (aged 28),N/A,Al-Masry
12,MF,Taher Abouzaid,10 April 1962 (aged 28),48,Al-Ahly
13,DF,Ahmed Ramzy,25 October 1965 (aged 24),27,Zamalek
14,MF,Alaa Maihoub,19 January 1963 (aged 27),N/A,Al-Ahly
15,MF,Saber Eid,1 May 1959 (aged 31),N/A,Ghazl El-Mehalla
16,MF,Magdy Tolba,24 February 1964 (aged 26),N/A,PAOK
17,FW,Ayman Shawky,9 December 1962 (aged 27),N/A,Al-Ahly
18,MF,Osama Oraby,22 January 1962 (aged 28),N/A,Al-Ahly
19,FW,Adel Abdelrahman,11 December 1967 (aged 22),N/A,Al-Ahly
20,FW,Ahmed El-Kass,8 July 1965 (aged 24),42,El-Olympi Alexandria
21,GK,Ayman Taher,7 January 1966 (aged 24),N/A,Zamalek
22,GK,Thabet El-Batal,16 September 1953 (aged 36),N/A,Al-Ahly
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Peter Shilton,18 September 1949 (aged 40),118,Derby County
2,DF,Gary Stevens,27 March 1963 (aged 27),39,Rangers
3,DF,Stuart Pearce,24 April 1962 (aged 28),24,Nottingham Forest
4,MF,Neil Webb,30 July 1963 (aged 26),19,Manchester United
5,DF,Des Walker,26 November 1965 (aged 24),18,Nottingham Forest
6,DF,Terry Butcher,28 December 1958 (aged 31),72,Rangers
7,MF,Bryan Robson (c),11 January 1957 (aged 33),85,Manchester United
8,MF,Chris Waddle,14 December 1960 (aged 29),52,Marseille
9,FW,Peter Beardsley,18 January 1961 (aged 29),40,Liverpool
10,FW,Gary Lineker,30 November 1960 (aged 29),51,Tottenham Hotspur
11,MF,John Barnes,7 November 1963 (aged 26),53,Liverpool
12,DF,Paul Parker,4 April 1964 (aged 26),5,Queens Park Rangers
13,GK,Chris Woods,14 November 1959 (aged 30),16,Rangers
14,DF,Mark Wright,1 August 1963 (aged 26),24,Derby County
15,DF,Tony Dorigo,31 December 1965 (aged 24),3,Chelsea
16,MF,Steve McMahon,20 August 1961 (aged 28),12,Liverpool
17,MF,David Platt,10 June 1966 (aged 23),5,Aston Villa
18,MF,Steve Hodge,25 October 1962 (aged 27),22,Nottingham Forest
19,MF,Paul Gascoigne,27 May 1967 (aged 23),11,Tottenham Hotspur
20,MF,Trevor Steven,21 September 1963 (aged 26),26,Rangers
21,FW,Steve Bull,28 March 1965 (aged 25),7,Wolverhampton Wanderers
22,GK,Dave Beasant,20 March 1959 (aged 31),2,Chelsea
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hans van Breukelen,4 October 1956 (aged 33),52,PSV
2,DF,Berry van Aerle,8 December 1962 (aged 27),22,PSV
3,MF,Frank Rijkaard,30 September 1962 (aged 27),42,Milan
4,DF,Ronald Koeman,21 March 1963 (aged 27),43,Barcelona
5,DF,Adri van Tiggelen,16 June 1957 (aged 32),40,Anderlecht
6,MF,Jan Wouters,17 July 1960 (aged 29),30,Ajax
7,MF,Erwin Koeman,20 September 1961 (aged 28),23,Mechelen
8,MF,Gerald Vanenburg,5 March 1964 (aged 26),36,PSV
9,FW,Marco van Basten,31 October 1964 (aged 25),35,Milan
10,MF,Ruud Gullit (c),1 September 1962 (aged 27),44,Milan
11,MF,Richard Witschge,20 September 1969 (aged 20),4,Ajax
12,FW,Wim Kieft,12 November 1962 (aged 27),27,PSV
13,DF,Graeme Rutjes,26 March 1960 (aged 30),7,Mechelen
14,FW,John van 't Schip,30 November 1963 (aged 26),22,Ajax
15,FW,Bryan Roy,12 February 1970 (aged 20),2,Ajax
16,GK,Joop Hiele,25 December 1958 (aged 31),6,Feyenoord
17,FW,Hans Gillhaus,5 November 1963 (aged 26),2,Aberdeen
18,DF,Henk Fräser,7 July 1966 (aged 23),2,Roda JC
19,FW,John van Loen,4 February 1965 (aged 25),6,Roda JC
20,MF,Aron Winter,1 March 1967 (aged 23),11,Ajax
21,DF,Danny Blind,1 August 1961 (aged 28),5,Ajax
22,GK,Stanley Menzo,15 October 1963 (aged 26),1,Ajax
Ireland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Packie Bonner,24 May 1960 (aged 30),38,Celtic
2,DF,Chris Morris,24 December 1963 (aged 26),21,Celtic
3,DF,Steve Staunton,19 January 1969 (aged 21),13,Liverpool
4,DF,Mick McCarthy (c),7 February 1959 (aged 31),42,Millwall
5,DF,Kevin Moran,29 April 1956 (aged 34),55,Blackburn Rovers
6,MF,Ronnie Whelan,25 September 1961 (aged 28),38,Liverpool
7,DF,Paul McGrath,4 December 1959 (aged 30),36,Aston Villa
8,MF,Ray Houghton,9 January 1962 (aged 28),29,Liverpool
9,FW,John Aldridge,18 September 1958 (aged 31),30,Real Sociedad
10,FW,Tony Cascarino,1 September 1962 (aged 27),21,Aston Villa
11,MF,Kevin Sheedy,21 October 1959 (aged 30),28,Everton
12,DF,David O'Leary,2 May 1958 (aged 32),51,Arsenal
13,MF,Andy Townsend,23 July 1963 (aged 26),12,Norwich City
14,DF,Chris Hughton,11 December 1958 (aged 31),50,Tottenham Hotspur
15,FW,Bernie Slaven,13 November 1960 (aged 29),4,Middlesbrough
16,MF,John Sheridan,1 October 1964 (aged 25),8,Sheffield Wednesday
17,FW,Niall Quinn*,6 October 1966 (aged 23),15,Manchester City
18,FW,Frank Stapleton,10 July 1956 (aged 33),71,Blackburn Rovers
19,FW,David Kelly,25 November 1965 (aged 24),6,Leicester City
20,FW,John Byrne,1 February 1961 (aged 29),19,Le Havre
21,MF,Alan McLoughlin,20 April 1967 (aged 23),1,Swindon Town
22,GK,Gerry Peyton,20 May 1956 (aged 34),28,Bournemouth
