Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
18,DF,Guillermo Castro,25 June 1940 (aged 29),,Atlético Marte
19,MF,Sergio Méndez,14 February 1942 (aged 28),,Atlético Marte
20,GK,Gualberto Fernández,12 July 1941 (aged 28),,Atlante San Alejo
21,FW,Elmer Acevedo,24 February 1946 (aged 24),,FAS
22,MF,Alberto Villalta,19 November 1947 (aged 22),,Atlético Marte
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Enrico Albertosi,2 November 1939 (aged 30),21,Cagliari
2,DF,Tarcisio Burgnich,25 April 1939 (aged 31),33,Internazionale
3,DF,Giacinto Facchetti (c),18 July 1942 (aged 27),46,Internazionale
4,DF,Fabrizio Poletti,13 July 1943 (aged 26),4,Torino
5,DF,Pierluigi Cera,25 February 1941 (aged 29),2,Cagliari
6,MF,Ugo Ferrante,18 July 1945 (aged 24),1,Fiorentina
7,MF,Comunardo Niccolai,15 December 1946 (aged 23),1,Cagliari
8,MF,Roberto Rosato,18 August 1943 (aged 26),18,Milan
9,DF,Giorgio Puia,8 March 1938 (aged 32),7,Torino
10,DF,Mario Bertini,7 January 1944 (aged 26),9,Internazionale
11,FW,Luigi Riva,7 November 1944 (aged 25),16,Cagliari
12,GK,Dino Zoff,28 February 1942 (aged 28),10,Napoli
13,FW,Angelo Domenghini,25 August 1941 (aged 28),22,Cagliari
14,MF,Gianni Rivera,18 August 1942 (aged 27),38,Milan
15,MF,Sandro Mazzola,8 November 1942 (aged 27),37,Internazionale
16,MF,Giancarlo De Sisti,13 March 1943 (aged 27),12,Fiorentina
17,GK,Lido Vieri,16 July 1939 (aged 30),4,Internazionale
18,DF,Antonio Juliano,1 January 1943 (aged 27),14,Napoli
19,FW,Sergio Gori,24 February 1946 (aged 24),0,Cagliari
20,FW,Roberto Boninsegna,13 November 1943 (aged 26),1,Internazionale
21,DF,Giuseppe Furino,5 July 1946 (aged 23),0,Juventus
22,FW,Pierino Prati,13 December 1946 (aged 23),6,Milan
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ronnie Hellström,21 February 1949 (aged 21),12,Hammarby IF
2,DF,Hans Selander,15 March 1945 (aged 25),28,Helsingborgs IF
3,DF,Kurt Axelsson,10 November 1941 (aged 28),21,Club Brugge
4,DF,Björn Nordqvist (c),6 October 1942 (aged 27),42,IFK Norrköping
5,DF,Roland Grip,1 January 1941 (aged 29),21,AIK
6,MF,Tommy Svensson,4 March 1945 (aged 25),23,Östers IF
7,MF,Bo Larsson,5 May 1944 (aged 26),22,Malmö FF
8,MF,Leif Eriksson,20 March 1942 (aged 28),40,Örebro SK
9,MF,Ove Kindvall,16 May 1943 (aged 27),15,Feyenoord
10,MF,Ove Grahn,9 May 1943 (aged 27),14,Grasshopper
11,MF,Örjan Persson,27 August 1942 (aged 27),28,Rangers
12,GK,Sven-Gunnar Larsson,10 May 1940 (aged 30),14,Örebro SK
13,MF,Claes Cronqvist,15 October 1944 (aged 25),2,Djurgårdens IF
14,DF,Krister Kristensson,25 July 1942 (aged 27),17,Malmö FF
15,DF,Leif Målberg,1 September 1945 (aged 24),0,IF Elfsborg
16,FW,Tomas Nordahl,24 May 1946 (aged 24),8,Anderlecht
17,GK,Ronney Pettersson,26 April 1940 (aged 30),17,Djurgårdens IF
18,FW,Tom Turesson,17 May 1942 (aged 28),18,Club Brugge
19,MF,Göran Nicklasson,20 August 1942 (aged 27),1,IFK Göteborg
20,DF,Jan Olsson,18 March 1944 (aged 26),12,GAIS
21,FW,Inge Ejderstedt,24 December 1946 (aged 23),15,Östers IF
22,MF,Sten Pålsson,4 December 1945 (aged 24),6,GAIS
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ladislao Mazurkiewicz,14 February 1945 (aged 25),,Peñarol
2,DF,Atilio Ancheta,19 July 1948 (aged 21),,Nacional
3,DF,Roberto Matosas,11 May 1940 (aged 30),,Peñarol
4,DF,Luis Ubiña,7 June 1940 (aged 29),,Nacional
5,MF,Julio Montero Castillo,25 April 1944 (aged 26),,Nacional
6,DF,Juan Mujica,22 December 1943 (aged 26),,Nacional
7,FW,Luis Cubilla,28 March 1940 (aged 30),,Nacional
8,MF,Pedro Rocha (c),3 December 1942 (aged 27),,Peñarol
9,MF,Víctor Espárrago,6 October 1944 (aged 25),,Nacional
10,MF,Ildo Maneiro,4 August 1947 (aged 22),,Nacional
11,FW,Julio Morales,16 February 1945 (aged 25),,Nacional
12,GK,Héctor Santos,29 October 1944 (aged 25),,Bella Vista
13,DF,Rodolfo Sandoval,4 October 1948 (aged 21),,Peñarol
14,DF,Francisco Cámera,1 January 1944 (aged 26),,Bella Vista
15,MF,Dagoberto Fontes,6 June 1943 (aged 26),,Defensor
16,DF,Omar Caetano,8 November 1938 (aged 31),,Peñarol
17,FW,Rúben Bareño,23 January 1944 (aged 26),,Cerro
18,FW,Alberto Gómez,10 June 1944 (aged 25),,Liverpool
19,FW,Oscar Zubia,8 February 1946 (aged 24),,River Plate
20,MF,Julio César Cortés,29 March 1941 (aged 29),,Peñarol
21,FW,Julio Losada,16 June 1950 (aged 19),,Peñarol
22,GK,Walter Corbo,2 May 1949 (aged 21),,Peñarol
Israel
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Yitzchak Vissoker,18 September 1944 (aged 25),17,Hapoel Petah Tikva
2,DF,Shraga Bar,24 March 1948 (aged 22),13,Maccabi Netanya
3,DF,Menachem Bello,26 December 1947 (aged 22),25,Maccabi Tel Aviv
4,MF,David Primo,5 May 1946 (aged 24),18,Hapoel Tel Aviv
5,DF,Zvi Rosen,23 June 1947 (aged 22),16,Maccabi Tel Aviv
6,DF,Shmuel Rosenthal,22 April 1947 (aged 23),23,Hapoel Petah Tikva
7,MF,Itzhak Shum,1 September 1948 (aged 21),8,Hapoel Kfar Saba
8,FW,Giora Spiegel,27 July 1947 (aged 22),19,Maccabi Tel Aviv
9,FW,Yehoshua Feigenbaum,5 December 1947 (aged 22),15,Hapoel Tel Aviv
10,FW,Mordechai Spiegler (c),19 August 1944 (aged 25),36,Maccabi Netanya
11,MF,George Borba,12 July 1944 (aged 25),10,Hapoel Tel Aviv
12,MF,Yisha'ayahu Schwager,10 February 1946 (aged 24),6,Maccabi Haifa
13,FW,Yechezekel Chazom,1 January 1947 (aged 23),4,Hapoel Tel Aviv
14,MF,Danny Shmulevich-Rom,29 November 1940 (aged 29),24,Maccabi Haifa
15,FW,Rachamim Talbi,17 May 1943 (aged 27),25,Maccabi Tel Aviv
16,DF,Yochanan Vollach,14 May 1945 (aged 25),4,Hapoel Haifa
17,FW,Eli Ben Rimoz,1 January 1947 (aged 23),2,Hapoel Jerusalem
18,MF,Moshe Romano,6 May 1946 (aged 24),6,Shimshon Tel Aviv
19,MF,Roni Shuruk,24 February 1946 (aged 24),8,Hakoah Maccabi Ramat Gan
20,DF,David Karako,11 February 1945 (aged 25),6,Maccabi Tel Aviv
21,GK,Yechiel Hameiri,20 August 1946 (aged 23),1,Hapoel Haifa
22,GK,Yair Nossovsky,29 June 1937 (aged 32),3,Hapoel Kfar Saba
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Félix,24 December 1937 (aged 32),23,Fluminense
2,DF,Brito,9 August 1939 (aged 30),28,Flamengo
3,MF,Piazza,25 February 1944 (aged 26),16,Cruzeiro
4,DF,Carlos Alberto (c),17 July 1944 (aged 25),40,Santos
5,MF,Clodoaldo,26 September 1949 (aged 20),7,Santos
6,DF,Marco Antônio,6 February 1951 (aged 19),7,Fluminense
7,MF,Jairzinho,25 December 1944 (aged 25),45,Botafogo
8,MF,Gérson,11 January 1941 (aged 29),54,São Paulo
9,FW,Tostão,25 January 1947 (aged 23),36,Cruzeiro
10,FW,Pelé,23 October 1940 (aged 29),81,Santos
11,MF,Rivellino,1 January 1946 (aged 24),21,Corinthians
12,GK,Ado,4 July 1946 (aged 23),2,Corinthians
13,FW,Roberto,31 July 1944 (aged 25),9,Botafogo
14,DF,Baldocchi,14 March 1946 (aged 24),1,Palmeiras
15,DF,Fontana,31 December 1940 (aged 29),6,Cruzeiro
16,DF,Everaldo,11 September 1944 (aged 25),8,Grêmio
17,DF,Joel,18 September 1946 (aged 23),26,Santos
18,MF,Paulo Cézar,16 June 1949 (aged 20),14,Botafogo
19,FW,Edu,6 August 1949 (aged 20),29,Santos
