Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
23,FW,Hélder Postiga,2 August 1982 (aged 23),24,Porto[45]
Czech Rep.
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Petr Čech,20 May 1982 (aged 24),41,Chelsea
2,DF,Zdeněk Grygera,14 May 1980 (aged 26),41,Ajax
3,DF,Pavel Mareš,18 January 1976 (aged 30),10,Zenit Saint Petersburg
4,MF,Tomáš Galásek ,15 January 1973 (aged 33),49,Ajax[46]
5,DF,Radoslav Kováč,11 November 1979 (aged 26),6,Spartak Moscow
6,DF,Marek Jankulovski,9 May 1977 (aged 29),48,Milan
7,MF,Libor Sionko,1 February 1977 (aged 29),17,Austria Wien[47]
8,MF,Karel Poborský,30 March 1972 (aged 34),115,Dynamo České Budějovice
9,FW,Jan Koller,30 March 1973 (aged 33),68,Borussia Dortmund[48]
10,MF,Tomáš Rosický,4 October 1980 (aged 25),54,Borussia Dortmund[49]
11,MF,Pavel Nedvěd,30 August 1972 (aged 33),87,Juventus
12,FW,Vratislav Lokvenc,27 September 1973 (aged 32),72,Red Bull Salzburg
13,DF,Martin Jiránek,25 May 1979 (aged 27),24,Spartak Moscow
14,MF,David Jarolím,17 May 1979 (aged 27),3,Hamburger SV
15,FW,Milan Baroš,28 October 1981 (aged 24),49,Aston Villa
16,GK,Jaromír Blažek,29 December 1972 (aged 33),11,Sparta Prague
17,FW,Jiří Štajner,27 May 1976 (aged 30),21,Hannover 96
18,FW,Marek Heinz,4 August 1977 (aged 28),28,Galatasaray
19,MF,Jan Polák,14 March 1981 (aged 25),18,1. FC Nürnberg
20,MF,Jaroslav Plašil,5 January 1982 (aged 24),14,Monaco
21,DF,Tomáš Ujfaluši,24 March 1978 (aged 28),48,Fiorentina
22,DF,David Rozehnal,5 July 1980 (aged 25),22,Paris Saint-Germain
23,GK,Antonín Kinský,31 May 1975 (aged 31),5,Saturn Ramenskoye
Ghana
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sammy Adjei,1 September 1980 (aged 25),31,Ashdod
2,MF,Hans Sarpei,28 June 1976 (aged 29),7,VfL Wolfsburg
3,FW,Asamoah Gyan,22 November 1985 (aged 20),13,Udinese[50]
4,DF,Samuel Kuffour,3 September 1976 (aged 29),58,Roma
5,DF,John Mensah,29 November 1982 (aged 23),33,Rennes
6,DF,Emmanuel Pappoe,3 March 1981 (aged 25),27,Hapoel Kfar Saba
7,DF,Illiasu Shilla,26 October 1982 (aged 23),2,Asante Kotoko
8,MF,Michael Essien,3 December 1982 (aged 23),17,Chelsea
9,MF,Derek Boateng,2 May 1983 (aged 23),11,AIK
10,MF,Stephen Appiah ,24 December 1980 (aged 25),42,Fenerbahçe
11,MF,Sulley Muntari,27 August 1984 (aged 21),16,Udinese
12,FW,Alex Tachie-Mensah,15 February 1977 (aged 29),5,St. Gallen
13,DF,Habib Mohamed,10 December 1983 (aged 22),1,King Faisal Babes
14,FW,Matthew Amoah,24 October 1980 (aged 25),16,Borussia Dortmund
15,MF,John Paintsil,15 June 1981 (aged 24),21,Hapoel Tel Aviv
16,GK,George Owu,17 June 1982 (aged 23),6,Ashanti Gold
17,DF,Daniel Quaye,25 December 1980 (aged 25),7,Hearts of Oak
18,DF,Eric Addo,12 November 1978 (aged 27),6,PSV Eindhoven
19,FW,Razak Pimpong,30 December 1982 (aged 23),4,Copenhagen
20,FW,Otto Addo,9 June 1975 (aged 31),13,Mainz 05
21,DF,Issah Ahmed,24 May 1982 (aged 24),10,Randers
22,GK,Richard Kingson,13 June 1978 (aged 27),33,Ankaraspor
23,MF,Haminu Draman,1 April 1986 (aged 20),7,Red Star Belgrade[51]
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gianluigi Buffon,28 January 1978 (aged 28),60,Juventus
2,DF,Cristian Zaccardo,21 December 1981 (aged 24),12,Palermo
3,DF,Fabio Grosso,28 November 1977 (aged 28),17,Palermo[52]
4,MF,Daniele De Rossi,24 July 1983 (aged 22),17,Roma
5,DF,Fabio Cannavaro ,13 September 1973 (aged 32),93,Juventus
6,DF,Andrea Barzagli,8 May 1981 (aged 25),8,Palermo
7,FW,Alessandro Del Piero,9 November 1974 (aged 31),74,Juventus
8,MF,Gennaro Gattuso,9 January 1978 (aged 28),43,Milan
9,FW,Luca Toni,26 May 1977 (aged 29),18,Fiorentina
10,FW,Francesco Totti,27 September 1976 (aged 29),51,Roma
11,FW,Alberto Gilardino,5 July 1982 (aged 23),15,Milan
12,GK,Angelo Peruzzi,16 February 1970 (aged 36),31,Lazio
13,DF,Alessandro Nesta,19 March 1976 (aged 30),74,Milan
14,GK,Marco Amelia,2 April 1982 (aged 24),1,Livorno
15,FW,Vincenzo Iaquinta,21 November 1979 (aged 26),12,Udinese
16,MF,Mauro Camoranesi,4 October 1976 (aged 29),21,Juventus
17,MF,Simone Barone,30 April 1978 (aged 28),13,Palermo
18,FW,Filippo Inzaghi,9 August 1973 (aged 32),49,Milan
19,DF,Gianluca Zambrotta,19 February 1977 (aged 29),52,Juventus
20,MF,Simone Perrotta,17 September 1977 (aged 28),24,Roma
21,MF,Andrea Pirlo,19 May 1979 (aged 27),24,Milan
22,DF,Massimo Oddo,14 June 1976 (aged 29),20,Lazio
23,DF,Marco Materazzi,19 August 1973 (aged 32),28,Internazionale
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tim Howard,6 March 1979 (aged 27),16,Manchester United[53]
2,DF,Chris Albright,14 January 1979 (aged 27),20,LA Galaxy[54]
3,DF,Carlos Bocanegra,25 May 1979 (aged 27),40,Fulham
4,MF,Pablo Mastroeni,26 August 1976 (aged 29),48,Colorado Rapids
5,MF,John O'Brien,29 August 1977 (aged 28),31,Chivas USA
6,DF,Steve Cherundolo,19 February 1979 (aged 27),35,Hannover 96
7,MF,Eddie Lewis,17 May 1974 (aged 32),69,Leeds United
8,MF,Clint Dempsey,9 March 1983 (aged 23),21,New England Revolution
9,FW,Eddie Johnson,31 March 1984 (aged 22),18,Kansas City Wizards
10,MF,Claudio Reyna ,20 July 1973 (aged 32),109,Manchester City
11,FW,Brian Ching,24 May 1978 (aged 28),20,Houston Dynamo
12,DF,Gregg Berhalter,1 August 1973 (aged 32),44,Energie Cottbus[55]
13,DF,Jimmy Conrad,12 February 1977 (aged 29),15,Kansas City Wizards
14,MF,Ben Olsen,3 May 1977 (aged 29),34,D.C. United
15,MF,Bobby Convey,27 May 1983 (aged 23),39,Reading
16,FW,Josh Wolff,25 February 1977 (aged 29),47,Kansas City Wizards
17,MF,DaMarcus Beasley,24 May 1982 (aged 24),58,PSV Eindhoven
18,GK,Kasey Keller,29 November 1969 (aged 36),93,Borussia Mönchengladbach
19,GK,Marcus Hahnemann,15 June 1972 (aged 33),6,Reading
20,FW,Brian McBride,19 June 1972 (aged 33),92,Fulham
21,FW,Landon Donovan,4 March 1982 (aged 24),81,LA Galaxy
22,DF,Oguchi Onyewu,13 May 1982 (aged 24),14,Standard Liège
23,DF,Eddie Pope,24 December 1973 (aged 32),80,Real Salt Lake
Australia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mark Schwarzer,6 October 1972 (aged 33),37,Middlesbrough
2,DF,Lucas Neill,9 March 1978 (aged 28),25,Blackburn Rovers
3,DF,Craig Moore,12 December 1975 (aged 30),33,Newcastle United
4,MF,Tim Cahill,6 December 1979 (aged 26),16,Everton
5,MF,Jason Culina,5 August 1980 (aged 25),13,PSV Eindhoven
6,DF,Tony Popovic,4 July 1973 (aged 32),56,Crystal Palace[56]
7,DF,Brett Emerton,22 February 1979 (aged 27),48,Blackburn Rovers
8,MF,Josip Skoko,10 December 1975 (aged 30),46,Wigan Athletic[57]
9,FW,Mark Viduka ,9 October 1975 (aged 30),33,Middlesbrough
10,FW,Harry Kewell,22 September 1978 (aged 27),20,Liverpool
11,DF,Stan Lazaridis,16 August 1972 (aged 33),59,Birmingham City[58]
12,GK,Ante Covic,13 June 1975 (aged 30),1,Hammarby
13,MF,Vince Grella,5 October 1979 (aged 26),17,Parma
14,MF,Scott Chipperfield,30 December 1975 (aged 30),46,Basel
15,FW,John Aloisi,5 February 1976 (aged 30),41,Alavés
16,DF,Michael Beauchamp,8 March 1981 (aged 25),2,Central Coast Mariners[59]
17,FW,Archie Thompson,23 October 1978 (aged 27),20,Melbourne Victory[60]
18,GK,Zeljko Kalac,16 December 1972 (aged 33),52,Milan
19,FW,Joshua Kennedy,20 August 1982 (aged 23),1,Dynamo Dresden[61]
20,DF,Luke Wilkshire,2 October 1981 (aged 24),8,Bristol City
21,MF,Mile Sterjovski,27 May 1979 (aged 27),22,Basel
22,DF,Mark Milligan,4 August 1985 (aged 20),1,Sydney FC
23,MF,Mark Bresciano,11 February 1980 (aged 26),24,Parma
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dida,7 October 1973 (aged 32),86,Milan
2,DF,Cafu ,7 June 1970 (aged 36),138,Milan
3,DF,Lúcio,8 May 1978 (aged 28),50,Bayern Munich
4,DF,Juan,1 February 1979 (aged 27),38,Bayer Leverkusen
5,MF,Emerson,4 April 1976 (aged 30),70,Juventus
6,DF,Roberto Carlos,10 April 1973 (aged 33),121,Real Madrid
7,FW,Adriano,17 February 1982 (aged 24),32,Internazionale
8,MF,Kaká,22 April 1982 (aged 24),38,Milan
9,FW,Ronaldo,22 September 1976 (aged 29),92,Real Madrid
10,MF,Ronaldinho,21 March 1980 (aged 26),63,Barcelona
11,MF,Zé Roberto,6 July 1974 (aged 31),79,Bayern Munich[62]
12,GK,Rogério Ceni,22 January 1973 (aged 33),15,São Paulo
13,DF,Cicinho,24 June 1980 (aged 25),10,Real Madrid
14,DF,Luisão,13 February 1981 (aged 25),19,Benfica
15,DF,Cris,3 June 1977 (aged 29),16,Lyon
16,DF,Gilberto,25 April 1976 (aged 30),9,Hertha BSC
17,MF,Gilberto Silva,7 October 1976 (aged 29),36,Arsenal
18,MF,Mineiro,2 August 1975 (aged 30),2,São Paulo[63]
19,MF,Juninho,30 January 1975 (aged 31),37,Lyon
20,MF,Ricardinho,23 May 1976 (aged 30),19,Corinthians
21,FW,Fred,3 October 1983 (aged 22),3,Lyon
22,GK,Júlio César,3 September 1979 (aged 26),11,Internazionale
23,FW,Robinho,25 January 1984 (aged 22),23,Real Madrid
Croatia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Stipe Pletikosa,8 January 1979 (aged 27),50,Shakhtar Donetsk[64]
2,MF,Darijo Srna,1 May 1982 (aged 24),36,Shakhtar Donetsk
3,DF,Josip Šimunić,18 February 1978 (aged 28),42,Hertha BSC
4,DF,Robert Kovač,6 April 1974 (aged 32),56,Juventus
5,DF,Igor Tudor,16 April 1978 (aged 28),52,Juventus[65]
6,MF,Jurica Vranješ,31 January 1980 (aged 26),24,Werder Bremen
7,DF,Dario Šimić,12 November 1975 (aged 30),80,Milan
8,MF,Marko Babić,28 January 1981 (aged 25),33,Bayer Leverkusen
9,FW,Dado Pršo,5 November 1974 (aged 31),29,Rangers
10,MF,Niko Kovač ,15 October 1971 (aged 34),58,Hertha BSC[66]
11,DF,Mario Tokić,23 June 1975 (aged 30),28,Austria Wien
12,GK,Joey Didulica,14 October 1977 (aged 28),4,Austria Wien
13,DF,Stjepan Tomas,6 March 1976 (aged 30),48,Galatasaray
14,MF,Luka Modrić,9 September 1985 (aged 20),5,Dinamo Zagreb
15,MF,Ivan Leko,7 February 1978 (aged 28),13,Club Brugge
16,MF,Jerko Leko,9 April 1980 (aged 26),36,Dynamo Kyiv[67]
17,FW,Ivan Klasnić,29 January 1980 (aged 26),20,Werder Bremen
18,FW,Ivica Olić,14 September 1979 (aged 26),36,CSKA Moscow
19,MF,Niko Kranjčar,13 August 1984 (aged 21),21,Hajduk Split
20,MF,Anthony Šerić,15 January 1979 (aged 27),14,Panathinaikos
21,FW,Boško Balaban,15 October 1978 (aged 27),27,Club Brugge
22,FW,Ivan Bošnjak,6 February 1979 (aged 27),13,Dinamo Zagreb[68]
23,GK,Tomislav Butina,30 March 1974 (aged 32),28,Club Brugge
Japan
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Seigo Narazaki,15 April 1976 (aged 30),50,Nagoya Grampus Eight
2,DF,Teruyuki Moniwa,8 September 1981 (aged 24),8,FC Tokyo
3,DF,Yūichi Komano,25 July 1981 (aged 24),8,Sanfrecce Hiroshima
4,MF,Yasuhito Endo,28 January 1980 (aged 26),40,Gamba Osaka
5,DF,Tsuneyasu Miyamoto ,7 February 1977 (aged 29),69,Gamba Osaka
6,DF,Kōji Nakata,9 July 1979 (aged 26),55,Basel
7,MF,Hidetoshi Nakata,22 January 1977 (aged 29),74,Fiorentina[69]
8,MF,Mitsuo Ogasawara,5 April 1979 (aged 27),51,Kashima Antlers
9,FW,Naohiro Takahara,4 June 1979 (aged 27),41,Hamburger SV[70]
10,MF,Shunsuke Nakamura,24 June 1978 (aged 27),60,Celtic
11,FW,Seiichiro Maki,7 August 1980 (aged 25),10,JEF United
12,GK,Yoichi Doi,25 July 1973 (aged 32),4,FC Tokyo
13,FW,Atsushi Yanagisawa,27 May 1977 (aged 29),56,Kashima Antlers
14,DF,Alex,20 July 1977 (aged 28),72,Urawa Red Diamonds
15,MF,Takashi Fukunishi,1 September 1976 (aged 29),62,Júbilo Iwata
16,FW,Masashi Oguro,4 May 1980 (aged 26),18,Grenoble
17,MF,Junichi Inamoto,18 September 1979 (aged 26),63,West Bromwich Albion
18,MF,Shinji Ono,27 September 1979 (aged 26),54,Urawa Red Diamonds
19,DF,Keisuke Tsuboi,16 September 1979 (aged 26),33,Urawa Red Diamonds
20,FW,Keiji Tamada,11 April 1980 (aged 26),39,Nagoya Grampus Eight
21,DF,Akira Kaji,13 January 1980 (aged 26),43,Gamba Osaka
22,DF,Yuji Nakazawa,25 February 1978 (aged 28),50,Yokohama F. Marinos
23,GK,Yoshikatsu Kawaguchi,15 August 1975 (aged 30),89,Júbilo Iwata
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mickaël Landreau,14 May 1979 (aged 27),3,Nantes[71]
2,DF,Jean-Alain Boumsong,14 December 1979 (aged 26),19,Newcastle United
3,DF,Éric Abidal,11 September 1979 (aged 26),8,Lyon
4,MF,Patrick Vieira,23 June 1976 (aged 29),87,Juventus
5,DF,William Gallas,17 August 1977 (aged 28),40,Chelsea
6,MF,Claude Makélélé,18 February 1973 (aged 33),43,Chelsea
7,MF,Florent Malouda,13 June 1980 (aged 25),13,Lyon
8,MF,Vikash Dhorasoo,10 October 1973 (aged 32),16,Paris Saint-Germain
9,FW,Sidney Govou,27 July 1979 (aged 26),19,Lyon[72]
10,MF,Zinedine Zidane ,23 June 1972 (aged 33),102,Real Madrid[73]
11,FW,Sylvain Wiltord,10 May 1974 (aged 32),80,Lyon
12,FW,Thierry Henry,17 August 1977 (aged 28),78,Arsenal
13,DF,Mikaël Silvestre,9 August 1977 (aged 28),39,Manchester United
14,FW,Louis Saha,8 August 1978 (aged 27),9,Manchester United
15,DF,Lilian Thuram,1 January 1972 (aged 34),114,Juventus
16,GK,Fabien Barthez,28 June 1971 (aged 34),80,Marseille[74]
17,DF,Gaël Givet,9 October 1981 (aged 24),11,Monaco
18,MF,Alou Diarra,15 July 1981 (aged 24),9,Lens
19,DF,Willy Sagnol,18 March 1977 (aged 29),38,Bayern Munich
20,FW,David Trezeguet,15 October 1977 (aged 28),63,Juventus
21,DF,Pascal Chimbonda,21 February 1979 (aged 27),1,Wigan Athletic
22,MF,Franck Ribéry,7 April 1983 (aged 23),3,Marseille
23,GK,Grégory Coupet,31 December 1972 (aged 33),18,Lyon
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lee Woon-jae ,26 April 1973 (aged 33),97,Suwon Samsung Bluewings
2,DF,Kim Young-chul,30 June 1976 (aged 29),12,Seongnam Ilhwa Chunma
3,DF,Kim Dong-jin,29 January 1982 (aged 24),34,FC Seoul
4,DF,Choi Jin-cheul,26 March 1971 (aged 35),62,Jeonbuk Hyundai Motors
5,MF,Kim Nam-il,14 March 1977 (aged 29),66,Suwon Samsung Bluewings
6,DF,Kim Jin-kyu,16 February 1985 (aged 21),23,Júbilo Iwata
7,MF,Park Ji-sung,25 February 1981 (aged 25),60,Manchester United
8,MF,Kim Do-heon,14 July 1982 (aged 23),75,Seongnam Ilhwa Chunma
9,FW,Ahn Jung-hwan,27 January 1976 (aged 30),61,MSV Duisburg
10,FW,Park Chu-young,10 July 1985 (aged 20),18,FC Seoul
11,FW,Seol Ki-hyeon,8 January 1979 (aged 27),67,Wolverhampton Wanderers
12,DF,Lee Young-pyo,23 April 1977 (aged 29),85,Tottenham Hotspur
13,MF,Lee Eul-yong,8 September 1975 (aged 30),47,Trabzonspor
14,FW,Lee Chun-soo,9 July 1981 (aged 24),62,Ulsan Hyundai Horangi
15,MF,Baek Ji-hoon,28 February 1985 (aged 21),12,FC Seoul
16,FW,Chung Kyung-ho,22 May 1980 (aged 26),40,Gwangju Sangmu Phoenix
17,MF,Lee Ho,22 October 1984 (aged 21),11,Ulsan Hyundai Horangi
18,DF,Kim Sang-sik,17 December 1976 (aged 29),42,Seongnam Ilhwa Chunma
19,FW,Cho Jae-jin,9 July 1981 (aged 24),21,Shimizu S-Pulse
20,GK,Kim Yong-dae,11 October 1979 (aged 26),15,Seongnam Ilhwa Chunma
21,GK,Kim Young-kwang,28 June 1983 (aged 22),6,Chunnam Dragons
22,DF,Song Chong-gug,20 February 1979 (aged 27),51,Suwon Samsung Bluewings
23,DF,Cho Won-hee,17 April 1983 (aged 23),13,Suwon Samsung Bluewings
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Pascal Zuberbühler,8 January 1971 (aged 35),40,Basel
2,DF,Johan Djourou,18 January 1987 (aged 19),2,Arsenal
3,DF,Ludovic Magnin,20 April 1979 (aged 27),30,VfB Stuttgart
4,DF,Philippe Senderos,14 February 1985 (aged 21),12,Arsenal
5,MF,Xavier Margairaz,17 January 1984 (aged 22),3,Zürich
6,MF,Johann Vogel ,8 March 1977 (aged 29),85,Milan
7,MF,Ricardo Cabanas,17 January 1979 (aged 27),37,1. FC Köln
8,DF,Raphaël Wicky,26 April 1977 (aged 29),67,Hamburger SV
9,FW,Alexander Frei,15 July 1979 (aged 26),45,Rennes[75]
10,FW,Daniel Gygax,28 August 1981 (aged 24),22,Lille
11,FW,Marco Streller,18 June 1981 (aged 24),10,1. FC Köln
12,GK,Diego Benaglio,8 September 1983 (aged 22),1,Nacional
13,DF,Stéphane Grichting,30 March 1979 (aged 27),6,Auxerre
14,MF,David Degen,15 February 1983 (aged 23),3,Basel[76]
15,MF,Blerim Džemaili,12 April 1986 (aged 20),3,Zürich
16,MF,Tranquillo Barnetta,22 May 1985 (aged 21),13,Bayer Leverkusen
17,DF,Christoph Spycher,30 March 1978 (aged 28),21,Eintracht Frankfurt
18,FW,Mauro Lustrinelli,26 February 1976 (aged 30),5,Sparta Prague
19,MF,Valon Behrami,19 April 1985 (aged 21),6,Lazio
20,DF,Patrick Müller,17 December 1976 (aged 29),64,Lyon
21,GK,Fabio Coltorti,3 December 1980 (aged 25),2,Grasshopper
22,MF,Hakan Yakin,22 February 1977 (aged 29),46,Young Boys[77]
23,DF,Philipp Degen,15 February 1983 (aged 23),15,Borussia Dortmund
Togo
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ouro-Nimini Tchagnirou,31 December 1977 (aged 28),9,Djoliba
2,DF,Daré Nibombé,16 June 1980 (aged 25),16,Mons
3,DF,Jean-Paul Abalo ,26 June 1975 (aged 30),65,APOEL
4,FW,Emmanuel Adebayor,26 February 1984 (aged 22),29,Arsenal
5,DF,Massamasso Tchangai,8 August 1978 (aged 27),34,Benevento
6,MF,Yao Aziawonou,30 November 1979 (aged 26),32,Young Boys
7,FW,Moustapha Salifou,1 June 1983 (aged 23),34,Brest
8,MF,Kuami Agboh,28 December 1977 (aged 28),4,Beveren
9,MF,Thomas Dossevi,6 March 1979 (aged 27),10,Valenciennes
10,MF,Mamam Cherif Touré,13 January 1981 (aged 25),39,Metz
11,FW,Robert Malm,21 August 1973 (aged 32),1,Brest
12,DF,Éric Akoto,20 July 1980 (aged 25),32,Admira Wacker[79]
13,DF,Richmond Forson,23 May 1980 (aged 26),8,Poiré
14,MF,Adékambi Olufadé,7 January 1980 (aged 26),24,Al-Siliyah
15,MF,Alaixys Romao,18 January 1984 (aged 22),11,Louhans-Cuiseaux
16,GK,Kossi Agassa,2 July 1978 (aged 27),49,Metz
17,FW,Mohamed Kader,8 April 1979 (aged 27),46,Guingamp
18,MF,Yao Junior Sènaya,19 April 1984 (aged 22),16,YF Juventus
19,DF,Ludovic Assemoassa,18 September 1980 (aged 25),5,Ciudad de Murcia
20,FW,Affo Erassa,19 February 1983 (aged 23),6,Moulins
21,MF,Franck Atsou,1 August 1978 (aged 27),13,Al-Hilal[80]
22,GK,Kodjovi Obilale,8 October 1984 (aged 21),0,Étoile Filante
23,DF,Assimiou Touré,1 January 1988 (aged 18),1,Bayer Leverkusen
Saudi Arabia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mohamed Al-Deayea,2 August 1972 (aged 33),175,Al-Hilal
2,DF,Ahmed Dokhi Al-Dosari,25 October 1976 (aged 29),68,Al-Ittihad
3,DF,Redha Tukar,29 November 1975 (aged 30),37,Al-Ittihad
4,DF,Hamad Al-Montashari,22 June 1982 (aged 23),32,Al-Ittihad
5,DF,Naif Al-Qadi,3 April 1979 (aged 27),28,Al-Ahli
6,MF,Omar Al-Ghamdi,11 April 1979 (aged 27),38,Al-Hilal
7,MF,Mohammed Ameen,29 April 1980 (aged 26),16,Al-Ittihad
8,MF,Mohammed Noor,26 February 1978 (aged 28),63,Al-Ittihad
9,FW,Sami Al-Jaber ,11 December 1972 (aged 33),160,Al-Hilal
10,MF,Mohammad Al-Shalhoub,8 December 1980 (aged 25),48,Al-Hilal
11,FW,Saad Al-Harthi,3 February 1984 (aged 22),15,Al-Nasr
12,DF,Abdulaziz Khathran,31 July 1973 (aged 32),19,Al-Hilal
13,DF,Hussein Sulaimani,21 January 1977 (aged 29),97,Al-Ahli
14,MF,Saud Khariri,8 July 1980 (aged 25),34,Al-Ittihad
15,DF,Ahmed Al-Bahri,18 September 1980 (aged 25),11,Al-Ettifaq
16,MF,Khaled Aziz,14 July 1981 (aged 24),14,Al-Hilal
17,DF,Mohamed Al-Bishi,3 May 1987 (aged 19),0,Al-Ahli
18,MF,Nawaf Al-Temyat,28 June 1976 (aged 29),56,Al-Hilal
19,DF,Mohammad Massad,17 February 1983 (aged 23),5,Al-Ahli
20,FW,Yasser Al-Qahtani,10 October 1982 (aged 23),45,Al-Hilal
21,GK,Mabrouk Zaid,11 February 1979 (aged 27),33,Al-Ittihad
22,GK,Mohammad Khouja,15 March 1982 (aged 24),8,Al-Shabab
23,FW,Malek Mouath,10 August 1981 (aged 24),5,Al-Ahli
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Iker Casillas,20 May 1981 (aged 25),58,Real Madrid
2,DF,Míchel Salgado,22 October 1975 (aged 30),50,Real Madrid
3,DF,Mariano Pernía,4 May 1977 (aged 29),1,Getafe[81]
4,DF,Carlos Marchena,31 July 1979 (aged 26),27,Valencia
5,DF,Carles Puyol,13 April 1978 (aged 28),47,Barcelona
6,MF,David Albelda,1 September 1977 (aged 28),33,Valencia
7,FW,Raúl ,27 June 1977 (aged 28),95,Real Madrid
8,MF,Xavi,25 January 1980 (aged 26),36,Barcelona
9,FW,Fernando Torres,20 March 1984 (aged 22),30,Atlético Madrid
10,MF,José Antonio Reyes,1 September 1983 (aged 22),19,Arsenal
11,MF,Luis García,24 June 1978 (aged 27),10,Liverpool
12,DF,Antonio López,13 September 1981 (aged 24),8,Atlético Madrid
13,MF,Andrés Iniesta,11 May 1984 (aged 22),3,Barcelona
14,MF,Xabi Alonso,25 November 1981 (aged 24),26,Liverpool
15,DF,Sergio Ramos,30 March 1986 (aged 20),11,Real Madrid
16,MF,Marcos Senna,17 July 1976 (aged 29),3,Villarreal
17,MF,Joaquín,21 July 1981 (aged 24),38,Real Betis
18,MF,Cesc Fàbregas,4 May 1987 (aged 19),4,Arsenal
19,GK,Santiago Cañizares,18 December 1969 (aged 36),45,Valencia
20,DF,Juanito,23 July 1976 (aged 29),15,Real Betis
21,FW,David Villa,3 December 1981 (aged 24),8,Valencia
22,DF,Pablo Ibáñez,3 August 1981 (aged 24),11,Atlético Madrid
23,GK,Pepe Reina,31 August 1982 (aged 23),3,Liverpool
Tunisia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ali Boumnijel,13 April 1966 (aged 40),48,Club Africain
2,DF,Karim Essediri,29 July 1979 (aged 26),7,Rosenborg
3,DF,Karim Haggui,21 January 1984 (aged 22),26,Strasbourg
4,DF,Alaeddine Yahia,26 September 1981 (aged 24),13,Saint-Étienne
5,FW,Ziad Jaziri,12 July 1978 (aged 27),61,Troyes
6,DF,Hatem Trabelsi,25 January 1977 (aged 29),56,Ajax
7,FW,Haykel Guemamdia,22 December 1981 (aged 24),13,Strasbourg[82]
8,MF,Mehdi Nafti,28 November 1978 (aged 27),29,Birmingham City
9,FW,Yassine Chikhaoui,2 September 1986 (aged 19),1,Étoile du Sahel
10,MF,Kaies Ghodhbane,7 January 1976 (aged 30),89,Konyaspor
11,FW,Francileudo Santos,20 March 1979 (aged 27),28,Toulouse
12,MF,Jawhar Mnari,8 November 1976 (aged 29),37,1. FC Nürnberg
13,MF,Riadh Bouazizi ,8 April 1973 (aged 33),85,Kayseri Erciyesspor
14,MF,Adel Chedli,16 September 1976 (aged 29),38,1. FC Nürnberg
15,DF,Radhi Jaïdi,30 August 1975 (aged 30),89,Bolton Wanderers
16,GK,Adel Nefzi,16 March 1974 (aged 32),0,Monastir
17,FW,Chaouki Ben Saada,1 July 1984 (aged 21),11,Bastia[83]
18,DF,David Jemmali,13 December 1974 (aged 31),2,Bordeaux
19,DF,Anis Ayari,16 February 1982 (aged 24),24,Samsunspor
20,MF,Hamed Namouchi,12 January 1984 (aged 22),14,Rangers
21,DF,Karim Saidi,24 March 1983 (aged 23),15,Feyenoord[84]
22,GK,Hamdi Kasraoui,18 January 1983 (aged 23),6,Espérance de Tunis
23,MF,Sofiane Melliti,18 August 1978 (aged 27),14,Gaziantepspor
Ukraine
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Oleksandr Shovkovskiy,2 January 1975 (aged 31),68,Dynamo Kyiv
2,DF,Andriy Nesmachniy,28 February 1979 (aged 27),49,Dynamo Kyiv
3,DF,Oleksandr Yatsenko,24 February 1985 (aged 21),1,Kharkiv[85]
4,MF,Anatoliy Tymoshchuk,30 March 1979 (aged 27),55,Shakhtar Donetsk
5,DF,Volodymyr Yezerskiy,15 November 1976 (aged 29),24,Dnipro Dnipropetrovsk
6,DF,Andriy Rusol,16 January 1983 (aged 23),23,Dnipro Dnipropetrovsk
7,FW,Andriy Shevchenko ,29 September 1976 (aged 29),64,Milan[86]
8,MF,Oleh Shelayev,5 November 1976 (aged 29),19,Dnipro Dnipropetrovsk
9,MF,Oleh Husyev,25 April 1983 (aged 23),25,Dynamo Kyiv
10,FW,Andriy Voronin,21 July 1979 (aged 26),32,Bayer Leverkusen
11,FW,Serhiy Rebrov,3 June 1974 (aged 32),70,Dynamo Kyiv
12,GK,Andriy Pyatov,28 June 1984 (aged 21),1,Vorskla Poltava
13,DF,Dmytro Chygrynskiy,7 November 1986 (aged 19),0,Shakhtar Donetsk
14,MF,Andriy Husin,11 December 1972 (aged 33),64,Krylya Sovetov Samara
