Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
14,DF,Michał Żewłakow,22 April 1976 (aged 30),56,Anderlecht
15,FW,Euzebiusz Smolarek,9 January 1981 (aged 25),13,Borussia Dortmund
16,MF,Arkadiusz Radomski,27 June 1977 (aged 28),20,Austria Vienna
17,MF,Dariusz Dudka,9 December 1983 (aged 22),7,Wisła Kraków
18,DF,Mariusz Lewandowski,18 May 1979 (aged 27),25,Shakhtar Donetsk
19,DF,Bartosz Bosacki,20 December 1975 (aged 30),11,Lech Poznań
20,MF,Piotr Giza,28 February 1980 (aged 26),4,Cracovia
21,FW,Ireneusz Jeleń,9 April 1981 (aged 25),9,Wisła Płock
22,GK,Łukasz Fabiański,18 April 1985 (aged 21),2,Legia Warszawa
23,FW,Paweł Brożek,21 April 1983 (aged 23),4,Wisła Kraków
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Paul Robinson,15 October 1979 (aged 26),21,Tottenham Hotspur
2,DF,Gary Neville,18 February 1975 (aged 31),79,Manchester United
3,DF,Ashley Cole,20 December 1980 (aged 25),46,Arsenal
4,MF,Steven Gerrard,30 May 1980 (aged 26),42,Liverpool
5,DF,Rio Ferdinand,7 November 1978 (aged 27),47,Manchester United
6,DF,John Terry,7 December 1980 (aged 25),24,Chelsea
7,MF,David Beckham ,2 May 1975 (aged 31),89,Real Madrid
8,MF,Frank Lampard,20 June 1978 (aged 27),40,Chelsea
9,FW,Wayne Rooney,24 October 1985 (aged 20),29,Manchester United
10,FW,Michael Owen,14 December 1979 (aged 26),77,Newcastle United
11,MF,Joe Cole,8 November 1981 (aged 24),32,Chelsea
12,DF,Sol Campbell,18 September 1974 (aged 31),68,Arsenal
13,GK,David James,1 August 1970 (aged 35),34,Manchester City
14,DF,Wayne Bridge,5 August 1980 (aged 25),23,Chelsea
15,DF,Jamie Carragher,28 January 1978 (aged 28),25,Liverpool
16,MF,Owen Hargreaves,20 January 1981 (aged 25),30,Bayern Munich
17,MF,Jermaine Jenas,18 February 1983 (aged 23),15,Tottenham Hotspur
18,MF,Michael Carrick,28 July 1981 (aged 24),6,Tottenham Hotspur
19,MF,Aaron Lennon,16 April 1987 (aged 19),1,Tottenham Hotspur
20,MF,Stewart Downing,22 July 1984 (aged 21),2,Middlesbrough
21,FW,Peter Crouch,30 January 1981 (aged 25),7,Liverpool
22,GK,Scott Carson,3 September 1985 (aged 20),0,Liverpool
23,FW,Theo Walcott,16 March 1989 (aged 17),1,Arsenal
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Justo Villar,30 June 1977 (aged 28),39,Newell's Old Boys
2,DF,Jorge Núñez,22 January 1978 (aged 28),15,Estudiantes La Plata
3,DF,Delio Toledo,2 October 1976 (aged 29),30,Real Zaragoza
