Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,FW,Sergio Almirón,18 November 1958 (aged 27),N/A,Newell's Old Boys
2,MF,Sergio Batista,9 November 1962 (aged 23),N/A,Argentinos Juniors
3,MF,Ricardo Bochini,25 January 1954 (aged 32),N/A,Independiente
4,MF,Claudio Borghi,28 September 1964 (aged 21),N/A,Argentinos Juniors
5,DF,José Luis Brown,10 November 1956 (aged 29),N/A,Deportivo Español
6,DF,Daniel Passarella,25 May 1953 (aged 33),70,Fiorentina
7,FW,Jorge Burruchaga,9 October 1962 (aged 23),33,Nantes
8,DF,Néstor Clausen,29 September 1962 (aged 23),N/A,Independiente
9,DF,José Luis Cuciuffo,1 February 1961 (aged 25),N/A,Vélez Sársfield
10,MF,Diego Maradona (Captain),30 October 1960 (aged 25),47,Napoli
11,FW,Jorge Valdano,4 October 1955 (aged 30),N/A,Real Madrid
12,MF,Héctor Enrique,26 April 1962 (aged 24),N/A,River Plate
13,DF,Oscar Garré,9 December 1956 (aged 29),N/A,Ferro Carril Oeste
14,MF,Ricardo Giusti,11 December 1956 (aged 29),N/A,Independiente
15,GK,Luis Islas,22 December 1965 (aged 20),N/A,Estudiantes La Plata
16,DF,Julio Olarticoechea,18 October 1958 (aged 27),N/A,Boca Juniors
17,FW,Pedro Pasculli,17 May 1960 (aged 26),N/A,Lecce
18,GK,Nery Pumpido,30 July 1957 (aged 28),N/A,River Plate
19,DF,Oscar Ruggeri,26 January 1962 (aged 24),19,River Plate
20,MF,Carlos Tapia,20 August 1962 (aged 23),N/A,Boca Juniors
21,MF,Marcelo Trobbiani,17 February 1955 (aged 31),N/A,Elche
22,GK,Héctor Zelada,30 April 1957 (aged 29),N/A,América
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Borislav Mikhailov,12 February 1963 (aged 23),26,Vitosha Sofia
2,FW,Nasko Sirakov,26 April 1962 (aged 24),18,Vitosha Sofia
3,DF,Nikolay Arabov,21 February 1953 (aged 33),39,Sliven
4,DF,Petar Petrov,20 February 1961 (aged 25),37,Vitosha Sofia
5,DF,Georgi Dimitrov (Captain),14 January 1959 (aged 27),65,Sredec Sofia
6,FW,Andrey Zhelyazkov,9 July 1952 (aged 33),51,Strasbourg
7,MF,Bozhidar Iskrenov,1 August 1962 (aged 23),33,Vitosha Sofia
8,MF,Ayan Sadakov,28 September 1961 (aged 24),47,Lokomotiv Plovdiv
9,FW,Stoycho Mladenov,24 April 1957 (aged 29),55,Sredec Sofia
10,MF,Zhivko Gospodinov,6 September 1957 (aged 28),36,Spartak Varna
11,MF,Plamen Getov,4 March 1959 (aged 27),18,Spartak Pleven
12,MF,Radoslav Zdravkov,30 July 1956 (aged 29),65,Sredec Sofia
13,DF,Aleksandar Markov,17 August 1961 (aged 24),18,Spartak Pleven
14,MF,Plamen Markov,11 September 1957 (aged 28),37,Metz
15,MF,Georgi Yordanov,21 July 1963 (aged 22),10,Vitosha Sofia
16,FW,Vasil Dragolov,17 August 1962 (aged 23),2,Beroe Stara Zagora
17,MF,Hristo Kolev,21 September 1964 (aged 21),7,Lokomotiv Plovdiv
18,FW,Boycho Velichkov,13 August 1958 (aged 27),26,Lokomotiv Sofia
19,FW,Atanas Pashev,21 November 1963 (aged 22),14,Trakia Plovdiv
20,FW,Kostadin Kostadinov,25 June 1959 (aged 26),41,Trakia Plovdiv
21,DF,Iliya Dyakov,28 September 1963 (aged 22),5,Dobrudzha Tolbuchin
22,GK,Iliya Valov,29 December 1961 (aged 24),13,Botev Vratsa
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Giovanni Galli,29 April 1958 (aged 28),15,Fiorentina
2,DF,Giuseppe Bergomi,22 December 1963 (aged 22),28,Internazionale
3,DF,Antonio Cabrini,8 October 1957 (aged 28),64,Juventus
4,DF,Fulvio Collovati,9 May 1957 (aged 29),49,Internazionale
5,DF,Sebastiano Nela,13 March 1961 (aged 25),2,Roma
6,DF,Gaetano Scirea,25 May 1953 (aged 33),74,Juventus
7,DF,Roberto Tricella,18 March 1959 (aged 27),6,Hellas Verona
8,DF,Pietro Vierchowod,6 April 1959 (aged 27),23,Sampdoria
9,MF,Carlo Ancelotti,10 June 1959 (aged 26),11,Roma
10,MF,Salvatore Bagni,25 September 1956 (aged 29),26,Napoli
11,MF,Giuseppe Baresi,7 February 1958 (aged 28),15,Internazionale
12,GK,Franco Tancredi,10 January 1955 (aged 31),12,Roma
13,MF,Fernando De Napoli,15 March 1964 (aged 22),1,Avellino
14,MF,Antonio Di Gennaro,5 October 1958 (aged 27),11,Hellas Verona
15,MF,Marco Tardelli (Captain),24 September 1954 (aged 31),81,Internazionale
16,FW,Bruno Conti,13 March 1955 (aged 31),43,Roma
17,FW,Gianluca Vialli,9 July 1964 (aged 21),4,Sampdoria
18,FW,Alessandro Altobelli,28 November 1955 (aged 30),39,Internazionale
19,FW,Giuseppe Galderisi,22 March 1963 (aged 23),6,Hellas Verona
20,FW,Paolo Rossi,23 September 1956 (aged 29),48,Milan
21,FW,Aldo Serena,25 June 1960 (aged 25),5,Juventus
22,GK,Walter Zenga,30 April 1960 (aged 26),0,Internazionale
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Cho Byung-deuk,26 May 1958 (aged 28),N/A,Hallelujah FC
2,DF,Park Kyung-hoon,19 January 1961 (aged 25),N/A,POSCO Atoms
3,DF,Chung Jong-soo,27 March 1961 (aged 25),N/A,Yukong Elephants
4,MF,Cho Kwang-rae,19 March 1954 (aged 32),N/A,Daewoo Royals
5,DF,Chung Yong-hwan,10 February 1960 (aged 26),N/A,Daewoo Royals
6,FW,Lee Tae-ho,29 January 1961 (aged 25),N/A,Daewoo Royals
7,FW,Kim Jong-boo,3 November 1965 (aged 20),N/A,Korea University
8,DF,Cho Young-jeung,18 August 1954 (aged 31),N/A,Lucky-Goldstar Hwangso
9,FW,Choi Soon-ho,10 January 1962 (aged 24),47,POSCO Atoms
10,MF,Park Chang-sun (Captain),2 February 1954 (aged 32),N/A,Daewoo Royals
11,FW,Cha Bum-kun,21 May 1953 (aged 33),125,Bayer Leverkusen
12,DF,Kim Pyung-seok,22 September 1958 (aged 27),N/A,Hyundai Horangi
13,MF,Noh Soo-jin,10 February 1962 (aged 24),N/A,Yukong Elephants
14,DF,Cho Min-kook,5 July 1963 (aged 22),N/A,Lucky-Goldstar Hwangso
15,DF,Yoo Byung-ok,2 March 1964 (aged 22),N/A,Hanyang University
16,MF,Kim Joo-sung,17 January 1966 (aged 20),N/A,Chosun University
17,MF,Huh Jung-moo,13 January 1955 (aged 31),N/A,Hyundai Horangi
