Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
18,MF,Kim Sam-soo,8 February 1963 (aged 23),N/A,Hyundai Horangi
19,FW,Byun Byung-joo,26 April 1961 (aged 25),N/A,Daewoo Royals
20,FW,Kim Yong-se,21 April 1960 (aged 26),N/A,Yukong Elephants
21,GK,Oh Yun-kyo,25 May 1960 (aged 26),N/A,Yukong Elephants
22,MF,Kang Deuk-soo,16 August 1961 (aged 24),N/A,Lucky-Goldstar Hwangso
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jean-Marie Pfaff,4 December 1953 (aged 32),51,Bayern Munich
2,DF,Eric Gerets,18 May 1954 (aged 32),56,PSV
3,MF,Franky Van Der Elst,30 April 1961 (aged 25),9,Club Brugge
4,DF,Michel de Wolf,19 January 1958 (aged 28),17,Gent
5,DF,Michel Renquin,3 November 1955 (aged 30),47,Standard Liège
6,MF,Franky Vercauteren,28 October 1956 (aged 29),48,Anderlecht
7,MF,René Vandereycken,22 July 1953 (aged 32),48,Anderlecht
8,MF,Enzo Scifo,19 February 1966 (aged 20),13,Anderlecht
9,FW,Erwin Vandenbergh,26 January 1959 (aged 27),39,Anderlecht
10,MF,Philippe Desmet,29 November 1958 (aged 27),3,Waregem
11,MF,Jan Ceulemans (Captain),28 February 1957 (aged 29),56,Club Brugge
12,GK,Jacky Munaron,8 September 1956 (aged 29),7,Anderlecht
13,DF,Georges Grün,25 January 1962 (aged 24),15,Anderlecht
14,DF,Leo Clijsters,6 November 1956 (aged 29),13,Waterschei Thor
15,MF,Leo Van Der Elst,7 January 1962 (aged 24),6,Club Brugge
16,FW,Nico Claesen,7 October 1962 (aged 23),14,Standard Liège
17,FW,Raymond Mommens,27 December 1958 (aged 27),14,Lokeren
18,FW,Daniel Veyt,9 December 1956 (aged 29),2,Waregem
19,DF,Hugo Broos,10 April 1952 (aged 34),21,Club Brugge
20,GK,Gilbert Bodart,2 September 1962 (aged 23),1,Standard Liège
21,DF,Stéphane Demol,11 March 1966 (aged 20),2,Anderlecht
22,MF,Patrick Vervoort,17 January 1965 (aged 21),2,Beerschot
Iraq
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Raad Hammoudi (Captain),20 April 1958 (aged 28),N/A,Al-Shorta
2,DF,Maad Ibrahim,30 June 1960 (aged 25),N/A,Al-Rasheed
3,DF,Khalil Allawi,6 September 1958 (aged 27),N/A,Al-Rasheed
4,DF,Nadhim Shaker,13 April 1958 (aged 28),N/A,Al-Tayaran
5,DF,Samir Shaker,28 February 1958 (aged 28),N/A,Al-Rasheed
6,MF,Ali Hussein Shihab,5 May 1961 (aged 25),N/A,Al-Talaba
7,MF,Haris Mohammed,3 March 1958 (aged 28),N/A,Al-Rasheed
8,FW,Ahmed Radhi,21 March 1964 (aged 22),N/A,Al-Rasheed
9,FW,Karim Saddam,26 May 1960 (aged 26),N/A,Al-Jaish
10,FW,Hussein Saeed,21 January 1958 (aged 28),N/A,Al-Talaba
11,FW,Rahim Hameed,23 May 1963 (aged 23),N/A,Al-Jaish
12,MF,Jamal Ali,2 February 1956 (aged 30),N/A,Al-Talaba
13,DF,Karim Allawi,1 April 1960 (aged 26),N/A,Al-Rasheed
14,MF,Basil Gorgis,15 January 1961 (aged 25),N/A,Al-Shabab
15,MF,Natiq Hashim,15 January 1960 (aged 26),N/A,Al-Tayaran
16,MF,Shaker Mahmoud,5 May 1960 (aged 26),N/A,Al-Shabab
17,MF,Anad Abid,3 August 1955 (aged 30),N/A,Al-Rasheed
18,MF,Ismail Mohammed Sharif,19 January 1962 (aged 24),N/A,Al-Shabab
19,MF,Basim Qasim,22 March 1959 (aged 27),N/A,Al-Shorta
20,GK,Fatah Nasif,2 February 1951 (aged 35),N/A,Al-Jaish
21,GK,Ahmad Jassim,4 May 1960 (aged 26),N/A,Al-Rasheed
22,DF,Ghanim Oraibi,16 August 1961 (aged 24),N/A,Al-Shabab
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Pablo Larios,31 July 1960 (aged 25),N/A,Cruz Azul
2,DF,Mario Trejo,18 September 1961 (aged 24),N/A,América
3,DF,Fernando Quirarte,17 May 1956 (aged 30),N/A,Guadalajara
4,DF,Armando Manzo,16 October 1958 (aged 27),N/A,América
5,FW,Francisco Javier Cruz,24 May 1966 (aged 20),N/A,Monterrey
6,MF,Carlos de los Cobos,10 December 1958 (aged 27),N/A,América
7,MF,Miguel España,4 April 1961 (aged 25),N/A,UNAM Pumas
8,MF,Alejandro Domínguez,9 February 1961 (aged 25),N/A,América
9,FW,Hugo Sánchez,11 July 1958 (aged 27),N/A,Real Madrid
10,MF,Tomás Boy (Captain),5 July 1953 (aged 32),N/A,Tigres
11,FW,Carlos Hermosillo,24 August 1964 (aged 21),N/A,América
12,GK,Ignacio Rodríguez,13 August 1959 (aged 26),N/A,Atlante
13,MF,Javier Aguirre,1 December 1958 (aged 27),N/A,América
14,DF,Felix Cruz,4 April 1961 (aged 25),N/A,UNAM Pumas
15,FW,Luis Flores,8 August 1962 (aged 23),N/A,UNAM Pumas
16,MF,Carlos Muñoz,8 September 1962 (aged 23),N/A,Tigres
17,DF,Raúl Servín,29 April 1963 (aged 23),N/A,UNAM Pumas
18,DF,Rafael Amador,16 February 1959 (aged 27),N/A,UNAM Pumas
19,MF,Javier Hernández,1 August 1961 (aged 24),N/A,Tecos
20,GK,Olaf Heredia,19 October 1957 (aged 28),N/A,Tigres
21,FW,Cristóbal Ortega,25 July 1956 (aged 29),N/A,América
22,MF,Manuel Negrete,15 May 1959 (aged 27),N/A,UNAM Pumas
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Roberto Fernández,9 July 1954 (aged 31),43,Deportivo Cali
2,DF,Juan Torales,9 May 1956 (aged 30),58,Libertad
3,DF,César Zabala,3 June 1961 (aged 24),N/A,Cerro Porteño
4,DF,Vladimiro Schettina,8 October 1955 (aged 30),N/A,Guaraní
5,DF,Rogelio Delgado (Captain),12 October 1959 (aged 26),N/A,Olimpia
6,MF,Jorge Amado Nunes,18 October 1961 (aged 24),N/A,Deportivo Cali
7,MF,Buenaventura Ferreira,4 July 1960 (aged 25),N/A,Deportivo Cali
8,MF,Julio César Romero,28 August 1960 (aged 25),N/A,Fluminense
9,FW,Roberto Cabañas,11 April 1961 (aged 25),N/A,América de Cali
10,MF,Adolfino Cañete,13 September 1956 (aged 29),N/A,Cruz Azul
11,FW,Alfredo Mendoza,31 December 1963 (aged 22),N/A,Independiente Medellín
12,GK,Jorge Battaglia,12 May 1960 (aged 26),N/A,Sol de America
13,DF,Virginio Cáceres,21 May 1962 (aged 24),N/A,Guaraní
14,DF,Luis Caballero,17 September 1962 (aged 23),N/A,Guaraní
15,FW,Eufemio Cabral,21 March 1955 (aged 31),N/A,Guaraní
16,MF,Jorge Guasch,17 January 1961 (aged 25),N/A,Olimpia
17,FW,Francisco Alcaraz,4 October 1960 (aged 25),N/A,Nacional
18,FW,Evaristo Isasi,26 October 1955 (aged 30),N/A,Olimpia
19,MF,Rolando Chilavert,22 May 1961 (aged 25),N/A,Guaraní
20,FW,Ramón Hicks,30 May 1959 (aged 27),N/A,Libertad
21,FW,Faustino Alonso,15 February 1961 (aged 25),N/A,Sol de America
22,GK,Julián Coronel,23 October 1958 (aged 27),N/A,Guaraní
Canada
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tino Lettieri,27 September 1957 (aged 28),21,Minnesota Strikers
2,DF,Bob Lenarduzzi,1 May 1955 (aged 31),44,Tacoma Stars
3,DF,Bruce Wilson (Captain),20 June 1951 (aged 34),54,no club
4,MF,Randy Ragan,7 June 1959 (aged 26),32,no club
5,DF,Terry Moore,2 June 1958 (aged 27),11,Glentoran
6,DF,Ian Bridge,18 September 1959 (aged 26),20,La Chaux-de-Fonds
7,FW,Carl Valentine,4 July 1958 (aged 27),3,Cleveland Force
8,MF,Gerry Gray,20 January 1961 (aged 25),22,Chicago Sting
9,FW,Branko Šegota,8 June 1961 (aged 24),11,San Diego Sockers
10,FW,Igor Vrablic,19 July 1965 (aged 20),27,Seraing
11,MF,Mike Sweeney,25 December 1959 (aged 26),26,Cleveland Force
12,DF,Randy Samuel,23 December 1963 (aged 22),25,PSV
13,FW,George Pakos,14 August 1952 (aged 33),22,Victoria Athletic Association
14,FW,Dale Mitchell,21 April 1958 (aged 28),26,Tacoma Stars
15,MF,Paul James,11 November 1963 (aged 22),30,Monterrey
16,MF,Greg Ion,12 March 1963 (aged 23),5,Los Angeles Lazers
17,MF,David Norman,6 May 1962 (aged 24),22,Tacoma Stars
18,MF,Jamie Lowery,15 January 1961 (aged 25),5,no club
19,DF,Pasquale De Luca,26 May 1962 (aged 24),19,Cleveland Force
20,DF,Colin Miller,4 October 1964 (aged 21),7,Rangers
21,GK,Sven Habermann,3 November 1961 (aged 24),11,no club
22,GK,Paul Dolan,16 April 1966 (aged 20),20,Edmonton Brickmen
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Joël Bats,4 January 1957 (aged 29),23,Paris Saint-Germain
2,DF,Manuel Amoros,1 February 1962 (aged 24),32,Monaco
3,DF,William Ayache,10 January 1961 (aged 25),9,Nantes
4,DF,Patrick Battiston,12 March 1957 (aged 29),42,Bordeaux
5,DF,Michel Bibard,30 November 1958 (aged 27),5,Paris Saint-Germain
6,DF,Maxime Bossis,26 June 1955 (aged 30),69,Racing Paris
7,DF,Yvon Le Roux,19 April 1960 (aged 26),18,Nantes
8,DF,Thierry Tusseau,19 January 1958 (aged 28),18,Bordeaux
9,MF,Luis Fernández,2 October 1959 (aged 26),28,Paris Saint-Germain
10,MF,Michel Platini (Captain),21 June 1955 (aged 30),63,Juventus
11,MF,Jean-Marc Ferreri,26 December 1962 (aged 23),14,Auxerre
12,MF,Alain Giresse,2 September 1952 (aged 33),41,Bordeaux
13,MF,Bernard Genghini,18 January 1958 (aged 28),25,Monaco
14,MF,Jean Tigana,23 June 1955 (aged 30),40,Bordeaux
15,MF,Philippe Vercruysse,28 January 1962 (aged 24),2,Lens
16,FW,Bruno Bellone,14 March 1962 (aged 24),24,Monaco
17,FW,Jean-Pierre Papin,5 November 1963 (aged 22),1,Club Brugge
18,FW,Dominique Rocheteau,14 January 1955 (aged 31),45,Paris Saint-Germain
19,FW,Yannick Stopyra,9 January 1961 (aged 25),16,Toulouse
20,FW,Daniel Xuereb,22 June 1959 (aged 26),3,Lens
21,GK,Philippe Bergeroo,13 January 1954 (aged 32),3,Toulouse
22,GK,Albert Rust,10 October 1953 (aged 32),0,Sochaux
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Péter Disztl,30 March 1960 (aged 26),13,Videoton
2,DF,Sándor Sallai,26 March 1960 (aged 26),31,Budapest Honvéd
3,DF,Antal Róth,14 September 1960 (aged 25),18,Pécsi Munkás
4,DF,József Varga,9 October 1954 (aged 31),29,Denizlispor
5,DF,József Kardos,22 March 1960 (aged 26),27,Újpesti Dózsa
6,DF,Imre Garaba,29 July 1958 (aged 27),53,Budapest Honvéd
7,FW,József Kiprich,6 September 1963 (aged 22),14,Tatabányai Bányász
8,DF,Antal Nagy (Captain),17 October 1956 (aged 29),25,Budapest Honvéd
9,MF,László Dajka,29 April 1959 (aged 27),19,Budapest Honvéd
10,MF,Lajos Détári,24 April 1963 (aged 23),17,Budapest Honvéd
11,FW,Márton Esterházy,9 April 1956 (aged 30),21,AEK Athens
12,DF,József Csuhay,12 July 1957 (aged 28),9,Videoton
13,DF,László Disztl,4 June 1962 (aged 23),5,Videoton
14,DF,Zoltán Péter,23 March 1958 (aged 28),21,Zalaegerszeg
15,MF,Péter Hannich,30 March 1957 (aged 29),23,Rába ETO Győr
16,MF,József Nagy,20 October 1960 (aged 25),1,Szombathelyi Haladás
17,MF,Győző Burcsa,13 March 1954 (aged 32),11,Auxerre
18,GK,József Szendrei,25 April 1954 (aged 32),2,Újpesti Dózsa
19,MF,György Bognár,5 November 1961 (aged 24),7,MTK Hungária
20,FW,Kálmán Kovács,11 September 1965 (aged 20),8,Budapest Honvéd
21,MF,Gyula Hajszán,9 October 1961 (aged 24),22,Rába ETO Győr
22,GK,József Andrusch,31 March 1956 (aged 30),5,Budapest Honvéd
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rinat Dasayev,13 June 1957 (aged 28),58,Spartak Moscow
2,DF,Volodymyr Bezsonov,5 March 1958 (aged 28),53,Dynamo Kyiv
3,DF,Aleksandr Chivadze,8 April 1955 (aged 31),42,Dinamo Tbilisi
4,DF,Gennady Morozov,30 December 1962 (aged 23),9,Spartak Moscow
5,DF,Anatoliy Demyanenko (Captain),19 February 1959 (aged 27),46,Dynamo Kyiv
6,DF,Aleksandr Bubnov,10 October 1955 (aged 30),32,Spartak Moscow
7,MF,Ivan Yaremchuk,19 March 1962 (aged 24),2,Dynamo Kyiv
8,MF,Pavel Yakovenko,19 December 1964 (aged 21),1,Dynamo Kyiv
9,MF,Aleksandr Zavarov,24 April 1961 (aged 25),7,Dynamo Kyiv
10,DF,Oleh Kuznetsov,22 March 1963 (aged 23),5,Dynamo Kyiv
11,FW,Oleh Blokhin,5 November 1952 (aged 33),104,Dynamo Kyiv
12,MF,Andriy Bal,16 February 1958 (aged 28),17,Dynamo Kyiv
13,MF,Gennadiy Litovchenko,11 September 1963 (aged 22),18,Dnipro Dnipropetrovsk
14,FW,Sergey Rodionov,3 September 1962 (aged 23),17,Spartak Moscow
15,DF,Nikolay Larionov,19 January 1957 (aged 29),15,Zenit Leningrad
16,GK,Viktor Chanov,21 July 1959 (aged 26),1,Dynamo Kyiv
17,MF,Vadym Yevtushenko,1 January 1958 (aged 28),7,Dynamo Kyiv
18,FW,Oleh Protasov,4 February 1964 (aged 22),19,Dnipro Dnipropetrovsk
19,MF,Ihor Belanov,25 September 1960 (aged 25),4,Dynamo Kyiv
20,MF,Sergei Aleinikov,7 November 1961 (aged 24),23,Dinamo Minsk
21,MF,Vasiliy Rats,25 April 1961 (aged 25),2,Dynamo Kyiv
22,GK,Serhiy Krakovskiy,11 August 1960 (aged 25),0,Dnipro Dnipropetrovsk
Algeria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nacerdine Drid,22 January 1957 (aged 29),N/A,MP Oran
2,DF,Mahmoud Guendouz (Captain),24 February 1953 (aged 33),N/A,JS El Biar
3,MF,Fathi Chebal,19 August 1956 (aged 29),N/A,Rouen
4,DF,Nourredine Kourichi,12 April 1954 (aged 32),N/A,Lille
5,DF,Abdellah Medjadi Liegeon,1 December 1957 (aged 28),N/A,Monaco
6,MF,Mohammed Kaci Said,2 May 1958 (aged 28),N/A,RS Kouba
7,FW,Salah Assad,13 March 1958 (aged 28),N/A,Mulhouse
8,MF,Karim Maroc,5 March 1958 (aged 28),N/A,Montpellier
9,FW,Djamel Menad,22 July 1960 (aged 25),N/A,JE Tizi-Ouzou
10,MF,Lakhdar Belloumi,29 December 1958 (aged 27),N/A,GCR Mascara
11,FW,Rabah Madjer,15 December 1958 (aged 27),N/A,Porto
12,FW,Tedj Bensaoula,1 December 1954 (aged 31),N/A,Le Havre
13,FW,Rachid Harkouk,16 May 1956 (aged 30),N/A,Notts County
14,FW,Djamel Zidane,28 April 1955 (aged 31),N/A,Waterschei Thor
15,DF,Abdelhamid Sadmi,1 January 1961 (aged 25),N/A,JE Tizi-Ouzou
16,DF,Faouzi Mansouri,17 January 1956 (aged 30),N/A,Montpellier
17,MF,Fawzi Benkhalidi,3 February 1963 (aged 23),N/A,WKF Boufarik
18,MF,Halim Benmabrouk,25 June 1960 (aged 25),N/A,Racing Paris
19,DF,Mohammed Chaib,20 May 1957 (aged 29),N/A,RS Kouba
20,DF,Fodil Megharia,23 May 1961 (aged 25),N/A,ASO Chlef
21,GK,Larbi El Hadi,27 May 1961 (aged 25),N/A,WKF Boufarik
22,GK,Mourad Amara,19 February 1959 (aged 27),N/A,JE Tizi-Ouzou
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Carlos,4 March 1956 (aged 30),16,Corinthians
2,DF,Édson,3 July 1959 (aged 26),17,Corinthians
3,DF,Oscar,20 June 1954 (aged 31),59,São Paulo
4,DF,Edinho (Captain),5 June 1955 (aged 30),40,Udinese
5,MF,Falcão,16 October 1953 (aged 32),26,São Paulo
6,MF,Júnior,29 June 1954 (aged 31),56,Torino
7,FW,Müller,31 January 1966 (aged 20),7,São Paulo
8,FW,Casagrande,15 April 1963 (aged 23),16,Corinthians
9,FW,Careca,5 October 1960 (aged 25),28,São Paulo
10,MF,Zico,3 March 1953 (aged 33),68,Flamengo
11,FW,Edivaldo,13 April 1962 (aged 24),2,Atlético Mineiro
12,GK,Paulo Vítor,7 June 1957 (aged 28),8,Fluminense
13,DF,Josimar,19 September 1961 (aged 24),0,Botafogo
14,DF,Júlio César,8 March 1963 (aged 23),1,Guarani
15,MF,Alemão,22 November 1961 (aged 24),14,Botafogo
16,DF,Mauro Galvão,19 December 1961 (aged 24),1,Internacional
17,DF,Branco,4 April 1964 (aged 22),9,Fluminense
18,MF,Sócrates,19 February 1954 (aged 32),55,Flamengo
19,MF,Elzo,22 January 1961 (aged 25),6,Atlético Mineiro
20,MF,Silas,27 August 1965 (aged 20),3,São Paulo
21,MF,Valdo,12 January 1964 (aged 22),0,Grêmio
22,GK,Leão,11 July 1949 (aged 36),80,Palmeiras
Northern Ireland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Pat Jennings,12 June 1945 (aged 40),116,Everton
2,DF,Jimmy Nicholl,28 December 1956 (aged 29),70,West Bromwich Albion
3,DF,Mal Donaghy,13 September 1957 (aged 28),42,Luton Town
4,DF,John O'Neill,11 March 1958 (aged 28),36,Leicester City
5,DF,Alan McDonald,12 October 1963 (aged 22),5,Queens Park Rangers
6,MF,David McCreery,16 September 1957 (aged 28),53,Newcastle United
7,MF,Steve Penney,16 January 1964 (aged 22),7,Brighton & Hove Albion
8,MF,Sammy McIlroy (Captain),2 August 1954 (aged 31),84,Manchester City
9,FW,Jimmy Quinn,18 November 1959 (aged 26),11,Blackburn Rovers
10,MF,Norman Whiteside,7 May 1965 (aged 21),26,Manchester United
11,FW,Ian Stewart,10 September 1961 (aged 24),26,Newcastle United
12,GK,Jim Platt,26 January 1951 (aged 35),23,Coleraine
13,GK,Philip Hughes,19 November 1964 (aged 21),0,Bury
14,FW,Gerry Armstrong,23 May 1954 (aged 32),62,Chesterfield
15,DF,Nigel Worthington,4 November 1961 (aged 24),8,Sheffield Wednesday
16,MF,Paul Ramsey,3 September 1962 (aged 23),9,Leicester City
17,FW,Colin Clarke,30 October 1962 (aged 23),3,AFC Bournemouth
18,DF,John McClelland,7 December 1955 (aged 30),38,Watford
19,FW,Billy Hamilton,9 May 1957 (aged 29),38,Oxford United
20,DF,Bernard McNally,17 February 1963 (aged 23),1,Shrewsbury Town
21,MF,David Campbell,2 June 1965 (aged 20),1,Nottingham Forest
22,FW,Mark Caughey,31 August 1960 (aged 25),2,Linfield
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andoni Zubizarreta,23 October 1961 (aged 24),9,Athletic Bilbao
2,DF,Tomás,9 August 1960 (aged 25),5,Atlético Madrid
3,DF,José Antonio Camacho (Captain),8 June 1955 (aged 30),64,Real Madrid
4,DF,Antonio Maceda,16 May 1957 (aged 29),35,Real Madrid
5,MF,Víctor,15 March 1957 (aged 29),36,Barcelona
6,DF,Rafael Gordillo,24 February 1957 (aged 29),62,Real Madrid
7,MF,Juan Antonio Señor,26 August 1958 (aged 27),29,Real Zaragoza
8,DF,Andoni Goikoetxea,23 August 1956 (aged 29),29,Athletic Bilbao
9,FW,Emilio Butragueño,22 July 1963 (aged 22),11,Real Madrid
10,FW,Francisco José Carrasco,6 March 1959 (aged 27),30,Barcelona
11,DF,Julio Alberto,7 October 1958 (aged 27),22,Barcelona
12,MF,Quique Setién,27 September 1958 (aged 27),3,Atlético Madrid
13,GK,Urruti,17 February 1952 (aged 34),5,Barcelona
14,MF,Ricardo Gallego,8 February 1959 (aged 27),26,Real Madrid
15,DF,Chendo,12 October 1961 (aged 24),1,Real Madrid
16,FW,Hipólito Rincón,28 April 1957 (aged 29),20,Real Betis
17,MF,Francisco,1 November 1962 (aged 23),14,Sevilla
18,MF,Ramón Calderé,16 January 1959 (aged 27),6,Barcelona
19,FW,Julio Salinas,11 September 1962 (aged 23),3,Athletic Bilbao
20,FW,Eloy,10 July 1964 (aged 21),3,Sporting Gijón
21,MF,Míchel,23 March 1963 (aged 23),5,Real Madrid
22,GK,Juan Carlos Ablanedo,2 September 1963 (aged 22),0,Sporting Gijón
Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Troels Rasmussen,4 July 1961 (aged 24),15,AGF
2,DF,John Sivebæk,25 October 1961 (aged 24),36,Manchester United
3,DF,Søren Busk,10 April 1953 (aged 33),46,MVV
4,DF,Morten Olsen (Captain),14 August 1949 (aged 36),79,Anderlecht
5,DF,Ivan Nielsen,9 October 1956 (aged 29),31,Feyenoord
