Player,Goals,1990,1994,2002
Robbie Keane,3,,,3
John Aldridge,1,,1,
Gary Breen,1,,,1
Damien Duff,1,,,1
Matt Holland,1,,,1
Ray Houghton,1,,1,
Niall Quinn,1,1,,
Kevin Sheedy,1,1,,
Total,10,2,2,6
