Player,Goals,1974,2006,2010,2014,2018
Tim Cahill,5,,2,1,2,
Brett Holman,2,,,2,,
Mile Jedinak,2,,,,1,1
John Aloisi,1,,1,,,
Harry Kewell,1,,1,,,
Craig Moore,1,,1,,,
Total,12,0,5,3,3,1
