Player,Goals,1994,2010,2014
Sokratis Papastathopoulos,1,,,1
Dimitris Salpingidis,1,,1,
Georgios Samaras,1,,,1
Andreas Samaris,1,,,1
Vasilis Torosidis,1,,1,
Total,5,0,2,3
