Player,Goals,1994,1998,2002,2010,2014,2018
Daniel Amokachi,2,2,,,,,
Emmanuel Amuneke,2,2,,,,,
Ahmed Musa,2,,,,,2,
Kalu Uche,2,,,,2,,
Mutiu Adepoju,1,,1,,,,
Julius Aghahowa,1,,,1,,,
Yakubu,1,,,,1,,
Tijani Babangida,1,,1,,,,
Finidi George,1,1,,,,,
Victor Ikpeba,1,,1,,,,
Peter Odemwingie,1,,,,,1,
Sunday Oliseh,1,,1,,,,
Wilson Oruma,1,,1,,,,
Samson Siasia,1,1,,,,,
Rashidi Yekini,1,1,,,,,
Own goals,1,,1,,,,
Total,21,7,6,1,3,3,0
