Player,Goals,2006,2010,2018
Saša Ilić,1,1,,
Milan Jovanović,1,,1,
Aleksandar Kolarov,1,,,1
Marko Pantelić,1,,1,
Nikola Žigić,1,1,,
Total,5,2,2,1
