Player,Goals,1986,1998,2002,2010,2018
Jon Dahl Tomasson,5,,,4,1,
Preben Elkjær Larsen,4,4,,,,
Jesper Olsen,3,3,,,,
Brian Laudrup,2,,2,,,
Michael Laudrup,2,1,1,,,
Dennis Rommedahl,2,,,1,1,
Nicklas Bendtner,1,,,,1,
John Eriksen,1,1,,,,
Thomas Helveg,1,,1,,,
Martin Jørgensen,1,,1,,,
Søren Lerby,1,1,,,,
Peter Møller,1,,1,,,
Allan Nielsen,1,,1,,,
Yussuf Poulsen,1,,,,,1
Marc Rieper,1,,1,,,
Ebbe Sand,1,,1,,,
Total,28,10,9,5,3,1
