Player,Goals,2006,2010,2014
Wilfried Bony,2,,,2
Aruna Dindane,2,2,,
Didier Drogba,2,1,1,
Gervinho,2,,,2
Bonaventure Kalou,1,1,,
Salomon Kalou,1,,1,
Bakari Koné,1,1,,
Romaric,1,,1,
Yaya Touré,1,,1,
Total,13,5,4,4
