Player,Goals,1982,1990,1994,1998,2002,2010,2014
Roger Milla,5,,4,1,,,,
Samuel Eto'o,3,,,,,1,2,
Patrick Mboma,2,,,,1,1,,
François Omam-Biyik,2,,1,1,,,,
Eugène Ekéké,1,,1,,,,,
David Embé,1,,,1,,,,
Emmanuel Kundé,1,,1,,,,,
Joël Matip,1,,,,,,,1
Grégoire Mbida,1,1,,,,,,
Pierre Njanka,1,,,,1,,,
Total,18,1,7,3,2,2,2,1
