Player,Goals,2002,2006,2014
Agustín Delgado,3,1,2,
Enner Valencia,3,,,3
Carlos Tenorio,2,,2,
Iván Kaviedes,1,,1,
Edison Méndez,1,1,,
Total,10,2,5,3
