edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Colombia,Uruguay,1974_FRG_PR.htm,Bogotíç.,1973,,,,,,
1974,FRG,PRELIMINARY,1,1,(1,0),Ecuador,Colombia,1974_FRG_PR.htm,Guayaquil.,1973,,,,,,
1974,FRG,PRELIMINARY,1,2,(1,1),Ecuador,Uruguay,1974_FRG_PR.htm,Quito.,1973,,,,,,
1974,FRG,PRELIMINARY,0,1,(0,0),Uruguay,Colombia,1974_FRG_PR.htm,Montevideo.,1973,,,,,,
1974,FRG,PRELIMINARY,4,0,(3,0),Uruguay,Ecuador,1974_FRG_PR.htm,Montevideo.,1973,,,,,,
1974,FRG,PRELIMINARY,0,4,(0,1),Iceland,Norway,1974_FRG_PR.htm,Reykjaví_k.,1973,,,,,,
1974,FRG,PRELIMINARY,2,1,(1,1),Chile,Peru ,1974_FRG_PR.htm,Montevideo.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Ghana,Zaire,1974_FRG_PR.htm,Accra.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Zambia,Kenya,1974_FRG_PR.htm,Ndola.,1973,,,,,,
1974,FRG,PRELIMINARY,3,0,(1,0),Australia,Iran,1974_FRG_PR.htm,Sydney.,1973,,,,,,
1974,FRG,PRELIMINARY,2,2,(0,2),Kenya,Zambia,1974_FRG_PR.htm,Nairobi.,1973,,,,,,
1974,FRG,PRELIMINARY,4,1,(2,0),Zaire,Ghana,1974_FRG_PR.htm,Kinshasa.,1973,,,,,,
1974,FRG,PRELIMINARY,5,0,(4,0),Netherlands,Iceland,1974_FRG_PR.htm,Amsterdam.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(2,0),Iran,Australia,1974_FRG_PR.htm,Tehran.,1973,,,,,,
1974,FRG,PRELIMINARY,1,8,(1,4),Iceland,Netherlands,1974_FRG_PR.htm,Deventer.,1973,,,,,,
1974,FRG,PRELIMINARY,1,2,(1,1),Bolivia,Paraguay,1974_FRG_PR.htm,La_Paz.,1973,,,,,,
1974,FRG,PRELIMINARY,4,0,(2,0),Argentina,Bolivia,1974_FRG_PR.htm,Buenos Aires.,1973,,,,,,
1974,FRG,PRELIMINARY,1,2,(0,1),Norway,Netherlands,1974_FRG_PR.htm,Oslo.,1973,,,,,,
1974,FRG,PRELIMINARY,1,1,(1,1),Paraguay,Argentina,1974_FRG_PR.htm,Asuncií_n.,1973,,,,,,
1974,FRG,PRELIMINARY,0,1,(0,1),Bolivia,Argentina,1974_FRG_PR.htm,La_Paz.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Switzerland ,Luxembourg ,1974_FRG_PR.htm,Luzern.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Germany,Romania ,1974_FRG_PR.htm,Leipzig.,1973,,,,,,
1974,FRG,PRELIMINARY,3,0,(2,0),Poland ,Wales,1974_FRG_PR.htm,Chorzí_w.,1973,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Northern Ireland,Bulgaria,1974_FRG_PR.htm,Sheffield.,1973,,,,,,
1974,FRG,PRELIMINARY,2,1,(1,1),Scotland,Czechoslovakia,1974_FRG_PR.htm,Glasgow.,1973,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Russia,Chile,1974_FRG_PR.htm,Moskva.,1973,,,,,,
1974,FRG,PRELIMINARY,4,0,(3,0),Paraguay,Bolivia,1974_FRG_PR.htm,Asuncií_n.,1973,,,,,,
1974,FRG,PRELIMINARY,3,1,(1,1),Argentina,Paraguay,1974_FRG_PR.htm,Buenos Aires.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Albania,Finland,1974_FRG_PR.htm,Tiraní‚.,1973,,,,,,
1974,FRG,PRELIMINARY,2,2,(0,0),Portugal,Bulgaria,1974_FRG_PR.htm,Lisboa.,1973,,,,,,
1974,FRG,PRELIMINARY,9,0,(5,0),Romania ,Finland,1974_FRG_PR.htm,BucureÅôti.,1973,,,,,,
1974,FRG,PRELIMINARY,1,1,(0,0),England,Poland ,1974_FRG_PR.htm,London.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Czechoslovakia,Scotland,1974_FRG_PR.htm,Bratislava.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Italy,Switzerland ,1974_FRG_PR.htm,Roma.,1973,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Yugoslavia ,Spain ,1974_FRG_PR_GD.htm#WC,74,I,4,Zagreb.,1973,,,
1974,FRG,PRELIMINARY,4,0,(2,0),Zambia,Morocco,1974_FRG_PR.htm,Lusaka.,1973,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Australia,South Korea,1974_FRG_PR.htm,Sydney.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Belgium,Norway,1974_FRG_PR.htm,Bruxelles.,1973,,,,,,
1974,FRG,PRELIMINARY,1,4,(1,2),Albania,Germany,1974_FRG_PR.htm,Tiraní‚.,1973,,,,,,
1974,FRG,PRELIMINARY,0,2,(0,2),Zambia,Zaire,1974_FRG_PR.htm,Lusaka.,1973,,,,,,
1974,FRG,PRELIMINARY,2,2,(2,1),South Korea,Australia,1974_FRG_PR.htm,Seoul.,1973,,,,,,
1974,FRG,PRELIMINARY,1,2,(1,2),Malta,Sweden ,1974_FRG_PR.htm,Valletta.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(0,0),Australia,South Korea,1974_FRG_PR.htm,Hong Kong.,1973,,,,,,
1974,FRG,PRELIMINARY,1,1,(1,0),Portugal,Northern Ireland,1974_FRG_PR.htm,Lisboa.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(0,0),Turkey,Switzerland ,1974_FRG_PR.htm,ÛÁzmir.,1973,,,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Netherlands,Belgium,1974_FRG_PR.htm,Amsterdam.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Bulgaria,Cyprus,1974_FRG_PR.htm,Sofija.,1973,,,,,,
1974,FRG,PRELIMINARY,2,1,(1,1),Zaire,Zambia,1974_FRG_PR.htm,Kinshasa.,1973,,,,,,
1974,FRG,PRELIMINARY,2,0,(1,0),Morocco,Zambia,1974_FRG_PR.htm,Tí©touan.,1973,,,,,,
1974,FRG,PRELIMINARY,2,1,(2,1),Sweden ,Austria,1974_FRG_PR.htm,Gelsenkirchen.,1973,,,,,,
1974,FRG,PRELIMINARY,2,1,(1,0),Honduras,Trinidad and Tobago,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,0,0,(0,0),Mexico ,Guatemala,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,3,0,(2,0),Haiti ,Netherlands,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,1,1,(0,0),Honduras,Mexico ,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,2,1,(1,1),Haiti ,Trinidad and Tobago,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,2,2,(1,1),Netherlands,Guatemala,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,0,1,(0,0),Honduras,Haiti ,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,8,0,(4,0),Mexico ,Netherlands,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,3,0,(0,0),Zaire,Morocco,1974_FRG_PR.htm,Kinshasa.,1973,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Trinidad and Tobago,Guatemala,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,2,2,(1,0),Honduras,Netherlands,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,2,1,(1,1),Haiti ,Guatemala,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,4,0,(2,0),Trinidad and Tobago,Mexico ,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,1,1,(0,1),Guatemala,Honduras,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,4,0,(2,0),Trinidad and Tobago,Netherlands,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Mexico ,Haiti ,1974_FRG_PR.htm,Port,au,Prince.,1973,,,,
1974,FRG,PRELIMINARY,2,4,(2,2),Greece,Yugoslavia ,1974_FRG_PR.htm,Athí_na.,1973,,,,,,
1974,FRG,PRELIMINARY,0,2,(w.o.),Morocco,Zaire,1974_FRG_PR.htm,Tí©touan.,1973,,,,,,,
1974,FRG,PRELIMINARY,1,0,(1,0),Yugoslavia ,Spain ,1974_FRG_PR_GD.htm#WC,74,I,5,Frankfurt am Main.,1974,,,
1974,FRG,GROUP_STAGE,0,0,(0,0),Brazil ,Yugoslavia ,1974_FRG_FS.htm#239,WC,74,I,Frankfurt am Main.,1974,,,
1974,FRG,GROUP_STAGE,1,0,(1,0),Germany,Chile,1974_FRG_FS.htm#233,WC,74,I,West,Berlin.,1974,,
1974,FRG,GROUP_STAGE,2,0,(0,0),Germany,Australia,1974_FRG_FS.htm#234,WC,74,I,Hamburg.,1974,,,
1974,FRG,GROUP_STAGE,0,2,(0,2),Zaire,Scotland,1974_FRG_FS.htm#240,WC,74,I,Dortmund.,1974,,,
1974,FRG,GROUP_STAGE,0,0,(0,0),Sweden ,Bulgaria,1974_FRG_FS.htm#245,WC,74,I,Dí_sseldorf.,1974,,,
1974,FRG,GROUP_STAGE,0,2,(0,1),Uruguay,Netherlands,1974_FRG_FS.htm#246,WC,74,I,Hannover.,1974,,,
1974,FRG,GROUP_STAGE,3,1,(0,0),Italy,Haiti ,1974_FRG_FS.htm#251,WC,74,I,Mí_nchen.,1974,,,
1974,FRG,GROUP_STAGE,3,2,(2,0),Poland ,Argentina,1974_FRG_FS.htm#252,WC,74,I,Stuttgart.,1974,,,
1974,FRG,GROUP_STAGE,0,3,(0,2),Australia,Germany,1974_FRG_FS.htm#235,WC,74,I,Hamburg.,1974,,,
1974,FRG,GROUP_STAGE,1,1,(0,0),Chile,Germany,1974_FRG_FS.htm#236,WC,74,I,West,Berlin.,1974,,
1974,FRG,GROUP_STAGE,9,0,(6,0),Yugoslavia ,Zaire,1974_FRG_FS.htm#241,WC,74,I,Gelsenkirchen.,1974,,,
1974,FRG,GROUP_STAGE,0,0,(0,0),Scotland,Brazil ,1974_FRG_FS.htm#242,WC,74,I,Frankfurt am Main.,1974,,,
1974,FRG,GROUP_STAGE,0,0,(0,0),Netherlands,Sweden ,1974_FRG_FS.htm#247,WC,74,I,Dortmund.,1974,,,
1974,FRG,GROUP_STAGE,1,1,(0,0),Bulgaria,Uruguay,1974_FRG_FS.htm#248,WC,74,I,Hannover.,1974,,,
1974,FRG,GROUP_STAGE,0,7,(0,5),Haiti ,Poland ,1974_FRG_FS.htm#253,WC,74,I,Mí_nchen.,1974,,,
1974,FRG,GROUP_STAGE,1,1,(1,1),Argentina,Italy,1974_FRG_FS.htm#254,WC,74,I,Stuttgart.,1974,,,
1974,FRG,GROUP_STAGE,0,0,(0,0),Australia,Chile,1974_FRG_FS.htm#237,WC,74,I,West,Berlin.,1974,,
1974,FRG,GROUP_STAGE,0,3,(0,1),Zaire,Brazil ,1974_FRG_FS.htm#243,WC,74,I,Gelsenkirchen.,1974,,,
1974,FRG,GROUP_STAGE,1,1,(0,0),Scotland,Yugoslavia ,1974_FRG_FS.htm#244,WC,74,I,Frankfurt am Main.,1974,,,
1974,FRG,GROUP_STAGE,1,0,(0,0),Germany,Germany,1974_FRG_FS.htm#238,WC,74,I,Hamburg.,1974,,,
1974,FRG,GROUP_STAGE,1,4,(0,2),Bulgaria,Netherlands,1974_FRG_FS.htm#249,WC,74,I,Dortmund.,1974,,,
1974,FRG,GROUP_STAGE,3,0,(0,0),Sweden ,Uruguay,1974_FRG_FS.htm#250,WC,74,I,Dí_sseldorf.,1974,,,
1974,FRG,GROUP_STAGE,4,1,(2,0),Argentina,Haiti ,1974_FRG_FS.htm#255,WC,74,I,Mí_nchen.,1974,,,
1974,FRG,GROUP_STAGE,2,1,(2,0),Poland ,Italy,1974_FRG_FS.htm#256,WC,74,I,Stuttgart.,1974,,,
1974,FRG,SEMIFINAL_STAGE,0,2,(0,1),Yugoslavia ,Germany,1974_FRG_FS.htm#263,WC,74,II,Dí_sseldorf.,1974,,,
1974,FRG,SEMIFINAL_STAGE,4,0,(2,0),Netherlands,Argentina,1974_FRG_FS.htm#257,WC,74,II,Gelsenkirchen.,1974,,,
1974,FRG,SEMIFINAL_STAGE,1,0,(0,0),Brazil ,Germany,1974_FRG_FS.htm#258,WC,74,II,Hannover.,1974,,,
1974,FRG,SEMIFINAL_STAGE,0,1,(0,1),Sweden ,Poland ,1974_FRG_FS.htm#264,WC,74,II,Stuttgart.,1974,,,
1974,FRG,SEMIFINAL_STAGE,0,2,(0,1),Germany,Netherlands,1974_FRG_FS.htm#259,WC,74,II,Gelsenkirchen.,1974,,,
1974,FRG,SEMIFINAL_STAGE,1,2,(1,1),Argentina,Brazil ,1974_FRG_FS.htm#260,WC,74,II,Hannover.,1974,,,
1974,FRG,SEMIFINAL_STAGE,2,1,(1,1),Poland ,Yugoslavia ,1974_FRG_FS.htm#265,WC,74,II,Frankfurt am Main.,1974,,,
1974,FRG,SEMIFINAL_STAGE,4,2,(0,1),Germany,Sweden ,1974_FRG_FS.htm#266,WC,74,II,Dí_sseldorf.,1974,,,
1974,FRG,SEMIFINAL_STAGE,0,1,(0,0),Poland ,Germany,1974_FRG_FS.htm#267,WC,74,II,Frankfurt am Main.,1974,,,
1974,FRG,SEMIFINAL_STAGE,2,0,(0,0),Netherlands,Brazil ,1974_FRG_FS.htm#261,WC,74,II,Dortmund.,1974,,,
1974,FRG,SEMIFINAL_STAGE,1,1,(1,1),Argentina,Germany,1974_FRG_FS.htm#262,WC,74,II,Gelsenkirchen.,1974,,,
1974,FRG,SEMIFINAL_STAGE,2,1,(1,1),Sweden ,Yugoslavia ,1974_FRG_FS.htm#268,WC,74,II,Dí_sseldorf.,1974,,,
1974,FRG,PLACES_3&4,1,0,(0,0),Poland ,Brazil ,1974_FRG_FS.htm#269,WC,74,III,Mí_nchen.,1974,,,
1974,FRG,_FINAL,2,1,(2,1),Germany,Netherlands,1974_FRG_FS.htm#270,WC,74,IV,Mí_nchen.,1974,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,1),Upper Volta,Ivory Coast,1978_ARGENTINA_PR.htm,Ouagadougou.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,1,(0,0),Iceland,Belgium,1978_ARGENTINA_PR.htm,Reykjaví_k.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,1,(0,1),Iceland,Netherlands,1978_ARGENTINA_PR.htm,Reykjaví_k.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(0,0),Norway,Switzerland ,1978_ARGENTINA_PR.htm,Oslo.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,3,(1,1),Barbados,Trinidad and Tobago,1978_ARGENTINA_PR.htm,Bridgetown.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,4,(2,0),Panama,Guatemala,1978_ARGENTINA_PR.htm,Panamíç.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,7,1,(3,0),Finland,Luxembourg ,1978_ARGENTINA_PR.htm,Helsinki.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,1),Canada,United States,1978_ARGENTINA_PR.htm,Vancouver.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,7,0,(3,0),Guatemala,Panama,1978_ARGENTINA_PR.htm,Guatemala.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(2,0),Ivory Coast,Upper Volta,1978_ARGENTINA_PR.htm,Abidjan.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,0,(0,0),United States,Mexico ,1978_ARGENTINA_PR.htm,Los Angeles.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,2,(1,2),Bulgaria,France,1978_ARGENTINA_PR.htm,Sofija.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,2,(1,1),Switzerland ,Sweden ,1978_ARGENTINA_PR.htm,Basel.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,0),Greece,Hungary,1978_ARGENTINA_PR.htm,Athí_na.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(0,0),Spain ,Yugoslavia ,1978_ARGENTINA_PR_GD.htm#WC,78,I,1,Sevilla.,1976,,,
1978,ARGENTINA,PRELIMINARY,1,0,(1,0),Canada,Mexico ,1978_ARGENTINA_PR.htm,Vancouver.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(0,0),Ghana,Guinea,1978_ARGENTINA_PR.htm,Accra.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(1,0),England,Finland,1978_ARGENTINA_PR.htm,London.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,2,(0,1),Netherlands,Northern Ireland,1978_ARGENTINA_PR.htm,Rotterdam.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(0,0),Czechoslovakia,Scotland,1978_ARGENTINA_PR.htm,Praha.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(2,0),Mexico ,United States,1978_ARGENTINA_PR.htm,Puebla.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,2,(0,0),Portugal,Poland ,1978_ARGENTINA_PR.htm,Porto.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,4,(0,2),Luxembourg ,Italy,1978_ARGENTINA_PR.htm,Luxembourg.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,0,(0,0),Sierra Leone,Nigeria,1978_ARGENTINA_PR.htm,Freetown.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(0,0),Togo,Senegal,1978_ARGENTINA_PR.htm,Lomí©.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,2,(0,2),Congo,Cameroon,1978_ARGENTINA_PR.htm,Brazzaville.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(0,0),United States,Canada,1978_ARGENTINA_PR.htm,Seattle.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,5,0,(0,0),Denmark,Cyprus,1978_ARGENTINA_PR.htm,KíŸbenhavn.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,0,(0,0),Mexico ,Canada,1978_ARGENTINA_PR.htm,Toluca.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(2,0),Egypt,Ethiopia,1978_ARGENTINA_PR.htm,Cairo.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,6,2,(4,0),Nigeria,Sierra Leone,1978_ARGENTINA_PR.htm,Lagos.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,5,0,(3,0),Poland ,Cyprus,1978_ARGENTINA_PR.htm,Warszawa.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,4,0,(1,0),Turkey,Malta,1978_ARGENTINA_PR.htm,ÛÁzmir.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,0),Senegal,Togo,1978_ARGENTINA_PR.htm,Dakar.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(0,0),Guinea,Ghana,1978_ARGENTINA_PR.htm,Conakry.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,2,(w.o.),Cameroon,Congo,1978_ARGENTINA_PR.htm,Yaoundí©.,1976,,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(1,0),Belgium,Northern Ireland,1978_ARGENTINA_PR.htm,LiíÂge.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(1,0),Saudi Arabia,Syria,1978_ARGENTINA_PR.htm,Jeddah.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,1),Surinam,Trinidad and Tobago,1978_ARGENTINA_PR.htm,Paramaribo.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,2,(1,1),Ethiopia,Egypt,1978_ARGENTINA_PR.htm,Addis Ababa.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(0,0),Portugal,Denmark,1978_ARGENTINA_PR.htm,Lisboa.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(1,0),Italy,England,1978_ARGENTINA_PR.htm,Roma.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0),Germany,Turkey,1978_ARGENTINA_PR.htm,Dresden.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(0,0),France,Ireland,1978_ARGENTINA_PR.htm,Paris.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(1,0),Scotland,Wales,1978_ARGENTINA_PR.htm,Glasgow.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(1,1),Syria,Saudi Arabia,1978_ARGENTINA_PR.htm,Damascus.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,2,(1,1),Trinidad and Tobago,Surinam,1978_ARGENTINA_PR.htm,Port_of_Spain.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0),Cuba,Haiti ,1978_ARGENTINA_PR.htm,La_Habana.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0),El Salvador,Costa Rica,1978_ARGENTINA_PR.htm,San_Salvador.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,2,(0,1),Cyprus,Portugal,1978_ARGENTINA_PR.htm,Lemesí_s.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,1,(0,0),Malta,Austria,1978_ARGENTINA_PR.htm,Valletta.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,5,1,(1,1),Sierra Leone,Niger,1978_ARGENTINA_PR.htm,Freetown.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,1),Upper Volta,Mauritania,1978_ARGENTINA_PR.htm,Ouagadougou.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(1,1),Niger,Sierra Leone,1978_ARGENTINA_PR.htm,Niamey.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,2,(0,1),Mauritania,Upper Volta,1978_ARGENTINA_PR.htm,Nouakchott.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(0,0),Algeria,Libya,1978_ARGENTINA_PR.htm,Algiers.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,3,(0,3),Dominican Republic,Haiti ,1978_ARGENTINA_PR.htm,Santo Domingo.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,2,(0,1),Panama,Costa Rica,1978_ARGENTINA_PR.htm,Panamíç.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,0,(0,0),Libya,Algeria,1978_ARGENTINA_PR.htm,Tripoli.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(2,0),Haiti ,Dominican Republic,1978_ARGENTINA_PR.htm,Port,au,Prince.,1976,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,1),Panama,El Salvador,1978_ARGENTINA_PR.htm,Panamíç.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,4,0,(2,0),Zambia,Malawi,1978_ARGENTINA_PR.htm,Lusaka.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,5,(1,3),Cyprus,Denmark,1978_ARGENTINA_PR.htm,Lemesí_s.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,1,(0,0),Malawi,Zambia,1978_ARGENTINA_PR.htm,Blantyre.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,4,(1,2),Finland,England,1978_ARGENTINA_PR.htm,Helsinki.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(2,0),Sweden ,Norway,1978_ARGENTINA_PR.htm,Stockholm.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(1,0),Guyana,Surinam,1978_ARGENTINA_PR.htm,Georgetown.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(3,0),Costa Rica,Panama,1978_ARGENTINA_PR.htm,San_Josí©.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,2,(0,2),Netherlands,Haiti ,1978_ARGENTINA_PR.htm,Oranjestad.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,4,1,(2,0),El Salvador,Panama,1978_ARGENTINA_PR.htm,San_Salvador.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,7,0,(4,0),Haiti ,Netherlands,1978_ARGENTINA_PR.htm,Port,au,Prince.,1976,,,,
1978,ARGENTINA,PRELIMINARY,2,1,(0,0),Barbados,Trinidad and Tobago,1978_ARGENTINA_PR.htm,Bridgetown.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,3,(0,1),Jamaica,Cuba,1978_ARGENTINA_PR.htm,Kingston.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(2,0),Surinam,Guyana,1978_ARGENTINA_PR.htm,Paramaribo.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(1,0),Cuba,Jamaica,1978_ARGENTINA_PR.htm,La_Habana.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,0,(1,0),Trinidad and Tobago,Barbados,1978_ARGENTINA_PR.htm,Port_of_Spain.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,0,(0,0),Costa Rica,Guatemala,1978_ARGENTINA_PR.htm,San_Josí©.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,1,(2,1),Guatemala,El Salvador,1978_ARGENTINA_PR.htm,Guatemala.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,0),Haiti ,Cuba,1978_ARGENTINA_PR.htm,Port,au,Prince.,1976,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(0,0),Guatemala,Costa Rica,1978_ARGENTINA_PR.htm,Guatemala.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0),Morocco,Tunisia,1978_ARGENTINA_PR.htm,Casablanca.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0),Costa Rica,El Salvador,1978_ARGENTINA_PR.htm,San_Josí©.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,2,(0,1),Surinam,Trinidad and Tobago,1978_ARGENTINA_PR.htm,Cayenne.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(2,0),El Salvador,Guatemala,1978_ARGENTINA_PR.htm,San_Salvador.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,3,0,(1,0),Canada,United States,1978_ARGENTINA_PR.htm,Port,au,Prince.,1976,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(0,0),Haiti ,Cuba,1978_ARGENTINA_PR.htm,Panamíç.,1976,,,,,,
1978,ARGENTINA,PRELIMINARY,0,3,(0,1),Saudi Arabia,Iran,1978_ARGENTINA_PR.htm,Riyadh.,1977,,,,,,
1978,ARGENTINA,PRELIMINARY,1,1,(1,0) ,(p.k.),Tunisia,Morocco,1978_ARGENTINA_PR.htm,Tunis.,1977,,,,,
1978,ARGENTINA,PRELIMINARY,2,0,(2,0),Guinea,Ghana,1978_ARGENTINA_PR.htm,Lomí©.,1977,,,,,,
