edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1934,ITALY,FIRST,7,1,(3,0),Italy,United States,1934_ITALY_FS.htm#20,WC,34,I,Roma.,1934,,,
1934,ITALY,FIRST,3,2,(1,1) ,(a.e.t.),Austria,France,1934_ITALY_FS.htm#19,WC,34,I,Torino.,1934,,
1934,ITALY,FIRST,5,2,(1,2),Germany,Belgium,1934_ITALY_FS.htm#21,WC,34,I,Firenze.,1934,,,
1934,ITALY,FIRST,2,1,(0,1),Czechoslovakia,Romania ,1934_ITALY_FS.htm#22,WC,34,I,Trieste.,1934,,,
1934,ITALY,FIRST,3,2,(2,1),Switzerland ,Netherlands,1934_ITALY_FS.htm#23,WC,34,I,Milano.,1934,,,
1934,ITALY,FIRST,3,2,(1,1),Sweden ,Argentina,1934_ITALY_FS.htm#24,WC,34,I,Bologna.,1934,,,
1934,ITALY,FIRST,3,1,(3,0),Spain ,Brazil ,1934_ITALY_FS.htm#25,WC,34,I,Genova.,1934,,,
1934,ITALY,FIRST,4,2,(2,2),Hungary,Egypt,1934_ITALY_FS.htm#26,WC,34,I,Napoli.,1934,,,
1934,ITALY,1/4_FINAL,2,1,(1,0),Austria,Hungary,1934_ITALY_FS.htm#27,WC,34,II,Bologna.,1934,,,
1934,ITALY,1/4_FINAL,3,2,(1,1),Czechoslovakia,Switzerland ,1934_ITALY_FS.htm#28,WC,34,II,Torino.,1934,,,
1934,ITALY,1/4_FINAL,2,1,(0,0),Germany,Sweden ,1934_ITALY_FS.htm#29,WC,34,II,Milano.,1934,,,
1934,ITALY,1/4_FINAL,1,1,(1,1) ,(a.e.t.),Italy,Spain ,1934_ITALY_FS.htm#30,WC,34,II,Firenze.,1934,,
1934,ITALY,1/4_FINAL,1,0,(1,0) ,(r.),Italy,Spain ,1934_ITALY_FS.htm#31,WC,34,II,Firenze.,1934,,
1934,ITALY,1/2_FINAL,1,0,(1,0),Italy,Austria,1934_ITALY_FS.htm#32,WC,34,III,Milano.,1934,,,
1934,ITALY,1/2_FINAL,3,1,(1,0),Czechoslovakia,Germany,1934_ITALY_FS.htm#33,WC,34,III,Roma.,1934,,,
1934,ITALY,PLACES_3&4,3,2,(3,1),Germany,Austria,1934_ITALY_FS.htm#34,WC,34,IV,Napoli.,1934,,,
1934,ITALY,_FINAL,2,1,(0,0) ,(a.e.t.),Italy,Czechoslovakia,1934_ITALY_FS.htm#35,WC,34,V,Roma.,1934,,
1938,FRANCE,PRELIMINARY,4,0,(0,0),Sweden ,Finland,1938_FRANCE_PR.htm,Stockholm.,1937,,,,,,
1938,FRANCE,PRELIMINARY,7,2,(3,2),Sweden ,Estonia,1938_FRANCE_PR.htm,Stockholm.,1937,,,,,,
1938,FRANCE,PRELIMINARY,0,2,(0,2),Finland,Germany,1938_FRANCE_PR.htm,Helsinki.,1937,,,,,,
1938,FRANCE,PRELIMINARY,4,2,(2,0),Latvia,Lithuania,1938_FRANCE_PR.htm,RÛ‚ga.,1937,,,,,,
1938,FRANCE,PRELIMINARY,0,1,(0,0),Finland,Estonia,1938_FRANCE_PR.htm,Turku.,1937,,,,,,
1938,FRANCE,PRELIMINARY,4,1,(0,1),Germany,Estonia,1938_FRANCE_PR.htm,Kí_nigsberg.,1937,,,,,,
1938,FRANCE,PRELIMINARY,1,5,(0,4),Lithuania,Latvia,1938_FRANCE_PR.htm,Kaunas.,1937,,,,,,
1938,FRANCE,PRELIMINARY,2,1,(2,1),Austria,Latvia,1938_FRANCE_PR.htm,Wien.,1937,,,,,,
1938,FRANCE,PRELIMINARY,3,2,(2,1),Norway,Ireland,1938_FRANCE_PR.htm,Oslo.,1937,,,,,,
1938,FRANCE,PRELIMINARY,4,0,(2,0),Poland ,Yugoslavia ,1938_FRANCE_PR.htm,Warszawa.,1937,,,,,,
1938,FRANCE,PRELIMINARY,3,3,(1,2),Ireland,Norway,1938_FRANCE_PR.htm,Dublin.,1937,,,,,,
1938,FRANCE,PRELIMINARY,1,1,(0,1),Bulgaria,Czechoslovakia,1938_FRANCE_PR.htm,Sofija.,1937,,,,,,
1938,FRANCE,PRELIMINARY,5,0,(2,0),Germany,Sweden ,1938_FRANCE_PR.htm,Hamburg.,1937,,,,,,
1938,FRANCE,PRELIMINARY,4,0,(1,0),Netherlands,Luxembourg ,1938_FRANCE_PR.htm,Rotterdam.,1937,,,,,,
1938,FRANCE,PRELIMINARY,1,3,(1,2),Palestine ,Greece,1938_FRANCE_PR.htm,Tel Aviv.,1938,,,,,,
